Brawler,Description,LoseAgainstMost,WinAgainstMost
SHELLY,"Shelly's the perfect ranger: reliable, tough, and terrific with her shotgun. She never understood why Colt got to steal the limelight…","LUMI, PIPER, GUS, EDGAR, MORTIS, RICO, CHESTER, TARA","TARA, CHESTER, RICO, MORTIS, EDGAR, GUS, PIPER, LUMI"
COLT,"Colt is the star attraction at Starr Park! His good looks, charisma and gun twirling tricks win over any audience, except maybe Shelly.","PIPER, EDGAR,BEA,BELLE,LEON,MORTIS,DARRYL","EL PRIMO,BULL"
BULL,"Bull isn't as carefree as he was in his youth, but just because his rowdy days are behind him doesn't mean he won't still crush someone who's asking for it.","GRIFF,COLLETE,SURGE,COLT,MAISIE,STU","8-BIT,LUMI,FINX,ELPRIMO"
BROCK,"Brock is a smack-talking video game enthusiast. His big attitude hides a more introverted personality, but he'll still do whatever it takes to win!","BELLE,PIPER,BEA",
RICO,"Rico is definitely a real space bounty hunter who tracks down the galaxy's most wanted criminals, not a gumball machine pretending to be cool.","MAX, PIPER, NANI",
SPIKE,Most people think Spike is Colt and Shelly's cute sidekick at the Ranger Ranch. Nobody could begin to guess the depths of his trauma.,"MANDY, PIPER,NANI, LILY",
BARLEY,"A bartending robot designed to mix drinks and banter with patrons, Barley also makes sure to keep his bar clean, to the detriment of anyone who makes a mess.","EDGAR, MICO,MORTIS,LEON,BUZZ",
JESSIE,Jessie is a prodigy who builds guns and gadgets from parts she finds in the junkyard. Maybe one day her mother Pam will see she can fend for herself!,"AMBER,DYNAMIKE,LARRY & LAWRIE,TARA",
NITA,Nita is a ferocious child who never backs down from a fight! The teddy bear on her head serves as a warning to others: don't poke the bear.,"SHELLY, EL PRIMO, PAM, BULL, MORTIS",
DYNAMIKE,Dynamike is an old miner and prospector who's become obsessed with explosions. Nothing makes him happier than a big boom!,"EDGAR, FANG, BARLEY, MORTIS, CROW",
EL PRIMO,"El Primo is always in the spotlight and that's right where he wants to be! There's no audience he can't win over, except maybe his fellow performers...","ASH, MAX, DARRYL, COLLETE POCO",
MORTIS,"Mortis had grand designs built around being a mortician and a vampire, but the fact that nobody is dying at Starr Park has put a huge damper on his plan..","BULL,SHELLY,CHESTER,TARA,DARRYL",
CROW,"Crow trusts no one and keeps to himself. The most anyone knows about him is that he's often found at the diner, hanging out with Bull and Bibi.","MORTIS,SURGE,OTIS,",
POCO,"Poco believes music can change people's lives. He's so enthusiastic about it that he never stops playing, even after people ask him to!","DARRYL, SHELLY, LEON, TARA, NITA",
BO,Bo has survived in the Rumble Jungle for a long time. It's all the more impressive considering he's been using toys he got on sale from the Gift Shop.,"HANK, MORTIS, 8-BIT, NITA, PAM",
PIPER,"Piper wants nothing more than to be the local village baker who hands out pies, cookies and other sweet treats! Just don't ask about her past.", NANI ,
PAM,"Pam handles an enormous workload at the junkyard and always gets it done! It's just a shame it keeps her away from her daughter, Jessie...","CROW, EL PRIMO, NITA, DARRYL, POCO",
TARA,Tara has seen in the cards that great difficulties lie ahead! But don't despair... she has a terrific selection of magical trinkets for sale to help with that.,", POCO, CROW, DARRYL, NITA",
DARRYL,"Darryl put on the pirate captain's hat in a bid to avoid work, but now he's forced to defend his ship! Who knew being in charge took actual effort?","BULL,R-T,",
PENNY,Penny doesn't care about studying old maps or puzzling over sea shanty riddles. She's a pirate so she can blow stuff up and grab whatever she wants.,"STU, GUS, BONNIE, CARL",
FRANK,"Frank is a good-natured giant who helps out at the mortuary by day and spins tunes at the Club by night. He doesn't get a lot of sleep, and it shows.","MORTIS, NITA, PAM, POCO, DARRYL",
GENE,Most people look at Gene and see a funny little guy in a costume. What they don't see is that his personality is split between his body and his teapot.,"RICO, PIPER, SHELLY",
TICK,"Tick follows Penny around like a pet as she plots her next big scheme. He isn't good for much besides blowing things up, but that's usually plenty!","MR. P, MORTIS, CROW, LEON, BARLEY",
LEON,"Since Leon doesn't like hanging with other people much, his ability to become invisible comes in handy. Only his little sister, Nita, seems to get through to him.","MORTIS,SURGE,OTIS",
ROSA,"Rosa is a botanist with a strong connection to plants. She's also a boxer, and won't hesitate to punch one of her specimens if it goes out of control!","COLLETE, MANDY, PIPER, CROW, EMZ",
CARL,Carl is a mining robot who's fascinated by rocks and stones of all kinds. Don't let him get started on his latest obsession: the effects of Gems!,"MORTIS,SURGE",
BIBI,"Bibi is a tough punk with a baseball bat and an attitude to match. She's a bit of a nerd too, but she'd never show it. She's got an image to maintain!","	8-BIT, MAISIE, MORTIS, SHELLY, EDGAR",
8-BIT,"An arcade game famous for its brutal difficulty, 8-Bit always hated its players. Now that it's missing one of its guns, it's angrier than ever before.","BONNIE, MAX, LEON, PENNY, CROW",
SANDY,"On the rare occasions Sandy wakes from his slumber, he tries to help his big sister Tara around their store. But it's never long before he falls asleep again.","MANDY, ASH, EDGAR, LEON, CROW",
BEA,"Bea spends her day watching bugs as they go about their lives, imagining what they'd say if she could understand them... or even what it's like to be one.","MANDY, ASH, EDGAR, SANDY, CROW",
EMZ,"Emz supposedly works for her uncle Mortis at the mortuary, but she rarely makes an appearance there. She's too busy hawking her hairspray brand online.","ASH, RICO, GRAY, MORTIS, EL PRIMO",
MR. P,"Mr. P is in over his head trying to run a hotel. He's always yelling at his employees to work faster, as if they could understand his gibberish!","EDGAR,TARA,BARLEY","SURGE,MORTIS,MEEPLE,"
MAX,"Fuelled by energy drinks, Max speeds to the scene whenever someone needs help. She never sticks around long enough to do much... but she sure is fast!","MORTIS,LOU,CROW",
JACKY,"Jacky is a miner who can't resist mouthing off about her wild work experiences using very colorful language! Luckily, the bad words are drowned out by the noise of her jackhammer","TARA, SURGE, GALE, EDGAR",
GALE,Gale's job is to use his snowblower to clear the areas around Mr. P's Snowtel. Nobody mentioned anything about stopping when the guests were around...,"DARRYL, SHELLY, LEON, TARA, NITA",
NANI,"Originally a security camera, Nani was modified to keep an eye on Jessie. Unfortunately, she can hardly keep up with the precocious girl!","STU, GUS, BONNIE, CARL",
SPROUT,"Sprout appears to be a cute gardening robot who helps Rosa around the Biodome, but it's actually an incubator with arms and wheels for a strange pink seed!","MORTIS,LEON,BARLEY,MANDY",
SURGE,"Surge is a souped-up soda fountain, always ready to get the party started! He's got the beats, the moves, and an endless supply of energy drinks.","SURGE,MR.P,NITA,TARA","SURGE,KIT,MORTIS,FRANK,"
COLETTE,"Colette has collected every single figurine, plushie, and toy of every single Brawler. Is she obsessed? Yes. But has she lost touch with reality? Also yes.","TICK,NITA,MR.P, EDGAR,DARRYL",
