Brawler,Attack,Description,Damage,Range,Reload,Attack Size,Super Charge,Hyper Charge Rate
SHELLY,Buckshot,"Shelly's boomstick fires a wide spread of pellets to a medium range. The more pellets hit, the greater the damage.",1500,7.67 (Long),1.5 seconds (Normal),30°,10.05%,3.02%
COLT,Six-Shooters,Colt shoots six straight long-range shots out of his revolvers.,2160,9 (Long),1.4 seconds (Fast),0.67,8.37%,2.93%
BULL,Double Barrel,"Bull's double-barreled shotgun deals heavy damage. It has very short range, so Bull likes to get up close and personal.",2000,5.33 (Normal),1.5 seconds (Normal),30,11%,3.85%
BROCK,Rockin Rocket,Brock lets fly with a single Rockin' Rocket that really goes the distance.,1040,8.33 (Long),2.1 seconds (Slow),0.67,20.01%,3.85%
RICO,Bouncy Bullets,"Rico's bullets bounce off walls, gaining range. They can hit enemies behind cover.",1600,9.67 (Very Long),1.2 seconds (Very Fast),0.67,8.40%,9%
SPIKE,Needle Grenade,"Spike fires off a small cactus that explodes, shooting spikes in different directions.",5600,7.67 (Long),2 seconds (Slow),1,14.31%,5%
BARLEY,Undiluted,"Barley lobs a bottle, breaking it on the ground. Enemies take damage from the splash, and more damage over time if they stay in the puddle",800,7.33 (Long),2 seconds (Slow),N/A,18%,5.40%
JESSIE,Shock Rifle,"Jessie fires off an energy orb. After hitting a target the orb bounces to the next target in range, hitting up to three enemies. Each bounce deals 25% less damage.",1060,9 (Long),1.8 seconds (Normal),1,16.70%,10.02%
NITA,Rupture,"Nita sends forth a shockwave, damaging enemies caught in the tremor.",960,6 (Normal),1.1 seconds (Very Fast),1.67,20.90%,10.02%
DYNAMIKE,Short Fuse,"Mike tosses two sticks of dynamite, passing over any obstacles in the way. The fuses are cut as short as Mike's explosive temper!",1600,7.33 (Long),1.6 seconds (Normal),N/A,25.00%,7.50%
EL PRIMO,Fist of Fury,El Primo fires off a furious flurry of four fiery fists. That's a spicy jalapeno knuckle sandwich!,2050,3 (Short),0.8 seconds (Very Fast),1.33,8.46%,10.45%
MORTIS,Shovel Swing,"Mortis dashes forward with a sharp swing of his shovel, creating business opportunities for himself. When he has all three dashes ready, he'll gain a longer dash after a short delay.",1000,2.67 (Short)/4.67 (with dash bar charged),2.4 seconds (Very Slow),N/A,21.25%,6.38%
CROW,Switchblade,Crow throws a triple threat of daggers. Enemies hit by the poisoned blades will take damage over time and have all healing effects reduced for the duration,320,7.33 (Long),0.9 (Very Fast),30°,12.33%,10.02%
POCO,Power Chord,"Poco strums his guitarrón, sending forward bone-jarring sound waves. Enemies hit by the waves take damage.",760,7.33 (Long),1.6 (Normal),50°,14.45%,10.02%
BO,Eagle-Eyed,"Bo releases a trio of exploding arrows, tearing up enemies like an eagle's talons.",3050,7.33 (Long),1.6 (Normal),30°,12.33%,7.50%
