Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7725517954465522,0.011973298103484627,brawlBall,70693,0.3093158820941487,0.011777899287561453,7.656167949298325,0.7775296964364277
LUMI,0.7712025696564924,0.05843356506589765,brawlBall,343700.5,0.4308438835595858,0.057770518280680604,7.3892295295299935,0.7706945883281535
OLLIE,0.7635617528522493,0.019695488918169583,brawlBall,112913,0.2751314182372749,0.019196861783139237,6.5414372237231975,0.7619423581728985
MEEPLE,0.7168777673068634,0.008742946175204032,brawlBall,47806,0.2359257370804715,0.00863807611409121,6.157753142539079,0.7169251072253382
JUJU,0.6965072446535477,0.007426124567409278,brawlBall,39313,0.24722611798540717,0.007296934546513958,5.443420500374095,0.6979175912940049
SHADE,0.6909158554586841,0.010126983555056505,brawlBall,53883.5,0.2967000513610683,0.010088680120053739,5.601539091065088,0.6918785310734463
CHARLIE,0.6883659250055943,0.0034935674124155144,brawlBall,18341.5,0.1656022070216545,0.0034277935882992038,5.23434954619502,0.6931521862363478
JACKY,0.6869596504377538,0.011975924825303443,brawlBall,63670.5,0.27865582819440254,0.012015737201023429,4.766639422121099,0.6864299883565483
MAISIE,0.6865012978402929,0.01483325942748647,brawlBall,77114,0.2874038768205819,0.014622109106717846,4.504914372838901,0.6831744569261845
ASH,0.6851990307192463,0.007726803557345923,brawlBall,40616.5,0.2894816918551577,0.007662888852358229,5.194189205558152,0.6866230516955742
DRACO,0.6850067950368628,0.006062574400259524,brawlBall,31964,0.2688012074169901,0.006008127683206117,5.365270652750752,0.6891763691246227
LOLA,0.6844213000210585,0.002011537785799699,brawlBall,10582,0.2009360774507918,0.0020204563923019794,5.30149154789526,0.6784638071423992
LOU,0.68432446888036,0.006584757871080742,brawlBall,34133,0.12633649986088477,0.006518261508485671,4.88714303273651,0.6783457212130848
BUSTER,0.682366556933561,0.00720751922039773,brawlBall,37364.5,0.2558025141191474,0.007110524547890983,4.7635112453843576,0.6807159774093642
SANDY,0.6823650970021417,0.009303250593209206,brawlBall,48785.5,0.1895338119046954,0.009275419542322649,4.988726285706079,0.6813426999245831
OTIS,0.6789107349067267,0.003949565407048851,brawlBall,20386.5,0.22477799292248113,0.0038802815140740843,4.993648940917986,0.6805935768177873
TARA,0.6788791760927478,0.01235870332970106,brawlBall,64413.5,0.19593961039645164,0.012295676052325896,4.687546590896814,0.6786297502028088
DOUG,0.6766289692778411,0.0030528488424988102,brawlBall,16288.5,0.29502804368911567,0.0030718139661894493,5.427531522163005,0.6869016994897313
R-T,0.6732223217009078,0.0017168716451713619,brawlBall,9082,0.18843100189035916,0.0017131843167399936,5.560021811949833,0.6867296786389414
SAM,0.6723932291876284,0.007233367928446734,brawlBall,37014.5,0.25615293142589457,0.0071898038523783075,4.797142118672229,0.6669038953551223
JANET,0.6720225076558112,0.00539173004059174,brawlBall,27483.5,0.23586014396944321,0.005290727702404145,4.964534547375305,0.6729224817589736
BEA,0.6715382061933689,0.01038406596333405,brawlBall,53038.5,0.24059111072016487,0.010308770868949107,4.148951825269789,0.666488646502218
NITA,0.6693215393873778,0.01386844137123876,brawlBall,71893.5,0.22423825547024595,0.013936317214633042,4.600584594222833,0.6682669963376773
MR. P,0.667501797177643,0.004669157827724918,brawlBall,24181.499999999996,0.16487206527168785,0.0046678929050592765,5.057098677051715,0.6710745407115501
CARL,0.6663346906695747,0.017427518556199312,brawlBall,87747,0.290206750576407,0.017136377114551987,4.123411262640319,0.6633178364893979
RUFFS,0.6659421837437642,0.0034845610742209898,brawlBall,17312,0.1605219238355333,0.003415228077620657,4.653526404121619,0.6566530116825975
AMBER,0.6648762857419229,0.003918391728174798,brawlBall,20139.5,0.2553254829319926,0.003916294008596105,4.966307139188495,0.6661649907382906
HANK,0.6634162487443029,0.014706858712477571,brawlBall,74804,0.2631082261009146,0.014687786569749013,4.541478977277877,0.6597461700607675
MOE,0.662097410642385,0.006488569022553377,brawlBall,32525,0.22328697594152877,0.006380559056410464,4.488464101282692,0.6603390518729063
MEG,0.6614136161371663,0.004104471989026597,brawlBall,21083.5,0.23141801181413274,0.004100890428358259,4.839292692457992,0.6659980415074075
PEARL,0.6608109144090202,0.003173364544023722,brawlBall,16455,0.23154947863837383,0.0031928055844756614,5.236775924218292,0.6676268917109588
ROSA,0.6606412654462832,0.0028377452839606666,brawlBall,14793.500000000002,0.20611065980684176,0.0028703771712910984,5.248916437526216,0.6676369708457442
GRIFF,0.6573267358689112,0.009440687801051274,brawlBall,47726,0.25745343326352915,0.009402629145274533,4.456478565551678,0.6575278298247548
BONNIE,0.6549608673588772,0.0014356647906181143,brawlBall,7461,0.20708325936445943,0.001459412817572232,5.280359270461003,0.662258121782354
CLANCY,0.6548312273111881,0.006798169126801666,brawlBall,33987.5,0.2479805054013086,0.00675130639210119,4.487026066350711,0.6521384577009421
