Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7903871697967924,0.01112008238501062,hotZone,4988,0.16112249724105313,0.010769502426236633,7.137461993919027,0.7863786851647485
LUMI,0.7526027242894157,0.058416007033641665,hotZone,25697.5,0.49465295479183147,0.05794953291973554,7.054734701202369,0.7529079136269081
FINX,0.7446728020508907,0.017775830777131255,hotZone,8060.500000000001,0.39778576284354666,0.01748282618366051,7.555500691289749,0.782800815771584
GRAY,0.7388331576172794,0.01971077468324835,hotZone,8276.5,0.09267067372387189,0.01892600402731511,5.385485476427473,0.7424867677401992
DRACO,0.737138418867665,0.011435899738835117,hotZone,4937.5,0.25682724762196996,0.011066627276400816,5.937441788264514,0.7575176434489107
JACKY,0.7342690390694403,0.008651709180423723,hotZone,3739,0.23645812512492503,0.00849437500212232,5.700792199878123,0.7473515890465721
HANK,0.7242857426442317,0.01457570304085453,hotZone,6322.5,0.2550540667606958,0.014445361286839237,5.847463681829007,0.7431241184767278
DOUG,0.7089148673021954,0.004775568970715868,hotZone,2093.5,0.2182741116751269,0.004682687638587519,6.083027185892726,0.7590645395213923
CARL,0.6963862421813647,0.011921672326919331,hotZone,4609.5,0.2929032258064516,0.011842547599400996,4.5098468271334795,0.6608602150537635
SANDY,0.6800732869673269,0.0140043724013473,hotZone,5855.5,0.20002430428970713,0.013971659382863197,5.657422310263712,0.7115688419005954
BUSTER,0.6797049162215875,0.006950731209738099,hotZone,2895.5,0.24049049049049048,0.006784633721463281,5.597817812737884,0.7245995995995996
FRANK,0.6796567684877489,0.01753724173347007,hotZone,7054,0.16663452266152362,0.01760676969258614,4.949239581275924,0.6802314368370299
CHUCK,0.6736494412579529,0.021951556546570737,hotZone,8733,0.1835687791018862,0.02151353700817348,5.192366167880292,0.6892115855102202
KENJI,0.6721244319314691,0.014035328896982384,hotZone,5659,0.22753463283069755,0.01384941373022422,5.098456559621608,0.6937599607698909
POCO,0.6719853343520168,0.02989224390093392,hotZone,11828.5,0.22266583014886215,0.029768514273877802,4.782752038868645,0.674642103462043
MR. P,0.6600556141026632,0.013066655343106422,hotZone,5237,0.1901510177281681,0.012929175622858578,5.1944370508384345,0.6877216021011162
MEG,0.6575474067055419,0.007813439864410548,hotZone,3188,0.23339951467019635,0.007696382547395658,5.504948268106163,0.7032870063975293
ASH,0.6573394191924832,0.005754873636908615,hotZone,2435,0.2836667661988653,0.005686120703999131,5.970257966616085,0.7270827112570917
BIBI,0.6565930943062089,0.013835700232367196,hotZone,5492.5,0.18389261744966443,0.013913932269117012,4.67595818815331,0.6702257474069555
CHESTER,0.656443067994874,0.019843704319439263,hotZone,7617.999999999999,0.2852060737527115,0.019567793703669747,4.488078417520311,0.660997830802603
NITA,0.6552282531271444,0.01144559400983663,hotZone,4658,0.1944525975931905,0.011569192737249948,5.125130968417902,0.6835926034634576
