Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7252476448329599,0.02254112379894063,knockout,62550.5,0.3510146371991146,0.022962288804264232,7.317476465641192,0.7249122115730063
FINX,0.7198063349168022,0.004654320764419267,knockout,13021.5,0.27664323178216715,0.004769317973159613,6.993286154962802,0.7265651155005022
OLLIE,0.7028442976477605,0.011470975943167228,knockout,28906,0.15995460910715148,0.011021962493713027,6.490591016548463,0.6979091216379352
ROSA,0.6711188616851346,0.0005419742848959159,knockout,1450.5,0.11185383244206773,0.0005971626789292586,5.619321148825065,0.6463903743315508
BONNIE,0.6680361111184402,0.0037975878814006355,knockout,9501.5,0.21903164954936072,0.0038089079427426373,5.048214854956965,0.6638370711940195
DRACO,0.6668350358958859,0.0006547499471302425,knockout,1646,0.14905362776025236,0.0006748683394672904,5.528451492537314,0.6490536277602523
GROM,0.6649236047456587,0.04787984650926229,knockout,117141,0.3798995715354447,0.0469544437259332,4.592532928298008,0.6638990274534696
DOUG,0.6616827278028019,0.0005415733104210153,knockout,1349,0.15801776531089293,0.000569220574968665,5.254556143445033,0.6306685366993923
MR. P,0.6606072911870303,0.02191882414324341,knockout,52634,0.1611713367593183,0.02128310141387046,5.331251219988288,0.6581142078347525
ASH,0.6555294899548317,0.0006204793588746564,knockout,1607.4999999999998,0.17377182298010557,0.0006554419243327825,5.802498798654493,0.6526593585058871
SAM,0.6555181031501794,0.0013315789490768335,knockout,3230,0.1824803149606299,0.0013518656011411022,5.004437869822485,0.6358267716535433
CHARLIE,0.6530830618198571,0.0014188704557952596,knockout,3231,0.10995850622406639,0.0014109431923720718,4.823620422898402,0.6093926820067899
MEEPLE,0.6521892930123704,0.011080547733423997,knockout,26683,0.22569275644141953,0.010947982447036408,5.855605321211311,0.6485901798736023
MOE,0.6502458309320934,0.001861982256268477,knockout,4441,0.1754012214174123,0.0018737176570146655,5.090579052459612,0.6307342707001846
CHUCK,0.6457434267215221,0.0015264907319237223,knockout,3497.5,0.14129089301503095,0.0015048818847348295,4.374235807860262,0.6184792219274978
EVE,0.645514708541542,0.0024086123003451824,knockout,5600.5,0.15296624425255131,0.002372949914443939,5.007678771396576,0.6280699786923853
RUFFS,0.6412703758404075,0.0026028939804457986,knockout,6029.5,0.15988823346786712,0.0025714719102020614,4.783611383709519,0.6239780606436924
PEARL,0.6405718081474889,0.00452851024941357,knockout,10493.5,0.18161729574773053,0.004455834178249334,5.19640062597809,0.6267021022455805
LOLA,0.640268740899405,0.0015888581744562672,knockout,3886.0000000000005,0.16333118140735958,0.0016488502489508405,5.1359335779107935,0.6271788250484184
BUSTER,0.6370623737568891,0.0026090804437728355,knockout,5866.5,0.14328855565968968,0.0025555049936531508,4.562725450901803,0.6109028428616058
WILLOW,0.6348558810119668,0.005095850943352598,knockout,12074.5,0.15162887672660932,0.0051054215665141825,4.843938719725383,0.6293719051342195
R-T,0.6339587262552073,0.009450331905985132,knockout,21227.5,0.11029736168710845,0.009047653262440223,5.2507526342197695,0.6243565987234919
HANK,0.6334021280361095,0.007883454133895039,knockout,18504.5,0.1853238866396761,0.007887656775161865,4.808124459809853,0.6243083670715249
SHADE,0.6329943187909491,0.003577736122682354,knockout,8711.5,0.21018050541516245,0.00368569657004021,5.371878743204644,0.6289891696750902
SPROUT,0.6290618463968943,0.03719693816145553,knockout,84800,0.24325084156401436,0.03596947125555848,4.688816968963189,0.6273813487219324
KIT,0.6289671981051528,0.018503396759794007,knockout,42292,0.15425846081152914,0.01802239093930709,3.8532305237968627,0.6244758135963617
DARRYL,0.6286870734158314,0.015391888934296596,knockout,35551.5,0.14899140501666375,0.015171231874223276,4.2034673506597855,0.6236011226100684
OTIS,0.6271352665439017,0.00177000634933534,knockout,4029.5,0.17210904733373278,0.0017765855813421257,4.875235503454051,0.6035799880167765
PAM,0.6258287032606975,0.0009837176804151076,knockout,2419.5,0.10191570881226053,0.0010418413048164203,5.1224547511312215,0.618007662835249
GRAY,0.6240013692840073,0.042994335319028944,knockout,97139.5,0.18867610324729392,0.04154857801302368,4.324378145047817,0.6221706270415679
TICK,0.6239198355638272,0.035524136298912545,knockout,82442.5,0.20088008634809454,0.03525681454692544,4.296161561214429,0.6222685999381071
MEG,0.6221294263920628,0.0011073037417862368,knockout,2579,0.14625693160813308,0.0011517469137280888,4.666347992351817,0.5958872458410351
MICO,0.621748946182665,0.019465636847105117,knockout,44337.50000000001,0.18496076843604278,0.019060772745537913,4.337050920859625,0.619014045179125
JANET,0.6193016089849517,0.005843935655358697,knockout,13058,0.18563515337708886,0.005716954470337461,4.765642615558061,0.607829446539124
MELODIE,0.6191902498950306,0.002412466110576171,knockout,5418,0.14571491036292086,0.0024344225431572448,4.505213764337852,0.5922606034105815
JUJU,0.6188181865879464,0.00940093885181901,knockout,21280.5,0.18504887866589995,0.009255489292851877,5.461881241275636,0.611860264519839
TARA,0.6171130511732703,0.0022205489069426266,knockout,5533,0.09938922820655191,0.0023963680587156745,4.724235807860262,0.6144364242087729
JACKY,0.6160805197763717,0.0009388721859682954,knockout,2285.5,0.13123223973133558,0.0010301322326805526,4.745044694908667,0.5904159132007233
MAISIE,0.6147085700843137,0.003616360148094003,knockout,8608.5,0.17759505235786072,0.003786554259574162,4.757469628981066,0.6049968374446553
SANDY,0.6143479657169901,0.0010448090057695962,knockout,2596,0.14788397527341893,0.001119280850078637,5.254617014834999,0.6172135045173561
CLANCY,0.6130235921736417,0.00034988841739594536,knockout,888.9999999999999,0.11944646758922069,0.00036537627369423887,5.884584342211461,0.6474872541879096
BULL,0.6106121274829458,0.0009655847236057167,knockout,2271.5,0.10852517075638755,0.0010519536852973972,4.521694915254237,0.5746268656716418
LARRY & LAWRIE,0.6105638444619035,0.012490396263533994,knockout,28545.5,0.1759482079349192,0.012495975006453296,4.678650137741047,0.6079072342781694
SQUEAK,0.6094843201634177,0.022752879692070443,knockout,50988,0.17010511313023338,0.02240557564725888,4.608377962316515,0.6055941564225904
GALE,0.6092404873176488,0.002555836761712829,knockout,6242,0.11785229695677457,0.0027457774158610028,4.472328244274809,0.6049622019771274
CARL,0.6074018892541173,0.01716707612843462,knockout,37798.5,0.15783188165793538,0.01671230543646897,4.433099200719698,0.601877358640786
BIBI,0.6030446942032714,0.00332379198658622,knockout,7801.500000000001,0.14667373041701354,0.003516181139345942,4.298337801608579,0.590441232119882
AMBER,0.6029946899789795,0.0016002382119343968,knockout,3736.9999999999995,0.15236895954667087,0.0016906303472538234,4.869093102754876,0.5882260349441208
