Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FANG,0.9001702718042505,0.021904996308146688,brawlBall,3,0.3333333333333333,0.02040816326530612,NaN,1
AMBER,0.9001135790005048,0.014767413241447206,brawlBall,2,0,0.013605442176870748,NaN,1
JANET,0.9001135790005048,0.014603330872097793,brawlBall,2,0.5,0.013605442176870748,NaN,1
GRAY,0.9001135790005048,0.014767413241447206,brawlBall,2,0,0.013605442176870748,NaN,1
ASH,0.9000568217690511,0.007301665436048896,brawlBall,1,0,0.006802721088435374,NaN,1
DYNAMIKE,0.9000568217690511,0.00721962425137419,brawlBall,1,0,0.006802721088435374,NaN,1
MAISIE,0.9000568217690511,0.006645335958651243,brawlBall,1,0,0.006802721088435374,NaN,1
BROCK,0.8996026991234155,0.02165887275412257,brawlBall,2,0,0.02040816326530612,NaN,0.6666666666666666
POCO,0.8994886040785403,0.0060710476659282964,brawlBall,0,0,0.006802721088435374,NaN,0
NITA,0.8994886040785403,0.007301665436048896,brawlBall,0,0,0.006802721088435374,NaN,0
BUZZ,0.8991496062992126,0.03314463860858151,brawlBall,3,0.2,0.034013605442176874,NaN,0.6
MELODIE,0.8990923988402874,0.029534826482894412,brawlBall,2,0.25,0.027210884353741496,NaN,0.5
TARA,0.8990923988402874,0.029370744113545,brawlBall,2,0,0.027210884353741496,NaN,0.5
COLETTE,0.8990923988402874,0.029206661744195585,brawlBall,2,0,0.027210884353741496,NaN,0.5
BIBI,0.8990923988402874,0.028960538190171466,brawlBall,2,0,0.027210884353741496,NaN,0.5
SQUEAK,0.8990923988402874,0.0269095085733038,brawlBall,2,0,0.027210884353741496,NaN,0.5
MR. P,0.8990351264425805,0.02215111986217081,brawlBall,1,0,0.02040816326530612,NaN,0.3333333333333333
BELLE,0.8990351264425805,0.02215111986217081,brawlBall,1,0,0.02040816326530612,NaN,0.3333333333333333
PIPER,0.8990351264425805,0.020346213799327263,brawlBall,1,0,0.02040816326530612,NaN,0.3333333333333333
JESSIE,0.8989777889954568,0.012142095331856593,brawlBall,0,0,0.013605442176870748,NaN,0
LOU,0.8989777889954568,0.014603330872097793,brawlBall,0,0,0.013605442176870748,NaN,0
BEA,0.8989777889954568,0.014767413241447206,brawlBall,0,0,0.013605442176870748,NaN,0
SURGE,0.8986401410224125,0.043809992616293376,brawlBall,3,0.16666666666666666,0.04081632653061224,NaN,0.5
RICO,0.8985826771653543,0.03626220362622036,brawlBall,2,0,0.034013605442176874,NaN,0.4
LEON,0.898525148115467,0.029370744113545,brawlBall,1,0,0.027210884353741496,NaN,0.25
CARL,0.898525148115467,0.02789400278940028,brawlBall,1,0,0.027210884353741496,NaN,0.25
GALE,0.8984675537617456,0.018213142997784888,brawlBall,0,0,0.02040816326530612,NaN,0
CHESTER,0.8980213567839196,0.07063746000492246,brawlBall,5.5,0.2,0.06802721088435375,NaN,0.55
BO,0.8979059237831719,0.05603412913282468,brawlBall,3.5,0,0.05442176870748299,NaN,0.4375
STU,0.8977386934673367,0.06563294773976536,brawlBall,5,0.1,0.06802721088435375,NaN,0.5
MAX,0.8976808497266042,0.06005414718188531,brawlBall,4,0,0.061224489795918366,NaN,0.4444444444444444
FRANK,0.8528961025665257,0.03404709164000328,brawlBall,5,0.6,0.034013605442176874,NaN,1
MORTIS,0.8396238663503705,0.04709164000328165,brawlBall,3,0,0.05442176870748299,NaN,0.375
EMZ,0.7676138094254475,0.03035523832964148,brawlBall,3.5,0.4,0.034013605442176874,NaN,0.7
COLT,0.7369924790969316,0.0306013618836656,brawlBall,2,0.2,0.034013605442176874,NaN,0.4
SPIKE,0.7103896841268541,0.015751907457543686,brawlBall,3,0,0.02040816326530612,NaN,1
JUJU,0.7101300111762887,0.007301665436048896,brawlBall,1,0,0.006802721088435374,NaN,1
DARRYL,0.7101300111762887,0.007301665436048896,brawlBall,1,0,0.006802721088435374,NaN,1
EDGAR,0.5903053945889988,0.009516777422265978,brawlBall,2,0,0.013605442176870748,NaN,1
MEG,0.5601555987774381,0.004594306341783576,brawlBall,1,0,0.006802721088435374,NaN,1
