Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7321329645690658,0.059636266812309865,bounty,11595,0.4768403096706469,0.05948979751143584,7.310192425375671,0.7607269387219525
BUSTER,0.7028168004211124,0.00671589426361955,bounty,1195,0.30842797369994024,0.006529748801773531,4.884172225591268,0.7142857142857143
MR. P,0.7010231529025855,0.019649760226603686,bounty,3585,0.20742716454657364,0.019023308822381464,5.648732862484421,0.7355354944604021
OLLIE,0.658805955801064,0.00771105790655908,bounty,1437,0.2135718043135192,0.007419636863222644,6.560128273650454,0.7559179379274066
FINX,0.6570889009627862,0.013014427292912963,bounty,2450,0.3178199632578077,0.012747256178477199,7.043997485857951,0.7501530924678506
CARL,0.6560249486470585,0.01507480155992047,bounty,2672,0.3063352044907779,0.014601189639829516,5.4664128365515365,0.7142475273990911
EVE,0.6523873716444489,0.005224511770351045,bounty,867,0.1856474258970359,0.0050036688367445705,4.870222929936306,0.6762870514820593
ROSA,0.6446284546725455,0.005253864327418769,bounty,894.9999999999999,0.17727272727272728,0.005151983513652756,4.70046439628483,0.678030303030303
PENNY,0.6433919392263282,0.014846309183675207,bounty,2505,0.26564965807469754,0.014839273726445288,4.590994371482176,0.6588637559179379
ANGELO,0.6355993500149058,0.010362085452935998,bounty,1700,0.175,0.010303967027305513,4.545454545454546,0.6439393939393939
DARRYL,0.6312264224012247,0.006767784522051048,bounty,1091,0.16964285714285715,0.006994207921564954,3.7302593659942365,0.6088169642857143
SQUEAK,0.625501102856798,0.021661651663031672,bounty,3606,0.2806953339432754,0.021329992350085085,4.741778774289985,0.6598353156450137
JUJU,0.6246776665610633,0.009033529333451133,bounty,1487,0.20444444444444446,0.008781790080089925,4.925858951175407,0.6608888888888889
GROM,0.6190291883760767,0.019196474967209592,bounty,3158,0.32841098169717137,0.01876570964669883,4.422970968425514,0.6568219633943427
BO,0.6190192647083378,0.011863641552219684,bounty,1932,0.21456564337034617,0.011951040544549046,4.136824324324325,0.6309601567602874
TICK,0.6189236126860487,0.02417331541026283,bounty,3882,0.1867145421903052,0.02391379014253821,3.993368700265252,0.6335890321527664
JANET,0.6181780942371655,0.008467701599860393,bounty,1419,0.25036040365209034,0.008122180069629838,4.87353515625,0.6818837097549255
MEEPLE,0.615536964476839,0.011280387259043132,bounty,1904,0.2598091198303287,0.011041637394033067,5.494019572308807,0.673029338989042
BROCK,0.6122498049448823,0.023686053227430476,bounty,3792.9999999999995,0.24036393713813067,0.0235937426818416,4.064527027027027,0.627460711331679
