Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7830908617258788,0.05648993832178363,heist,63419,0.5883859843586428,0.056282583696038696,7.6585930566095985,0.7810702629472258
FINX,0.701413516063637,0.004453583487143239,heist,4950,0.16979679802955666,0.004502883966863321,7.4365231259968105,0.7620073891625616
LOLA,0.6888540622546698,0.01039728990154323,heist,9958.5,0.155095606880954,0.010114159476678375,4.9188341493268055,0.682509766294291
EVE,0.6866130121205924,0.012610589512244814,heist,12080,0.08119609623241035,0.012216568200738789,5.1001640913441815,0.6854289605083976
BONNIE,0.6781601144869737,0.0028339868743911182,heist,2685.5,0.13148873653281096,0.00283093875010311,4.657098923628908,0.6575661116552399
ANGELO,0.6752956130410408,0.02131560386793153,heist,19795.5,0.06455607242060173,0.02071285034080094,4.1406022436528245,0.6624778287205917
CARL,0.6548905866977981,0.02074158611302195,heist,18860,0.23540796577365794,0.020414783822058448,4.026632923596047,0.64038572544226
JUJU,0.6512585150058358,0.007788810880003518,heist,7352,0.10874831763122476,0.007725468259035055,5.037867410426947,0.6596680125616868
SAM,0.6510046440066968,0.0016245691231662732,heist,1599.5,0.1651023890784983,0.0016248091161218635,5.094956837801,0.6823805460750854
MELODIE,0.6475700572310872,0.05330669607836945,heist,48897.5,0.2829969814006828,0.0525865588636318,3.903491669620702,0.644550044158549
CHUCK,0.6463597826272282,0.08264975855840517,heist,75726,0.39244601866357876,0.08141236393783303,4.225006518670371,0.6447619371977386
AMBER,0.6421027304229652,0.01284184811025394,heist,11983,0.20881782945736435,0.012876473609675655,4.691286649755177,0.6450796726959518
8-BIT,0.6385104915785335,0.03315029334084109,heist,30252.5,0.25374553599729516,0.03280326015453709,4.367765347633136,0.6392768843902542
MR. P,0.6352551408092066,0.00415131711274222,heist,3941.0000000000005,0.10133111480865224,0.004165999482889249,4.78904318052121,0.6557404326123129
CHARLIE,0.632517284474425,0.0014073679022093485,heist,1326.5,0.08453505718547986,0.0013939808585840732,5.051563357103675,0.6596220785678767
COLT,0.627461385936631,0.1117897754978722,heist,99575,0.40892016129538,0.1105334628189745,3.387870905036876,0.624455189108172
SHADE,0.6240662931315196,0.002320212680578211,heist,2320,0.13352517985611512,0.002408793378209674,5.665106117353308,0.6676258992805756
OTIS,0.6196960354379434,0.0014832744615133715,heist,1419,0.13997181775481446,0.0014757758567506174,5.253421186011151,0.6665100986378582
NANI,0.6195775530945229,0.015217348225404012,heist,13161.499999999998,0.1715053016622679,0.014970564198329303,3.7904277661103127,0.6094133444459878
OLLIE,0.6172798032226867,0.0008024501320078635,heist,829.5,0.031569965870307165,0.0008124045580609317,6.55820348304308,0.7077645051194539
COLETTE,0.6160415079421468,0.05768311144672962,heist,50744.5,0.21778714028014867,0.05725580553863046,3.746402580218326,0.6143476313272558
JESSIE,0.6140421242808871,0.05647659364391765,heist,50476.5,0.2694994887774478,0.05694872770653064,3.7771267481067934,0.6143982180242465
BELLE,0.6126187666588825,0.014447313618451838,heist,12326.5,0.08838557531689104,0.014108944005778331,3.7042928098391674,0.6056057777341063
MEEPLE,0.6120188832995808,0.0021521631276359785,heist,2045.0000000000002,0.031568877551020405,0.0021738060529684997,5.7737276478679505,0.6521045918367347
BO,0.6112267980909868,0.0070774305968822095,heist,6272,0.16752054132431127,0.007170925898583907,3.815839802002475,0.6062832286128564
LOU,0.6098412636531092,0.0021647459546477394,heist,1919,0.06685678073510773,0.0021876696119797786,4.4108718672785034,0.6080481622306717
GALE,0.6090522143706819,0.0024961756520708086,heist,2506.5,0.0522975374460523,0.0027304279472713396,4.807643312101911,0.6363290175171363
DRACO,0.6085837518867004,0.0012983904622761071,heist,1221.5,0.12637075718015667,0.0013274357753299353,4.765070422535211,0.6378590078328982
GRIFF,0.6085491961702822,0.004361424109615691,heist,3973.5,0.16658925530267843,0.004477236382692456,4.546794652039767,0.6151881096144914
NITA,0.6084369515089059,0.01307771877311178,heist,11936.5,0.1852894507856887,0.013542617620167596,4.158625517764425,0.6109689307467882
BROCK,0.6083186598608593,0.03581405160500799,heist,31060,0.2708593262632564,0.035557256152127605,3.463199889943596,0.6055053025577043
BIBI,0.6081873066302801,0.0039774185113062395,heist,3644,0.1325240263024785,0.004111238424794698,3.9808372093023254,0.6143989209239589
SQUEAK,0.6071192072475122,0.011734846051282376,heist,10375.5,0.211638662841754,0.011840172573582572,4.052309081527348,0.6074293074175985
MOE,0.6065993096389718,0.002150647617872192,heist,1971,0.12291399229781771,0.0021599424939572212,4.885882761012834,0.6325417201540436
PENNY,0.6063309097880117,0.01671889891547418,heist,14862,0.15200293410489424,0.0170098937288884,4.0297940503432494,0.6056481519214312
RUFFS,0.6049789316058222,0.0013409394228874921,heist,1217,0.09932397295891836,0.0013329811989344468,4.578260869565217,0.6328653146125846
CORDELIUS,0.6027154210031674,0.0006431413840275773,heist,580.5,0.06708595387840671,0.0006612917648379939,4.442424242424242,0.6084905660377359
GROM,0.6019765033198692,0.007581153274586113,heist,6582.999999999999,0.23125170439050996,0.007625650634153848,3.8222177581357974,0.5984001454413235
MAX,0.6016951254399987,0.0037926901590176884,heist,3283,0.05165586753059755,0.0038512966933332226,3.6901062959934587,0.5908927285817135
MEG,0.600620774323061,0.0015068672621604236,heist,1398,0.07723214285714286,0.0015527186092632141,4.59307992202729,0.6241071428571429
BERRY,0.6005161117572089,0.007670273440641419,heist,6873,0.1986307381725621,0.00789737639077491,4.317120803496699,0.603265162819275
R-T,0.5985648392111209,0.0011502227590458177,heist,1011.4999999999999,0.06946107784431138,0.0011576071774417713,4.513303049967553,0.605688622754491
