Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
ANGELO,0.8559394897068145,0.00008940839104269564,brawlBall,53,0.0234375,0.00009243412263408364,NaN,0.4140625
BONNIE,0.8423313142015753,0.00013139820542334204,brawlBall,110.00000000000001,0.085,0.0001444283166157557,NaN,0.55
PAM,0.839092015450553,0.00024449884001752885,brawlBall,179,0.05865102639296188,0.00024625027982986343,NaN,0.5249266862170088
CHUCK,0.8332167455876023,0.0002221190444901131,brawlBall,137.5,0.0457516339869281,0.0002209753244221062,NaN,0.4493464052287582
EVE,0.8278884259729703,0.0003101041964417659,brawlBall,227.5,0.04906542056074766,0.00030907659755771715,NaN,0.5315420560747663
NANI,0.7922763436863246,0.00028252574315664885,brawlBall,175.5,0.07226107226107226,0.00030979873914079595,NaN,0.4090909090909091
R-T,0.7919752023420011,0.0005952889252056325,brawlBall,461.00000000000006,0.11313868613138686,0.0005936003812907558,NaN,0.5608272506082725
BELLE,0.7668475601619146,0.0005364247790868737,brawlBall,332.5,0.04194857916102842,0.0005336626298952172,NaN,0.44993234100135315
WILLOW,0.7618117598171619,0.0006443182335335925,brawlBall,454,0.046994535519125684,0.0006607595485170823,NaN,0.4961748633879781
BYRON,0.7346389594857229,0.0008715933238325732,brawlBall,601,0.06754530477759473,0.000876679881857637,NaN,0.4950576606260296
FINX,0.7318537384027652,0.0009232304834291506,brawlBall,651.9999999999999,0.08648648648648649,0.000935173350087018,NaN,0.5034749034749034
MICO,0.7302524783934167,0.0005174113275173137,brawlBall,329,0.06334231805929919,0.0005358290546444536,NaN,0.44339622641509435
SPROUT,0.7249212865170779,0.0007350987293287305,brawlBall,438,0.047619047619047616,0.000743083688988063,NaN,0.42565597667638483
LOLA,0.7214000249173639,0.0008319215994684756,brawlBall,590.5,0.07785467128027682,0.0008347956700390679,NaN,0.5108131487889274
CHARLIE,0.7140892506314903,0.001633375655520915,brawlBall,1244,0.04045454545454545,0.0015887114827733125,NaN,0.5654545454545454
SHADE,0.7050879983715179,0.0012502857131169295,brawlBall,928.5000000000001,0.11055555555555556,0.001299854849541801,NaN,0.5158333333333334
DRACO,0.7033220072749649,0.0015667220451553708,brawlBall,1187.5,0.10146923783287419,0.0015728243679455794,NaN,0.5452249770431589
DOUG,0.6928941231051251,0.003060424254789455,brawlBall,2635,0.20702488950918818,0.0031044866656556687,NaN,0.6129332402884392
8-BIT,0.6887514254349272,0.0006956315423190343,brawlBall,538,0.05763952424519671,0.0007893007503051048,NaN,0.4922232387923147
SAM,0.6844320450227278,0.002080392043565093,brawlBall,1579,0.11464522894092974,0.002066047069188385,NaN,0.5519049283467319
LARRY & LAWRIE,0.6830200030079712,0.0013956776825372313,brawlBall,940,0.05116279069767442,0.0013973439632574362,NaN,0.48578811369509045
