Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7511325749007681,0.012341069055466586,knockout,15343.500000000002,0.25861726432899573,0.011815623688758608,6.25521855037473,0.7620691367835503
LUMI,0.7404536500044443,0.04777612644616495,knockout,60275.99999999999,0.38684662213057064,0.04752481638952709,7.018552476825212,0.7443043601743575
BUSTER,0.738627333181825,0.015597357353378343,knockout,18754.5,0.33674603174603174,0.014788602213008688,5.169488811496738,0.7442261904761904
FINX,0.7333025640400694,0.014012195683479115,knockout,17718,0.3454799983031434,0.013833798411398961,7.093263349672494,0.7516226190981208
PEARL,0.6982513697995634,0.00882228277737206,knockout,10416.5,0.3210354667753771,0.008637247911550074,5.198288356684381,0.7077388232096752
MR. P,0.6965462013360563,0.015545058387302793,knockout,18059,0.23061367348526093,0.015090242750210533,5.088318975736979,0.7023022478027534
R-T,0.6961457552554975,0.00657409600266004,knockout,7675,0.22474398007196236,0.006360859499476237,5.28180625819749,0.7080911523203247
ROSA,0.6930006929949457,0.00433404114445249,knockout,5210,0.23255494505494506,0.004272262861535843,5.348166806605094,0.7156593406593407
MEEPLE,0.6859915343958249,0.016363080808796573,knockout,19123.5,0.2857714555971914,0.016130726548768643,5.85826859458053,0.6957288900207371
DOUG,0.6768041546103876,0.002724135112696268,knockout,3286.0000000000005,0.2932429477367155,0.002683661822225743,5.355412313847522,0.7185654931117429
JANET,0.6763183983757165,0.010997125783716121,knockout,12382.5,0.2656802120141343,0.010629014415952912,5.036562763268745,0.6836627650176679
CARL,0.6759169326320398,0.01624068941804733,knockout,18373,0.2948769962748497,0.015911244912750182,4.606503334082565,0.677645409950946
ASH,0.6713517607509563,0.0035156701106151237,knockout,4179.5,0.2803848750844024,0.0034764952186453757,5.264700840048003,0.7055199189736664
JUJU,0.6677231435046627,0.008415530432320855,knockout,9398,0.21562858783008038,0.008178331763511472,5.180124223602484,0.6743685419058554
JACKY,0.6658777707300348,0.003566133525983629,knockout,4308.5,0.2954762663268557,0.003684239868780498,5.153380258634801,0.6862854412233196
DRACO,0.6639942711536397,0.0030747181832043525,knockout,3634.5,0.24461123941493457,0.0030492689324917916,5.597964376590331,0.6994803695150116
GENE,0.6629710005760886,0.012507527892260175,knockout,13638,0.16598679098679098,0.0120844006654871,4.315729727061843,0.6622960372960373
HANK,0.6592471129374919,0.006801533541430713,knockout,7826.5,0.24808996480384582,0.006836207427751516,4.866199649737303,0.6718602455146364
SAM,0.6561716506403332,0.0036841850487821077,knockout,4245,0.24630306885037367,0.003690695211016335,5.035238713868139,0.6749880744156463
MEG,0.6558807949101568,0.003915670759460955,knockout,4508,0.24769811320754717,0.003887876573856451,5.230924005571893,0.6804528301886792
DARRYL,0.654501730241228,0.014194868551518273,knockout,15504,0.23260896977848766,0.01396173155752737,3.9651157813636946,0.6516750031524526
SQUEAK,0.6470272006575132,0.017261810545099367,knockout,18958,0.2297770154373928,0.017106656924968384,4.546477392218717,0.6503602058319039
BONNIE,0.6456386764612804,0.005658312719672021,knockout,6420,0.24372015777454847,0.005653706100004988,4.973773624973455,0.6663898692132032
OTIS,0.6454744984744841,0.004589965291870491,knockout,5054.5,0.23702354624691035,0.004511110524261817,4.894239723293867,0.6575387017041758
CHARLIE,0.6451227906470495,0.003831761902721049,knockout,4242,0.17664530248554008,0.003754074934786372,4.829299363057324,0.6631233390651868
EVE,0.6439842649997817,0.003839225052688843,knockout,4303.5,0.20730565095223227,0.003759356578433875,5.010492845786963,0.6717920699344365
LOLA,0.6430279031952432,0.003885775472364034,knockout,4437.5,0.20885221305326332,0.003911350545623131,5.159612128674773,0.6657914478619655
MOE,0.6417939678233434,0.004512466633529996,knockout,4964.5,0.2421512783150086,0.00443012532166677,4.908413494106489,0.6576367730825274
GROM,0.6413855537091468,0.019950266251610234,knockout,21491,0.2919059583632448,0.019619545602591527,4.20421784049005,0.6428272313950706
MAISIE,0.6412084961655857,0.007891203238491993,knockout,8904,0.265385461747231,0.008000516427378868,4.824193184382758,0.6531211032054574
GUS,0.6385602201115079,0.016340413891925847,knockout,17701.5,0.22527631293794698,0.01624750955830788,4.207667378655079,0.6393664668063281
POCO,0.637455222766722,0.007860817048299003,knockout,8662.5,0.17778763023719796,0.007941831497962166,4.302346638496944,0.6401019729549989
TARA,0.6362169909312286,0.005553458664166447,knockout,6250,0.19792746113989637,0.0056630956887116606,4.585352947401842,0.6476683937823834
SANDY,0.6349509187763417,0.004432805155751742,knockout,5067.5,0.23374249151214416,0.004494091894730974,5.093419112719475,0.661726299294855
CHESTER,0.6339653713416232,0.01533266809560732,knockout,16543.5,0.26044519887350026,0.015211720554103103,4.113081865121596,0.6382276918328769
KIT,0.6330061861298489,0.026214154184779567,knockout,27204.5,0.18132900382697437,0.0253020073180107,3.457160357134444,0.6309752986199698
SPROUT,0.631562674651722,0.00832923820547684,knockout,8855.5,0.2193571686529433,0.008124928477742273,4.429857575086709,0.6396171903214156
KENJI,0.6306587196809004,0.008724258677985725,knockout,9391.5,0.23116531165311652,0.00866189558190509,4.307996119733924,0.636280487804878
SHADE,0.6306406611613213,0.004843171685916044,knockout,5540,0.22663827773834871,0.004961223932887914,5.487837509121868,0.6553110953394843
CORDELIUS,0.6286224418135642,0.007655270941798017,knockout,8196,0.2618328298086606,0.00757563753840195,4.3003005378044925,0.6349058796188706
BIBI,0.6286063877117267,0.008631940437774006,knockout,9505.5,0.22975217593515382,0.00883266872650769,4.2082481254260395,0.6315527207494519
MICO,0.6271900065600392,0.008852697425715548,knockout,9364.5,0.22603526312234007,0.00868713010155427,4.080429692879768,0.632608255083429
GRAY,0.6258360552454086,0.01935487194145316,knockout,20160,0.21519458754887966,0.01890945795664944,3.8851739597145922,0.625659487306809
LILY,0.6217424614200332,0.01693917337837917,knockout,17672.5,0.26774068459830086,0.016647153927635612,3.8803240324032404,0.6229950294356118
LARRY & LAWRIE,0.6207046349770317,0.005641664701631375,knockout,6160,0.1874742055303343,0.005687743359066675,4.589556962025316,0.6355757325629385
RUFFS,0.620421350620987,0.004128445236188136,knockout,4370.5,0.1853580282922561,0.004024025610103198,4.457942533869287,0.6373778620387924
WILLOW,0.620054000188245,0.0042420146002833635,knockout,4558,0.1479634247714048,0.004235878205297488,4.632963594994312,0.6314768633970629
PENNY,0.6194458586742065,0.007262712099307107,knockout,7915.000000000001,0.20733259106091936,0.007379043024856002,4.39123006833713,0.6294735167806585
PAM,0.6140304588412014,0.0025266711209363823,knockout,2869.9999999999995,0.13829063704375424,0.0025885922365706873,5.2407407407407405,0.6506461119927454
BULL,0.613856255298826,0.0025951770037198787,knockout,2933.5,0.19783783783783784,0.002714177985522428,4.771078976640712,0.6342702702702703
AMBER,0.6137430686962576,0.00419853766086183,knockout,4620.5,0.22636576303839273,0.0042646338207116725,4.9072529336915025,0.6358194578230356
TICK,0.6136311358942718,0.012302863988424591,knockout,12925.5,0.15384248437723608,0.01230212175362306,4.034703240921515,0.6165863664551829
GALE,0.613611744261144,0.0038489861983092557,knockout,4287,0.16683968559988135,0.003957124790568158,4.67211112807205,0.6357704285926146
BELLE,0.6126087022357879,0.011219789467740951,knockout,11668.5,0.18096887629244737,0.011181239601764068,4.074227358237033,0.6124232404345772
ANGELO,0.6118224515063567,0.007926740353924912,knockout,8344,0.18349708207135998,0.007944178895138834,4.145149084304525,0.6163847233508163
LEON,0.6103183687756445,0.024939826663681976,knockout,25917.499999999996,0.217122434103788,0.02495811363162883,3.665333558195003,0.6094076982764701
FRANK,0.6097744263424812,0.007696485458255052,knockout,8457.5,0.17150127226463105,0.008072112041267242,4.326456858906791,0.6148673209741912
BROCK,0.6097107021889451,0.0240294931165141,knockout,24958.5,0.23041620895886733,0.024040281335551625,3.71098410162977,0.6092640058586598
BYRON,0.6073548006629543,0.019925756669494837,knockout,20465,0.154621450168969,0.019796774089429963,3.736988706893942,0.6066579711863402
BO,0.6063373730602402,0.007028949736588513,knockout,7539.5,0.17867880068253839,0.0072223542633134095,4.206040268456376,0.612618834809458
NITA,0.6061028333324456,0.004098564178166463,knockout,4575.5,0.18812686364868528,0.004329774092364211,4.543000978884072,0.6201545134182705
LOU,0.6055396070235606,0.0036146760161935984,knockout,3827,0.15158924205378974,0.0036003204197146152,4.514376462721498,0.623797881010595
GRIFF,0.6049075349521776,0.0044282518516722495,knockout,4847,0.20375814904767992,0.004590922028268531,4.528222075346993,0.6195832800715838
SPIKE,0.602240171038766,0.018181065722448,knockout,18971,0.19159963117229978,0.018456997150846678,3.892583872866392,0.6031922673364917
EMZ,0.6015880521501232,0.00859069034862885,knockout,9214.5,0.19589992140424417,0.00896001502334193,4.1041030857917935,0.603517160073356
MELODIE,0.6013017642174325,0.0034870981275163053,knockout,3642.5,0.18438287153652394,0.003494687546764553,4.096629986244841,0.6116708648194794
COLETTE,0.6006923238149435,0.005680261068242702,knockout,6078.000000000001,0.13752122241086587,0.005876121982494285,4.293297531756687,0.6070108858483971
BERRY,0.5988137438135966,0.004242982177400256,knockout,4486,0.12788632326820604,0.004295149984008356,4.373915477190036,0.6129252630140729
BEA,0.5982471550726186,0.017391138610032216,knockout,17799.5,0.1967416445979015,0.017506301294296117,3.809758111688401,0.596677952465556
FANG,0.5981722202866766,0.008579449379182601,knockout,8821.5,0.20820360092053608,0.008670111472023427,3.7490261547022814,0.5970962501692162
BARLEY,0.5972006206655167,0.00537010991505299,knockout,5774,0.15251572327044025,0.005598542266353289,4.362525678451725,0.6052410901467505
CLANCY,0.5960085326516207,0.0011636751174282894,knockout,1299,0.18847117794486215,0.0011707643418631879,5.138303341902313,0.6511278195488722
SHELLY,0.5942662338678301,0.00671930371557012,knockout,7148.999999999999,0.18636249266124297,0.006997004134353277,3.8667242123435477,0.5995974167575274
8-BIT,0.5935735859513966,0.0058461080548006085,knockout,6288.5,0.15324127349443806,0.006119664439573595,4.413398367509457,0.6030398925968546
NANI,0.5903733109283305,0.009262601510934276,knockout,9431.5,0.1706980824664745,0.009364941036317168,3.9105738233397807,0.5910201779671638
MANDY,0.5900031256859503,0.039050779243922716,knockout,38974.5,0.23516168026594136,0.038837686287972815,3.3118174937831117,0.5889165911151405
JESSIE,0.5881758247255394,0.004689796483813374,knockout,4994.5,0.16839842350412038,0.004913689140060387,4.175098716683119,0.5965006568732831
SURGE,0.5863946380352032,0.011494944210357185,knockout,11698.5,0.20339068064402868,0.011700014377807707,3.543841498111841,0.5867733360084265
BUZZ,0.5852588466926658,0.007935768702170031,knockout,8095.999999999999,0.17150108774474257,0.008092651766563088,3.52882674044717,0.5870920957215373
CROW,0.5852114740692953,0.012283434186172879,knockout,12405,0.12815046427894636,0.012387214901277277,3.6792590787228856,0.5876918703808982
STU,0.5819115393025978,0.0155638407666307,knockout,15667.999999999998,0.17268643973421433,0.01580913313556512,3.3448053426424833,0.5816103047626118
MAX,0.5805362969431146,0.009588020461865538,knockout,9610.5,0.13930768302979135,0.009731134995877383,3.7007839721254356,0.5795742371245929
EL PRIMO,0.5791743093308693,0.005824657723863622,knockout,6084.5,0.13902205177372962,0.006120838138161929,3.930948832588177,0.5833652924256951
CHUCK,0.5693964270134447,0.001129553794982589,knockout,1145.5,0.12930135557872785,0.001125576946212328,4.092612419700214,0.5972367049009385
RICO,0.5670344168734348,0.015329736906106145,knockout,15076.5,0.17653668951567592,0.015667115606376705,3.2122051637231137,0.5647263737498596
EDGAR,0.5662694771881982,0.03953956932231866,knockout,38786.5,0.22390557690068694,0.04032358870080369,3.1585503283097682,0.5644792758179066
MORTIS,0.5629533719952251,0.024847223841965287,knockout,23824.5,0.208615978895798,0.024915273633154638,2.697352283385037,0.5611574335782928
DYNAMIKE,0.5536372901617003,0.02424434503822755,knockout,23229,0.17124896216344443,0.02473863199561037,2.963962421098987,0.5510378365555687
PIPER,0.5533042212714429,0.04680322765512979,knockout,44285,0.17897278259679167,0.04715510133420187,2.69693608231649,0.5511306360683484
COLT,0.5416369128245648,0.02401618893115683,knockout,22530,0.15804068752838804,0.024548492824300255,2.763332840892303,0.5385957782505797
