Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7547104460960576,0.05319041382569188,gemGrab,14827,0.4052544476623914,0.052540337262446266,7.23244411640658,0.7668080264791063
OLLIE,0.7219174704232428,0.011116823015746312,gemGrab,3145,0.28769891386713814,0.010757509061958253,7.284982060481804,0.794392523364486
FINX,0.7117313395924374,0.018032926671671643,gemGrab,5095,0.4164882226980728,0.017765242295297565,7.594198378041173,0.7792903028449067
JANET,0.7034226636332277,0.019844164108656845,gemGrab,4941,0.27450702227266277,0.0191537462434311,5.072567897686449,0.700950489431125
CARL,0.7027104921535029,0.019826632628119716,gemGrab,5162,0.2887146457574909,0.01940644852753368,5.305237893547932,0.7227667320078409
MR. P,0.6896161434256491,0.02175440861949632,gemGrab,5575.5,0.2348967626816212,0.021319377645901604,5.218713751772135,0.7106168748406831
ASH,0.6792387463691116,0.005852309116765646,gemGrab,1580,0.3044496487119438,0.005801283618914087,5.87038789025544,0.7400468384074942
GUS,0.6758000697957837,0.012898721389220684,gemGrab,3211.5,0.253784693019344,0.012923140464428757,4.932792831235332,0.6752523128679563
CHESTER,0.6699337839490876,0.01917711744060794,gemGrab,4696,0.2748080544690714,0.01875703082967866,4.679982376266706,0.6802839345212227
8-BIT,0.6674729324570889,0.014957852652681451,gemGrab,3713,0.2564659070356303,0.015023558374227627,4.872050147492625,0.6715500090432266
TARA,0.666942018096698,0.014556067751714856,gemGrab,3638.0000000000005,0.1912568306010929,0.014420333567015015,4.94633307868602,0.6855097041643113
PENNY,0.6591649146482632,0.0261518010995967,gemGrab,6437.5,0.2543134999477151,0.025984859600784737,4.740099798280072,0.6731674160828192
STU,0.6559798692333122,0.01966665786821841,gemGrab,4729,0.21089288201699402,0.01950698599540245,4.1456776195176985,0.6587268421785764
MELODIE,0.6557816031485739,0.009585631355550102,gemGrab,2372,0.2493565913640263,0.009502149328029303,4.7006664734859465,0.6782956820131542
MEEPLE,0.6498238422893758,0.01305107518836611,gemGrab,3358,0.2796983029541169,0.012969333355071165,6.028400597907324,0.7035407500523779
BUSTER,0.648416878060585,0.00613735921542438,gemGrab,1577,0.2830361225422954,0.005942579519702626,5.449583718778908,0.7210791037951532
SANDY,0.6468893046100147,0.010922112374631516,gemGrab,2793,0.20478922424544774,0.010893370505024156,5.372718052738337,0.6966824644549763
SAM,0.6453937927615918,0.005044389152684248,gemGrab,1264,0.2545057345712725,0.004975246045073392,4.885254988913526,0.6903331512834516
GENE,0.6442506516856671,0.013772711485177084,gemGrab,3216,0.200363196125908,0.013466586236692371,4.182319314005716,0.648910411622276
JUJU,0.6407343522330713,0.007266635142709686,gemGrab,1902,0.270473328324568,0.007233263228828711,5.929470072436142,0.7145003756574004
KENJI,0.6386073246636824,0.009661644715192432,gemGrab,2345,0.25007169486664754,0.009474977039416122,4.775218658892128,0.6724978491540006
MAX,0.6360956369296181,0.012445257870252848,gemGrab,2978,0.1813006349901467,0.01240958420963964,4.512923351158645,0.6520691920297789
RUFFS,0.6335968599517261,0.0063299765454302645,gemGrab,1546,0.1806108897742364,0.006138219997717528,5.044354838709677,0.684373616644533
MAISIE,0.6300251364779118,0.005697305970748005,gemGrab,1405.5,0.2599431818181818,0.005738787355103771,4.770562770562771,0.6654829545454546
SHADE,0.6257492887367888,0.005345368040562351,gemGrab,1434,0.23639112903225806,0.005390982060855058,6.197751660705161,0.7227822580645161
AMBER,0.6235341468603441,0.007820217807058404,gemGrab,1918.9999999999998,0.20519031141868513,0.007852791409209232,4.776056338028169,0.6640138408304498
BELLE,0.6234979633154747,0.009847491492080432,gemGrab,2373,0.20327232390460345,0.009798327273912973,4.719367588932807,0.6580698835274542
MOE,0.6228969418620465,0.005537625582721391,gemGrab,1374,0.24937406109163746,0.005426306036052192,5.441340782122905,0.6880320480721082
