Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7255848479923775,0.02057783511540582,knockout,20433,0.3701225499109059,0.02170429934395383,7.191509327727938,0.7430452016436961
FINX,0.6962631299589377,0.006492010699195212,knockout,6329.5,0.33889345706566426,0.006719106160772354,7.153957703927492,0.7435099259955362
NANI,0.6837754105719077,0.08882238622833821,knockout,74113.5,0.39588322868794096,0.08535466904080873,4.677737157855268,0.6853286851668624
MEEPLE,0.6672316845554094,0.008013435068477763,knockout,7255.5,0.2951940672252721,0.008195052186925803,6.2366540980353244,0.6987864778965617
EVE,0.6662440817186156,0.008637072554569416,knockout,7260,0.2195929957406531,0.008338700409792073,5.307248050822986,0.6871746332229058
R-T,0.6626336102975083,0.008254459005611163,knockout,6868.5,0.17641782119007277,0.007918805604490665,5.1652993011242785,0.6845908501943586
ANGELO,0.6619006760527796,0.04321459623270615,knockout,35303,0.2301406916242463,0.042018683740284016,4.531749063956598,0.6631290268046659
MR. P,0.660303178971616,0.006967153411982253,knockout,6073,0.202943189596167,0.006918792976075467,5.408874433732141,0.6927903262605521
GENE,0.6546272383074538,0.01634797463211714,knockout,13311.999999999998,0.16101187506236903,0.015818668586185778,4.593356997971602,0.6642051691447959
8-BIT,0.6532066867831022,0.011650069748891243,knockout,10053.5,0.1902397033505496,0.011919645394101267,4.997138574737702,0.6657065289365647
OLLIE,0.6504378859375933,0.0018064385309478521,knockout,1707.5,0.20336134453781513,0.0018784767605589336,6.329411764705882,0.717436974789916
BONNIE,0.6499319380995808,0.00724851701275336,knockout,6199,0.2430806257521059,0.007214771457255972,5.248828386520866,0.6781533749042774
GUS,0.6442293442326997,0.023660733790553532,knockout,19334,0.23428782684681052,0.023484116610785928,4.412476913605582,0.6497949855481616
MANDY,0.6405765137470032,0.08902090720648921,knockout,70440,0.2983733695009057,0.0867090665706907,4.029763063038019,0.6411855196206045
DARRYL,0.6383888026366106,0.0062937987632363255,knockout,5244,0.16549599507085644,0.006404974332746112,4.20295715910527,0.6462107208872458
BELLE,0.6366152395919485,0.03510894104259169,knockout,27615,0.2167260774964122,0.03409829958389372,4.254791351963746,0.6392065182167492
GROM,0.6363354101192544,0.006548266035726127,knockout,5711.5,0.27388682745825604,0.006806715791201783,4.879425041577572,0.6622796846011132
SQUEAK,0.6346483280830442,0.012454081641916442,knockout,10258.5,0.2301091551517446,0.012509234528612832,4.688599896480331,0.6472648116600417
PEARL,0.6335740733465058,0.0027852620714487776,knockout,2481,0.2549889135254989,0.002847707626931358,5.548460661345496,0.6876385809312638
JANET,0.6322104267668501,0.0036824501853924795,knockout,3096.5,0.22543972543972543,0.0036796044780360287,5.188377192982456,0.6641999141999142
BYRON,0.6248810030870702,0.05151793219251181,knockout,39942.5,0.18668002630178163,0.050414212018462745,3.8589359668684295,0.6253326862260075
GRAY,0.6194361325203946,0.011616113738034128,knockout,9170.5,0.18846444002468968,0.01150843262424782,4.279035536552884,0.6289349153007339
BROCK,0.6156767018874187,0.03660076496441205,knockout,28616.5,0.2386424890575476,0.03660582927645495,3.829770353065632,0.6170141658940469
LOLA,0.6152033748658241,0.0027206529381626275,knockout,2368,0.19444444444444445,0.0028129794851395125,5.218722912453048,0.6644219977553311
KIT,0.6147260039682266,0.00552306685127302,knockout,4195,0.12830629840713137,0.005401015324581842,3.4403175078628125,0.6130352184714306
CARL,0.6116579302442574,0.005670286825535214,knockout,4679,0.18498587380600026,0.005866688134972502,4.495244658855961,0.6294901116642002
MAISIE,0.6093537237363816,0.004022802214580896,knockout,3436,0.19595847237671488,0.004257354473300373,4.868043602983362,0.6370040786058584
TICK,0.6087622530824781,0.008312134004712044,knockout,6771.5,0.16164483927099552,0.00861810409602647,4.177454203851574,0.6201575235827457
BO,0.6084828117082796,0.005917887566819268,knockout,4935.5,0.17808564231738036,0.006266851041528543,4.388330505155984,0.6215994962216624
BEA,0.6071417692422881,0.03793481318959627,knockout,29166,0.21730344568976293,0.03788682414300417,3.9009285943003524,0.6075996833465273
PIPER,0.6063468720834424,0.20651068457365293,knockout,155074.5,0.35846734011997106,0.20197176917782703,3.3545792941457493,0.6060083237265285
POCO,0.6049282109461748,0.003343846176103135,knockout,2922.5,0.12231620039037085,0.0036393514045954803,4.663313212608987,0.633810453263934
SPROUT,0.6048000881472163,0.0024993207832071725,knockout,2113,0.2232800982800983,0.0025698824925965915,4.944566929133858,0.648955773955774
PENNY,0.603696821992217,0.004351990094579658,knockout,3675.5000000000005,0.17085597826086957,0.004647256792508824,4.665205191160996,0.6242357336956522
BUSTER,0.603687218934641,0.0010409313635447572,knockout,890,0.21084337349397592,0.0010481584613538924,4.886590038314176,0.6701807228915663
JUJU,0.6035101550435876,0.0021158959984946555,knockout,1808.5,0.19295058139534885,0.002172087413889994,5.445110528287748,0.6571584302325582
PAM,0.5982296578980909,0.0015735366089256098,knockout,1429,0.12517385257301808,0.0017024682237502605,5.553809523809524,0.6624942049142327
SPIKE,0.592006208491253,0.013646936215584434,knockout,10601.5,0.16464822846842786,0.01401201593705998,3.822245442935098,0.5971666760547513
MOE,0.5917119097634364,0.0011682857193959476,knockout,1035,0.197546804389929,0.0012225884462629363,5.649238914626076,0.6681730148482892
CHARLIE,0.5890860981589253,0.001280680501635741,knockout,1095,0.1297846889952153,0.0013196693880901417,5.3858461538461535,0.6549043062200957
ROSA,0.588120680692617,0.0008410390106663208,knockout,789,0.12030075187969924,0.0009447633119281695,5.254545454545455,0.6591478696741855
COLETTE,0.5880048671254725,0.0037560118846810607,knockout,3098.9999999999995,0.10724017127286882,0.004055299830147816,4.409786548530004,0.6031529778123783
OTIS,0.5878558108237109,0.0018150144517786594,knockout,1470,0.20189818809318377,0.0018295416516704236,4.921403197158082,0.634167385677308
BERRY,0.5872210849355187,0.0012550686299653568,knockout,1134.5,0.09080525414049115,0.0013820221881255012,5.4737783075089395,0.6479154768703598
BARLEY,0.5849871028357536,0.0017380629459454687,knockout,1656.5,0.13641488162344984,0.0021002633024568584,5.362524654832347,0.622510334460729
AMBER,0.5844647753722042,0.002136032028823747,knockout,1780.5,0.20681265206812652,0.0022707469076168286,4.898384201077199,0.618873826903024
GALE,0.5837468430741515,0.001611655031807588,knockout,1388,0.16034327009936766,0.0017474569528896971,4.8353488372093025,0.6269196025293586
RUFFS,0.5829133512538444,0.0015827402717091227,knockout,1267,0.14611193660227836,0.0015935481426758349,4.71326164874552,0.6275383853392769
LARRY & LAWRIE,0.5824194804361393,0.0011630706324042405,knockout,1059,0.1559301625526791,0.0013109873526421802,5.353308364544319,0.6375677302829621
LOU,0.5810319637838255,0.002414256919831326,knockout,1905,0.15819750719079578,0.0024696444469701276,4.539127539127539,0.6088207094918504
MICO,0.5805233345938777,0.0018775858381106427,knockout,1464.5,0.13421706710853357,0.0019053121428526327,3.9859872611464966,0.6066694283347142
GRIFF,0.5800273783260228,0.0019621281927873183,knockout,1710.0000000000002,0.15488936473947182,0.0022115512113807276,4.865362918390372,0.6102783725910065
FANG,0.5798309152280535,0.006368403479923248,knockout,4927,0.16149363776905695,0.006637021461991627,3.7253071253071255,0.5859198477821382
CHESTER,0.5791315959595488,0.0029155813008304387,knockout,2307,0.16792110044121464,0.003041080234635954,4.014848812095033,0.5987542174928627
MEG,0.5783248229548877,0.001168729967547093,knockout,986.4999999999999,0.1768837803320562,0.0012360061374097858,5.06563965170797,0.629948914431673
ASH,0.5771951307915738,0.0004341559920596244,knockout,425,0.1781701444622793,0.0004917189167345444,5.958333333333333,0.6821829855537721
SANDY,0.5770618099104242,0.0008981248980885083,knockout,809.0000000000001,0.17837411207576953,0.001000012628415197,5.258408531583265,0.6385161799526441
TARA,0.5769005749645316,0.0015311978286077499,knockout,1310,0.11412535079513564,0.0016874719807037815,4.818359375,0.6127221702525725
