Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.701656790319723,0.0037426981567632504,gemGrab,4421,0.29581439097037154,0.003763601682440282,7.250625426427109,0.6930553378272456
PAM,0.6706273675711701,0.002282191126855753,gemGrab,2442,0.15283165244375485,0.0022815249578298433,4.681348014681348,0.6314972847168348
ANGELO,0.666289287085417,0.0004218250691865493,gemGrab,435,0.09448818897637795,0.0004495790064303958,5.414012738853503,0.5708661417322834
DOUG,0.6622169199237076,0.0028444587269257334,gemGrab,3113,0.2717435688035933,0.002889813613511914,4.847451130701418,0.6355655369538588
RUFFS,0.6569527795485384,0.0013184669687386235,gemGrab,1324,0.12342342342342343,0.0013097971053483972,4.928785607196402,0.5963963963963964
EVE,0.6547097895097597,0.0014239600212720967,gemGrab,1425,0.11222361284939508,0.0014142268745586072,4.412248628884826,0.5944931163954944
R-T,0.6542064540996028,0.0008503415481213363,gemGrab,883,0.1396457765667575,0.0008661180858790302,5.6991037131882205,0.6014986376021798
BONNIE,0.6492914333567473,0.0005591075730579853,gemGrab,620,0.18415841584158416,0.0005958986830639104,5.398684210526316,0.6138613861386139
CHUCK,0.6490263652696895,0.0011874834987558426,gemGrab,1142,0.10014727540500737,0.0012018273439615699,4.282718120805369,0.5606283750613648
TARA,0.6429315540618568,0.050959954897516015,gemGrab,54640.5,0.17497219783435763,0.05040063861458866,4.857457283521575,0.6396312554872695
CHARLIE,0.6426226825467412,0.0035262538232210404,gemGrab,3484,0.09398044932258617,0.0034402823969759025,5.661598822952428,0.5974961413136683
OLLIE,0.6405191958050817,0.012672394975854135,gemGrab,12888.5,0.11307677394338891,0.012172853097994653,6.5038329368226275,0.6246849554090733
LUMI,0.6396752848826825,0.016602326484756035,gemGrab,17556,0.2261930391101543,0.01644326366038731,6.957264319809069,0.6299246501614639
MR. P,0.6366172768429831,0.01939705157147968,gemGrab,20003.5,0.10736215538847117,0.01883275837960398,5.081296673455533,0.6266760651629073
DRACO,0.6356927427025975,0.003351380310659243,gemGrab,3340.9999999999995,0.18833126440858308,0.0033270026473241495,4.530783242258652,0.5924809363362298
SPROUT,0.6322313241842985,0.000610319629445283,gemGrab,559,0.08955223880597014,0.0006324786022222891,4.253623188405797,0.5214552238805971
WILLOW,0.6313496443234807,0.000682012304360433,gemGrab,699,0.08641975308641975,0.0007168484157650012,4.536216216216216,0.5753086419753086
LARRY & LAWRIE,0.6300123102436705,0.0011975030965987537,gemGrab,1276,0.13767441860465116,0.0012684971966211954,5.349293563579278,0.5934883720930233
BELLE,0.6287668248022736,0.00121490776865595,gemGrab,1160,0.1011764705882353,0.0012537472292186234,4.275,0.5458823529411765
LOLA,0.6282119538757054,0.0024804530433333804,gemGrab,2366,0.13378086789738672,0.002460884561445119,4.718105849582173,0.5672500599376649
SHADE,0.6261523575060446,0.0014841967224297925,gemGrab,1563,0.1713535808023997,0.0015735265225063852,5.279840091376356,0.5860517435320585
SAM,0.6250468189635672,0.002354269170918707,gemGrab,2275,0.17825978558962852,0.002366484770068658,4.27547931382442,0.5671902268760908
CLANCY,0.624555327370481,0.00411758526374724,gemGrab,4126,0.20335066435586366,0.004085150971816352,4.464490782713811,0.5958983246678221
JACKY,0.6241482952272407,0.013470592574921666,gemGrab,14046.5,0.18774030059419783,0.013503890156402755,4.675541795665635,0.6137058720727019
ROSA,0.6212566394594297,0.015682114006781895,gemGrab,15849,0.1557045428274188,0.015312236159958087,4.922223533577245,0.6106808461449543
