Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
JUJU,0.7337920127024,0.08888612803947724,hotZone,22926,0.3635388914159465,0.08609929197053746,6.182191690770444,0.744882708428098
LUMI,0.7304715150011895,0.04172268284815037,hotZone,11044.5,0.43781094527363185,0.04160896967865925,6.915370854547956,0.7425373134328358
EVE,0.7256889016418723,0.028475467896910106,hotZone,7277.5,0.2805696846388606,0.02749873416305099,6.064692529921585,0.7403357070193286
CHUCK,0.6988918162580828,0.03985703047508294,hotZone,9835.5,0.2190551978586414,0.038668871041287266,5.4493559718969555,0.7115315054619114
SHADE,0.6954397034933171,0.04397258510066817,hotZone,11145,0.2514113420579933,0.043606334499861524,6.039482285266048,0.7149730561970746
OLLIE,0.6947401559571126,0.008600336533012494,hotZone,2287.5,0.19448138297872342,0.008414668602488034,6.866080486980048,0.7604720744680851
FINX,0.6845322533724105,0.010745415928111506,hotZone,3013,0.3993743482794578,0.0107309404119495,7.709745762711864,0.7854535974973931
GRAY,0.6739396899296362,0.013683138542553184,hotZone,3162,0.14754098360655737,0.013310170615238719,4.5690278664114015,0.6645649432534678
MR. P,0.668715867992904,0.014970521505452063,hotZone,3697.0000000000005,0.224971450323563,0.014697695757138342,5.217926524331602,0.7036543585839361
PENNY,0.6500055619630649,0.029162047553227946,hotZone,6995,0.3074249299990345,0.028972979626319336,5.077528532073987,0.6753886260500145
CARL,0.6492651041826669,0.011492890756877365,hotZone,2742.5,0.27958038545986824,0.01146666442872289,5.062670977368814,0.669065625762381
ANGELO,0.6402118334420288,0.021239706335042824,hotZone,4962,0.21927966101694915,0.021126189257310385,4.957113958192853,0.6570444915254238
HANK,0.6333804816075183,0.006431147210055483,hotZone,1570.0000000000002,0.14762516046213095,0.006537593259313343,5.304612706701479,0.6718014548566539
POCO,0.6291129008314926,0.013033310598241418,hotZone,3026.5,0.1351981351981352,0.013201070856097417,4.547690979715149,0.6413435049798686
DRACO,0.6260974285333054,0.004661867483252151,hotZone,1139,0.1875,0.00456540530560521,5.262274704785581,0.6979166666666666
NITA,0.6247152852994549,0.009386608561405203,hotZone,2258,0.17583697234352255,0.009609171093599201,4.886011904761904,0.6573508005822416
LOU,0.6245032009696172,0.010709536063288057,hotZone,2448,0.14931650893796003,0.010641422660859202,4.756886868146563,0.6435331230283912
BIBI,0.6180400930181276,0.008336971618691598,hotZone,1901.5000000000002,0.13894389438943894,0.008476212056362615,4.2640750670241285,0.6275577557755776
KENJI,0.6173838290791976,0.008072701324604132,hotZone,1882,0.16836555360281194,0.007958687557871828,4.73218761188686,0.6615114235500879
CHESTER,0.6171660667769829,0.008822791694917868,hotZone,2014.5000000000002,0.22340083574413372,0.008702803863809932,4.6055464926590535,0.6475409836065574
MEEPLE,0.616955598010959,0.006896478877490046,hotZone,1724,0.26465863453815264,0.0069656000067138315,6.141741988496302,0.6923694779116466
BO,0.6162185123417052,0.016753482526505832,hotZone,3820.0000000000005,0.27387477163261914,0.016843324353583926,4.396916821954938,0.6344461052981233
JESSIE,0.6151797861501787,0.02158204048455925,hotZone,4946,0.22696398820966296,0.02182834411742491,4.4098103335513406,0.6338587722670768
JANET,0.6151562430424322,0.004764343059794633,hotZone,1107,0.26833631484794274,0.004691289643075942,5.038158691701999,0.6601073345259392
MEG,0.615050761520441,0.004318326160713627,hotZone,1085,0.19676375404530744,0.004322028919828462,5.707865168539326,0.7022653721682848
MAISIE,0.6087823118215832,0.0035185740335741643,hotZone,868.4999999999999,0.2363356428021555,0.003633861208321794,5.252160251374705,0.6685912240184757
FRANK,0.6057017282721069,0.01189813203387864,hotZone,2721,0.1262024736601008,0.012213578164382566,4.5053003533568905,0.6232249198350893
PAM,0.6056384397161311,0.007019174602152658,hotZone,1660.5,0.10513927030207924,0.007130648360286569,5.154244719011558,0.6514319340918007
R-T,0.603666510492661,0.005018017057354802,hotZone,1199,0.1291240045506257,0.004917881450523259,5.4789139225881,0.6820250284414107
JACKY,0.6012830877144695,0.003850244821395398,hotZone,928.4999999999999,0.13582813582813583,0.004036691088228136,4.595338983050848,0.6434511434511434
AMBER,0.5997543374426088,0.0071809357871136965,hotZone,1659,0.26465989053948397,0.0071558252277807155,4.942254082039028,0.6485535574667709
LARRY & LAWRIE,0.5995735642967389,0.009925913109027172,hotZone,2262.5,0.19260918253079506,0.00999241896545454,4.679384965831435,0.6333986562150056
GRIFF,0.5988129287710549,0.005783163557860809,hotZone,1344.5,0.217003287928605,0.005955727877226404,4.641136801541426,0.6315171441991545
SANDY,0.5966420875694246,0.005884499026549088,hotZone,1401,0.1537740271917487,0.005966917596112692,5.042401143401619,0.6568213783403657
DARRYL,0.5965949341170134,0.010138274963164457,hotZone,2271,0.14046639231824418,0.010196631335129283,4.338759472354758,0.6230452674897119
SURGE,0.5965798418040896,0.011248035828895296,hotZone,2434.5,0.18679950186799502,0.011231680332110857,4.01500508646999,0.6063511830635119
GALE,0.5958009647838665,0.005366252941645926,hotZone,1269.5,0.14452926208651398,0.005496949402888626,4.868366285119667,0.6460559796437659
MICO,0.5951843572876633,0.01102195914792363,hotZone,2374.5,0.1351491569390402,0.010784091576659365,4.033509234828496,0.6159533073929961
OTIS,0.5942291184419353,0.0019330193342172522,hotZone,486.00000000000006,0.2565217391304348,0.0019302265078845558,6.052005943536404,0.7043478260869566
BERRY,0.5939998583177202,0.01697553529740384,hotZone,3734,0.14752751766058814,0.01702795471520767,4.401742335399565,0.6134384754394612
SQUEAK,0.5918755235997418,0.021179280618770065,hotZone,4573,0.2729196983728006,0.021145771265361386,4.108257872685498,0.6049742029368964
GROM,0.5899572946438391,0.0144158590343823,hotZone,3135.5,0.3407735231864537,0.014538242263008748,4.153740428038484,0.6033288435635944
ASH,0.5896616209115528,0.0030879150579409516,hotZone,760,0.21813285457809695,0.0031163367098310073,5.568949771689498,0.6822262118491921
TARA,0.5893532526387663,0.005197148120800463,hotZone,1220.5,0.13780359028511088,0.005298331892657026,4.835844994617869,0.6444033790918691
CLANCY,0.5877412944882674,0.00353131641547408,hotZone,827.5,0.2597299444003177,0.0035219640194589213,4.798202614379085,0.6572676727561557
BUSTER,0.5861946472296783,0.002886183032914914,hotZone,686,0.1943081452404318,0.0028505808862816845,5.2075848303393215,0.6732090284592738
PEARL,0.5860076614809141,0.0029058331271079423,hotZone,741,0.24908088235294118,0.00304360353707014,5.6569821930646675,0.6810661764705882
CHARLIE,0.5852714455465359,0.0023591178784336526,hotZone,586,0.15366146458583432,0.002330258958069326,5.795121951219512,0.7034813925570228
SPIKE,0.5837969458027737,0.01613017885609626,hotZone,3463.5,0.18709122203098108,0.016253066682332274,3.9523809523809526,0.5961273666092943
ROSA,0.5831374692322154,0.0024827189828628376,hotZone,618,0.11466372657111357,0.0025372687574656406,5.552154195011338,0.681367144432194
BARLEY,0.5829928814717716,0.023175475341143743,hotZone,4914.5,0.2272563825961884,0.023338956167073693,3.895257883158152,0.5890566942346878
SPROUT,0.5824444913085137,0.008489813136322697,hotZone,1790.5,0.1840185676392573,0.008437048040260608,4.191734417344174,0.5936671087533156
LILY,0.5820378506275663,0.0035448300468047807,hotZone,816,0.190625,0.0035807100436119296,4.645367412140575,0.6375
COLETTE,0.5816462389599052,0.005107649654245527,hotZone,1142,0.09396689802455953,0.005239585868504018,4.351750547045952,0.6097170315002669
LOLA,0.5810944495843837,0.0025170228162407693,hotZone,619.5,0.18722943722943722,0.0025848250627323616,5.758046614872364,0.6704545454545454
MOE,0.5807644949802031,0.003254806728245904,hotZone,753.0000000000001,0.23734729493891799,0.0032058544609213056,5.037333333333334,0.6570680628272252
8-BIT,0.5793019239542074,0.007164303625475911,hotZone,1623.4999999999998,0.1667910447761194,0.007497111653812477,4.443116081758581,0.6057835820895522
BONNIE,0.5791334849837934,0.002162717534255211,hotZone,539,0.22896039603960397,0.0022603232150300305,5.366624525916562,0.6670792079207921
SAM,0.5790742775848908,0.0027044699605053226,hotZone,628,0.17598343685300208,0.002702317111038378,4.8992654774396645,0.650103519668737
BULL,0.5765935742704064,0.0025920687391144848,hotZone,615,0.09449636552440291,0.0026939248218736623,4.916135881104034,0.6386292834890965
GUS,0.5758584491070736,0.0031244991070272896,hotZone,735.5,0.141396933560477,0.0032841824931253163,4.9412280701754385,0.6264906303236797
RUFFS,0.5750639111553254,0.0023358797977582795,hotZone,539,0.1686746987951807,0.0023218666689046106,5.024630541871921,0.6493975903614457
BEA,0.5740616502616589,0.005830779827065758,hotZone,1295.5,0.21929824561403508,0.0060592327769245615,4.149225715626466,0.5981071098799631
MELODIE,0.5740458814738231,0.0032387781531191674,hotZone,704,0.13418803418803418,0.003272992774239029,4.041739130434783,0.6017094017094017
STU,0.5738802410251668,0.005715863661878884,hotZone,1271,0.12776991984912778,0.00593334843945383,4.215638659543468,0.5992456388495992
FANG,0.5711851651692517,0.007106795244006554,hotZone,1538,0.1967654986522911,0.007264924986922016,3.896129541864139,0.5922217943781286
WILLOW,0.5710687671440721,0.005635217797485995,hotZone,1222,0.08796068796068796,0.005692769483398653,4.341867469879518,0.6004914004914005
MANDY,0.5710233009860729,0.008744794904656805,hotZone,1866.5,0.25204531151667714,0.008890231655155243,3.9329896907216493,0.5873190685966017
MAX,0.5706438278661078,0.0036551522479908952,hotZone,804.0000000000001,0.08406432748538012,0.0038268838591102496,4.077618688771666,0.5877192982456141
CROW,0.5704228868829215,0.010148401803516494,hotZone,2125.5,0.12335526315789473,0.010205023624293999,3.621348314606742,0.5826480263157895
BELLE,0.5695950023543863,0.003628192050497389,hotZone,807.4999999999999,0.18099547511312217,0.003709391810804233,4.348801237432328,0.6089743589743589
DOUG,0.5690266430105468,0.002095518236025128,hotZone,489.99999999999994,0.16732026143790849,0.002140033737002442,4.792963464140731,0.6405228758169934
CORDELIUS,0.5678342845430242,0.003207492252296479,hotZone,692,0.1785400175901495,0.0031806775934271592,3.9964028776978417,0.6086191732629728
EMZ,0.5675614870999622,0.016539175782499613,hotZone,3462.5,0.14266864588487546,0.016960816401889945,3.6751484308736218,0.5710869206663368
EL PRIMO,0.566470355239216,0.007655757175805302,hotZone,1622.5,0.07348242811501597,0.007880359525667817,3.757022984312295,0.57596734114306
LEON,0.566449744132357,0.005451392172287734,hotZone,1144,0.10897110998479473,0.005519328840661201,3.8023983315954117,0.5798276735935124
BYRON,0.564717406122944,0.007182243557887635,hotZone,1502,0.16230769230769232,0.007273317276086731,3.8138443488463043,0.5776923076923077
BROCK,0.5634822254934176,0.010706350467813078,hotZone,2226,0.20127877237851663,0.010937950211345816,3.5409150326797385,0.569309462915601
NANI,0.5631595596154463,0.002806476080872545,hotZone,628,0.13072519083969467,0.0029317063482072673,4.559605911330049,0.5992366412213741
TICK,0.5616846782083311,0.04272648074860823,hotZone,8577,0.21970540098199673,0.04273073899700955,3.1094042212129307,0.561505728314239
RICO,0.5616558022648128,0.008838820270044605,hotZone,1808.0000000000002,0.1705354379449087,0.009038495430398549,3.4757219930180896,0.5595790776849273
COLT,0.5613853435289928,0.011352087436883294,hotZone,2234.5,0.18282950423216446,0.011567371898699474,3.023898431665422,0.5403869407496977
SHELLY,0.5608593991864422,0.003759807442489942,hotZone,821.5,0.09348441926345609,0.00394997076685941,4.0927152317880795,0.5817988668555241
BUZZ,0.5598500661934597,0.006668054915642078,hotZone,1364,0.12994585589337776,0.00671662876149394,3.389765458422175,0.5680966264056643
GENE,0.5568563824319064,0.002060644348720095,hotZone,440,0.09342105263157895,0.002126046588394583,4.057486631016043,0.5789473684210527
KIT,0.5549902717169285,0.004233253995239715,hotZone,835,0.10579514824797843,0.00415138570681258,3.1987620357634112,0.5626684636118598
MORTIS,0.5522901332958564,0.009711203974013588,hotZone,1902.4999999999998,0.1198512585812357,0.009779814306615082,2.863969510407505,0.5441933638443935
EDGAR,0.5488506756768131,0.025660407474547092,hotZone,5068.000000000001,0.16500482470247668,0.026091627013100364,3.0262606201037183,0.543368714484829
PIPER,0.5414375543433513,0.006880953291122516,hotZone,1322.5,0.14019062748212868,0.0070439280389178426,2.9359706362153344,0.5252184273232724
DYNAMIKE,0.519578295430473,0.03507152835481766,hotZone,6427.500000000001,0.1753603567731146,0.03512732501377734,2.466296266034807,0.5118658915346023
