Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
CLANCY,0.8683606171240137,0.00008909101725768468,knockout,55.5,0.046875,0.00009084953542528584,NaN,0.43359375
PAM,0.8482681325719166,0.00022707865562567896,knockout,183,0.06811145510835913,0.00022925312454974474,NaN,0.56656346749226
DOUG,0.8321221643916332,0.0003522935383936009,knockout,300,0.1130952380952381,0.00035772004573706296,NaN,0.5952380952380952
DRACO,0.8061347040737895,0.0003881996388903288,knockout,281.5,0.06859205776173286,0.00039320814551256525,NaN,0.5081227436823105
ASH,0.8028816676885348,0.0004195326741033586,knockout,308.5,0.11390284757118928,0.00042372791131949723,NaN,0.516750418760469
RUFFS,0.7731438070070753,0.0006021370135084579,knockout,432.5,0.04834905660377359,0.0006018781721925187,NaN,0.5100235849056604
SAM,0.7662340304337213,0.0006936150703373037,knockout,509.49999999999994,0.08950617283950617,0.0006898886596357644,NaN,0.5241769547325102
CHUCK,0.765724481933574,0.0007077027915958753,knockout,515,0.06320081549439348,0.0006962765175953547,NaN,0.5249745158002038
LOLA,0.7573370063241863,0.0006355890698144834,knockout,488.00000000000006,0.0876068376068376,0.0006643372277974027,NaN,0.5213675213675214
FINX,0.7531776148546587,0.0008407320881178087,knockout,688.5,0.09626093874303898,0.0008921708283561274,NaN,0.5477326968973747
BULL,0.740264066643172,0.0009092694383311803,knockout,695.5,0.10115830115830116,0.0009191417841855091,NaN,0.537065637065637
BONNIE,0.7382544238944806,0.0008931715784863679,knockout,674.5,0.10238645111624327,0.0009219808321675493,NaN,0.5192455735180909
MOE,0.7361244727299638,0.0008823419568529951,knockout,627.5,0.09807073954983923,0.0008829439224144967,NaN,0.5044212218649518
MEG,0.7337535913580284,0.0011169000031349787,knockout,909,0.07744314689612784,0.0011547827666948441,NaN,0.5586969883220652
JACKY,0.7279972436500587,0.0012596533450678524,knockout,1057.5,0.0920479302832244,0.0013031230237564439,NaN,0.5759803921568627
ROSA,0.7247554127079434,0.0009903115256664587,knockout,697,0.04253785147801009,0.0009844398877724332,NaN,0.5025234318673396
CHARLIE,0.717105490182546,0.0010560263062816505,knockout,726,0.03696098562628337,0.0010369622754401767,NaN,0.49691991786447637
WILLOW,0.6850684333089095,0.0013137763265023883,knockout,921,0.0572192513368984,0.0013272549316037854,NaN,0.4925133689839572
SANDY,0.6780168495249286,0.0007511887896782198,knockout,580,0.08014247551202137,0.0007970627209577812,NaN,0.5164737310774711
MELODIE,0.672444348970221,0.0016984163449795821,knockout,1199.5,0.07061790668348046,0.0016885237873183986,NaN,0.5042034468263976
SHADE,0.6718978097106263,0.001278364385074778,knockout,898.5,0.07415368081676518,0.001320867073644195,NaN,0.4828049435787211
NITA,0.6627721804703248,0.0009943234272614977,knockout,808,0.08575112830431979,0.0011008408550360808,NaN,0.5209542230818827
AMBER,0.6588417512509223,0.0011173271575845548,knockout,802,0.07522388059701493,0.0011888513424793265,NaN,0.47880597014925375
TARA,0.6470528526863278,0.005716088712876688,knockout,5250.5,0.12343532684283727,0.006123826497260673,NaN,0.608541956420955
GALE,0.645410431899941,0.004596877050367531,knockout,4333.5,0.12630834512022632,0.005018017308256023,NaN,0.612942008486563
OTIS,0.6436015542574818,0.001818195477987211,knockout,1196,0.08128175068386088,0.0018162809465102068,NaN,0.4673700664322001
KENJI,0.6414467408585056,0.0036665597859229207,knockout,2900,0.08565965583173996,0.0037120552365175388,NaN,0.5544933078393881
EL PRIMO,0.6402087509981056,0.0018640517644858312,knockout,1439,0.06528719229397074,0.001989462873414658,NaN,0.5133785230110596
OLLIE,0.6392236812690143,0.015622914350348377,knockout,13031.5,0.06178923426838514,0.014978817153244003,NaN,0.6174895754359363
EVE,0.6391888411166808,0.002772567400847171,knockout,2001.5,0.06547155105222136,0.0027318739207181655,NaN,0.5200051961548454
8-BIT,0.6389677061364413,0.0020092088971447515,knockout,1656,0.08599744245524296,0.0022201355219554227,NaN,0.5294117647058824
POCO,0.6347863398595991,0.0025347010014753328,knockout,1867.0000000000002,0.06182721501518079,0.0025714677097328953,NaN,0.5153187965774221
GROM,0.6329098721282785,0.03151975196095929,knockout,27108,0.22915566979551558,0.030926459430359217,NaN,0.6221283822550662
GRIFF,0.6317497261707697,0.002063541268015354,knockout,1493,0.09190082644628099,0.002147030036417888,NaN,0.49355371900826445
SHELLY,0.6306419388681783,0.003690413430479646,knockout,3006.5,0.10243183492999262,0.0038525881116285277,NaN,0.5538872512896095
MAX,0.6306338092341702,0.002381503314471449,knockout,1702,0.05279953582825646,0.0024465495985231274,NaN,0.4937626921961126
BIBI,0.6296404542108627,0.0027722993823690056,knockout,2223,0.10792788342800691,0.0028738263198201746,NaN,0.5490244504816004
HANK,0.6133204633204633,0.005363694667553774,knockout,4064.9999999999995,0.08161073825503355,0.00528772686654984,NaN,0.5456375838926174
FRANK,0.6093599128083944,0.0030134322569434855,knockout,2462.5000000000005,0.08401200171453065,0.003311749471049873,NaN,0.5277539648521218
BUSTER,0.6093540868361471,0.018364014706743436,knockout,14655,0.07738358310900398,0.017665266306249525,NaN,0.5888143356502873
MR. P,0.6047413138081094,0.02809206364370133,knockout,22736,0.08024964243921466,0.027293897537338803,NaN,0.5912365102067352
DARRYL,0.6033685692417876,0.02477714410113148,knockout,20227.5,0.08854575591032016,0.02440800526359496,NaN,0.5881968071185554
COLETTE,0.6031383751298721,0.002712690397709521,knockout,1855,0.0820838627700127,0.0027929134523320296,NaN,0.4714104193138501
