Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7308549088803697,0.03240086659822068,knockout,25160.5,0.37918986142366456,0.032759374960593106,7.108557338122926,0.7450106597181096
MR. P,0.7136654903581393,0.015856850833435982,knockout,11572,0.2347622660596864,0.015341770531112773,5.751746235181032,0.7316641375821953
FINX,0.7004757614172141,0.008980015859851193,knockout,6940.5,0.3327958722992583,0.009024057362856736,7.175831485587583,0.7460496613995485
OLLIE,0.6856598466057524,0.003920607095031958,knockout,2994.5,0.24693213122965188,0.0038732732505521814,6.6578609899974355,0.7499373904332582
EVE,0.6845604058235062,0.021898511032793076,knockout,15032,0.24925760950259837,0.02090578139141012,5.345558387614463,0.6974758723088345
GROM,0.684130935372899,0.023151361787416475,knockout,16228.5,0.3593181136762753,0.02264695982485394,5.085582448197806,0.6951000128496166
MEEPLE,0.6783386505132375,0.011557678738836124,knockout,8439,0.29336905559276627,0.01158586919724399,6.220192142734603,0.7065472203616878
JUJU,0.6749003218527274,0.017003519586651625,knockout,11760,0.27655075187969924,0.01651354966626605,5.531336129418814,0.6907894736842105
ANGELO,0.6730075835313694,0.06010540332552248,knockout,40566,0.3007933597786593,0.05819901038983966,4.787268345665603,0.676122537417914
SPROUT,0.6703281439472827,0.012258534285340203,knockout,8427.5,0.2961003012293414,0.01191470456712558,5.149293433083956,0.6861108849629569
SQUEAK,0.6658119573885981,0.025589803277082032,knockout,17542.5,0.292834290560074,0.025165120946425056,4.906586920594948,0.6761939636896273
R-T,0.6592102598158834,0.0062423653262810245,knockout,4329.5,0.19245647969052224,0.006017978273585208,5.455696202531645,0.697856221792392
GENE,0.6585077090827652,0.013322504163057376,knockout,8903.5,0.16061357996841868,0.012900240660929993,4.869268517098605,0.6694864275509437
BONNIE,0.655295732367437,0.006381728464851359,knockout,4470,0.2488556606652426,0.0063574838177107434,5.3569422776911075,0.6820262435154104
GRAY,0.6515306378082563,0.018304931272166924,knockout,12188.5,0.2295774647887324,0.017906492413021103,4.629155162893429,0.6602654387865655
TICK,0.650121172947788,0.023996388134586,knockout,16080.000000000002,0.2253994264645637,0.02367808666315521,4.623895473009758,0.6587464154035232
NANI,0.6478445743401673,0.028958060790867265,knockout,19154,0.2850328779257947,0.02847093493036741,4.501655109934144,0.6525842390378522
GUS,0.6476288340509475,0.017610312692705153,knockout,11848,0.2328062804068996,0.017545646520407677,4.603892806770099,0.6550199026979213
CARL,0.6427878420307036,0.009619104170248789,knockout,6477.5,0.21646372144510415,0.009639047405644134,4.580519347223648,0.6518566971923115
JANET,0.6407169700110897,0.006301262140055537,knockout,4272,0.25078814627994955,0.0061537804912354215,5.146978243352136,0.6733921815889029
BELLE,0.6385776683090866,0.022722771114696737,knockout,14838.000000000002,0.2191273266204612,0.022253133393668318,4.535389552504903,0.6467895906891592
BROCK,0.6370936962322982,0.039643414639286195,knockout,25886.000000000004,0.26889223107078575,0.03934287246910742,4.136447278868695,0.6382307256096058
MANDY,0.6331090691467424,0.08082421802962587,knockout,51528.00000000001,0.3275862068965517,0.07899032991208746,3.930456236145725,0.632773356911288
PEARL,0.6318084219911942,0.0038126059782368593,knockout,2704.5,0.26706827309236947,0.0038645431079889535,5.3380535530381055,0.6788403614457831
MICO,0.6266615881488258,0.006936310596800729,knockout,4559,0.1932497863856451,0.006811451230998602,4.507261109497531,0.6492452292794075
DARRYL,0.620889947362444,0.008819591145075491,knockout,5796,0.16845761424074676,0.008936755937224455,4.029290566878272,0.629111038749593
PENNY,0.6166412441722801,0.007476304368338641,knockout,5012,0.20311708058793715,0.0076553650121106475,4.616209150326798,0.6350734921439433
KIT,0.615355750367526,0.010873360604944224,knockout,6783.000000000001,0.15707762557077626,0.01062167345192747,3.657845695117406,0.6194520547945206
BYRON,0.6149684677612455,0.03115183126093566,knockout,19617.5,0.17805285205833254,0.03079703291554751,3.921598918605774,0.6178934769599043
LILY,0.6140916475637369,0.007973655240212298,knockout,5072.5,0.21815051647811118,0.007888168813796729,4.079377040944486,0.6237702902115101
LARRY & LAWRIE,0.6140491272902143,0.0033881850959829067,knockout,2396.5,0.1831451390801432,0.003522127516342342,5.239784335981839,0.6600110162489672
HANK,0.6113303821778172,0.002215564417403727,knockout,1605.5,0.1911460488208523,0.002344528286146913,5.382679180887372,0.6642532064542822
OTIS,0.6102388768022677,0.0026034376177847683,knockout,1790.5,0.20590433482810164,0.002595762388799809,5.346035411855273,0.6690956651718983
8-BIT,0.6088606568898878,0.007859877841440516,knockout,5342,0.18071018399156216,0.008277145165780557,4.6949624606442235,0.6260400796906129
BO,0.6084105025539458,0.00752179406545971,knockout,5011.5,0.17038967485728468,0.007816387641610188,4.463896370398872,0.6219285182427401
MAISIE,0.6076819920183119,0.004840488859146746,knockout,3295,0.21109192093648052,0.005054752544109045,4.810800079412348,0.6323162540779121
LOLA,0.604736027082079,0.002590455748884209,knockout,1777,0.18725243068059055,0.002693733988676035,4.904779547980733,0.6398991717680951
BEA,0.601988200866081,0.024047098929117484,knockout,15098,0.20294625296030186,0.024166004630855623,4.047270032117269,0.6060289808533698
BUSTER,0.6010234126609236,0.0014456887981189686,knockout,1008.5,0.22185209860093272,0.0014559937763783683,5.106995884773663,0.6718854097268487
SPIKE,0.6005310532663548,0.016111680549352057,knockout,10200,0.16681486750844746,0.016363197211010455,3.994377559127299,0.6046594344655878
MOE,0.6004960545923607,0.0021138711422764166,knockout,1446,0.2062043795620438,0.0021262747220662116,5.313230481533427,0.6596715328467153
PIPER,0.6004358674876933,0.11004087670399727,knockout,67421,0.26572037032086754,0.1088619677159328,3.3975734738643295,0.6007556113947624
CHARLIE,0.598660641525688,0.0018340581208783748,knockout,1244,0.1478537360890302,0.001830419890756816,5.365010799136069,0.6592474827768945
WILLOW,0.5982110236307423,0.002360833774764126,knockout,1629,0.14623397435897437,0.002421159537535248,5.2388429752066115,0.6526442307692307
JESSIE,0.5968420772006364,0.004615828108810316,knockout,3142.5,0.16360765739096111,0.004915070263097396,4.6343115124153496,0.6201894612196566
SAM,0.5930032219368507,0.001268419547354007,knockout,876.5000000000001,0.1641025641025641,0.0013240716220895886,4.983433734939759,0.6421245421245422
SHADE,0.592844123502339,0.004666101843151335,knockout,3078.5,0.17328519855595667,0.004836498980028344,5.03307676305388,0.6174288006417971
RUFFS,0.5925622443715572,0.002535740538013062,knockout,1659.9999999999998,0.15408320493066255,0.0025181611215711153,4.756756756756757,0.6394453004622496
CHESTER,0.5899609131072626,0.004538007770032442,knockout,2881.5,0.16955161626694473,0.0046512259545198375,4.030537634408602,0.6009384775808133
COLETTE,0.5897985496484108,0.004093612055830494,knockout,2684,0.11020960108181203,0.004303960283671433,4.409239384041064,0.60491322965968
LEON,0.5888952199043433,0.014027281438838057,knockout,8705.5,0.1511461805319366,0.014260202869112852,3.6458552308878143,0.5921706006394123
GALE,0.5882963277582987,0.002154080679799168,knockout,1488,0.15583864118895965,0.002284387304044675,4.889279437609842,0.6318471337579618
POCO,0.5879783194027295,0.004018295953819606,knockout,2655.5,0.1276838739150297,0.004246729349090271,4.2655552946701105,0.6065555047967108
