Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7246438760447598,0.046558248844112714,gemGrab,10002,0.40829906542056077,0.04591108181955486,6.976749504497636,0.7478130841121495
FINX,0.7021294767920236,0.01792630517826825,gemGrab,3996.0000000000005,0.43892460549386325,0.017619557605964495,7.407488114104596,0.7784921098772648
ASH,0.6921394317090387,0.0102672171813435,gemGrab,2043.9999999999998,0.35258152173913043,0.010105586906674355,5.223407917383821,0.6942934782608695
TARA,0.6903013382100607,0.02462750664701925,gemGrab,4900,0.2453769559032717,0.024131207864782855,4.94779348139602,0.6970128022759602
JANET,0.6870821412367908,0.01827250409766046,gemGrab,3660,0.28004667444574094,0.017650451044198212,5.3729080527662925,0.7117852975495916
MR. P,0.6647649034941732,0.01719912060469189,gemGrab,3411.0000000000005,0.20008141664970486,0.01686438467136247,4.916528925619835,0.6942804803582333
OLLIE,0.6630610589087105,0.010323401511996668,gemGrab,2196,0.2884217780840799,0.009961417528250333,6.762521891418564,0.7567195037904894
CHESTER,0.6539125969763452,0.023648264233697452,gemGrab,4523,0.3063918137327599,0.02314605044555203,4.487464344692989,0.6707696870829007
MAX,0.6469602559527288,0.010093658903802415,gemGrab,1905,0.18711656441717792,0.010071260864192445,4.569989579715179,0.6492842535787321
MEEPLE,0.645376831479476,0.010031426519738177,gemGrab,2050,0.2636300897170462,0.00994768711125757,6.200422684043677,0.7073844030365769
OTIS,0.6451260116689933,0.005682083613629326,gemGrab,1120,0.26113861386138615,0.005547088465076684,5.074514715090795,0.693069306930693
CARL,0.6376711399070143,0.01268460327439109,gemGrab,2476,0.26062246278755075,0.012683472697065809,4.652770159078442,0.6700947225981055
SANDY,0.6364925967565891,0.013301171036614665,gemGrab,2522,0.22094841063053675,0.013174335104557126,4.6658685820697,0.6571130797290256
STU,0.6295085739733827,0.013519109512979039,gemGrab,2491,0.1881287726358149,0.013648034490807487,3.89693094629156,0.6265090543259557
GRIFF,0.6253130852352193,0.0112462510410994,gemGrab,2164,0.24441725298256348,0.011221183287336437,4.773690773067331,0.6619761394921995
BUSTER,0.6250647271644256,0.008448421533138994,gemGrab,1643,0.3217863105175292,0.008224519778665678,4.8456659619450315,0.6857262103505843
GENE,0.6233577455907677,0.012927359625097437,gemGrab,2362,0.16007635669484593,0.012587359778116461,4.289422811378072,0.6441232615216799
PAM,0.6207857052901391,0.00849943373535787,gemGrab,1639.9999999999998,0.2137030995106036,0.008416745616564376,5.070803831736776,0.6688417618270799
ROSA,0.620152099055206,0.01338150587019893,gemGrab,2539,0.24023078940466824,0.01308851999835235,4.776004256451184,0.6658798846052977
CLANCY,0.6198596165333955,0.008337137350375329,gemGrab,1635,0.30856901646264245,0.008131839463964521,5.165452207458208,0.6901646264246517
NITA,0.6198382709746713,0.011264728887038045,gemGrab,2243,0.21369782480893593,0.011677719652345842,4.8377891258636225,0.6593180482069371
GUS,0.6193820925743907,0.007891124694343894,gemGrab,1511,0.20162323793250747,0.008035726545015172,4.703607127335941,0.6454506621102093
BO,0.6189617181851214,0.02238839214210206,gemGrab,4100,0.23521256931608134,0.022284466779256086,4.048321305302792,0.6315465187923598
AMBER,0.6187483012863706,0.00965715629037597,gemGrab,1802.0000000000002,0.19069767441860466,0.009594128873693894,4.493840579710145,0.6447227191413238
JESSIE,0.6163856859170389,0.01622104609133912,gemGrab,3069.5,0.21965438267749324,0.016486798204061456,4.218324829931973,0.6390797418280242
BEA,0.6154200643001256,0.013264090212597836,gemGrab,2436,0.21706817016914404,0.013394021776441351,4.117462803445576,0.6242952332137366
CHARLIE,0.6143680779436216,0.005845047370022744,gemGrab,1171,0.1873873873873874,0.005715286073238044,5.527980535279806,0.7033033033033033
BIBI,0.6140877140600889,0.011378974530437475,gemGrab,2147,0.22943084635800648,0.011639961005615741,4.260999700688417,0.6331465644352698
CROW,0.6126014768786883,0.021129604529049342,gemGrab,3850,0.16669398459268972,0.020942318518213397,4.032510836945648,0.6310440911326012
MEG,0.6125299458102387,0.00555353119560923,gemGrab,1082,0.2774674115456238,0.005529925443835729,5.0465994962216625,0.6716325263811297
MOE,0.6125211991624807,0.005219219829473257,gemGrab,979.9999999999999,0.22899728997289973,0.005066523870329942,5.227209944751381,0.6639566395663956
POCO,0.610628998024262,0.019913862371998162,gemGrab,3711,0.21424901524233603,0.02004297620518735,4.247476505395057,0.6355540332248673
KENJI,0.608658620893449,0.011147354940150131,gemGrab,2098,0.23705552089831566,0.011004929219700402,4.573019408208718,0.654398003742982
MAISIE,0.608314532630198,0.0066155693745929035,gemGrab,1298,0.2944501541623844,0.00667984786697972,5.063907805133578,0.6670092497430626
RUFFS,0.6060467196389442,0.004500794505664649,gemGrab,867,0.2107728337236534,0.0043971660419326935,5.042298483639266,0.6768149882903981
RICO,0.6051150464492633,0.025027095279281587,gemGrab,4347.5,0.18272013228606862,0.024910409029122213,3.342417889587701,0.5990767534793991
8-BIT,0.6048186504122418,0.010795900470897268,gemGrab,1999,0.21475054229934923,0.011077013908912414,4.487563775510204,0.6194607995041834
BULL,0.6034100312171111,0.005873577497837717,gemGrab,1121,0.1962457337883959,0.006034518268319809,4.430057803468208,0.6376564277588168
SAM,0.6030521448279822,0.005354946490160276,gemGrab,986,0.23300970873786409,0.005303373563455122,4.390903098220171,0.6381877022653721
LEON,0.6027976470553077,0.01897328578979402,gemGrab,3343.0000000000005,0.23170954205436964,0.01881410388433497,3.649025069637883,0.6099251961320927
PEARL,0.6023293904206978,0.006150661765491026,gemGrab,1202,0.25892857142857145,0.0061512268127583035,5.11771363893605,0.6707589285714286
EVE,0.6015628676345752,0.004387925315800152,gemGrab,848,0.185334407735697,0.004259861872005053,4.9583673469387755,0.6833199033037872
CORDELIUS,0.6013806846487796,0.007362524826216485,gemGrab,1342,0.2584745762711864,0.007290851423157722,4.255390512697653,0.6318267419962336
PENNY,0.5997374501452265,0.012441846923684744,gemGrab,2283,0.18127218127218128,0.012573629361123698,4.103621169916434,0.6232596232596233
SURGE,0.5995986846031595,0.018990887710755893,gemGrab,3408.5,0.24293683642253014,0.019074981807197484,3.720402561756633,0.6133705236638474
LOLA,0.5966403204516691,0.0057889881715091135,gemGrab,1125,0.24851013110846246,0.005759909928464527,5.10376213592233,0.6704410011918951
JACKY,0.5961297270459387,0.005990450916167473,gemGrab,1124,0.21717171717171718,0.006116900770276394,4.415234822451318,0.6307519640852974
GALE,0.5958588473017421,0.006479967846045424,gemGrab,1235,0.20188778185631884,0.0065459763013002705,4.732726298875201,0.6476140534871526
MELODIE,0.5948362212022904,0.0067346117500080085,gemGrab,1259,0.21168631471040492,0.006697010888220676,4.52532637075718,0.6453100973859559
DARRYL,0.5933438701731607,0.010385550474634547,gemGrab,1885.0000000000002,0.2030173827484421,0.010466010352734412,4.0287914295279545,0.6182354870449328
LOU,0.5929610799949242,0.006739491903450043,gemGrab,1231,0.16024653312788906,0.0066832804712279115,4.429921259842519,0.6322547508988187
FANG,0.592269378226896,0.013862847500293643,gemGrab,2441,0.23413784523513312,0.0137956364734797,3.561136478944698,0.6073650161731774
SQUEAK,0.5920728347372624,0.015366476999711696,gemGrab,2696.0000000000005,0.2114221724524076,0.015326577968172894,3.9665597801191024,0.6038073908174693
DRACO,0.5916012210043035,0.005140219738710745,gemGrab,993,0.2557510148849797,0.005073389078826324,5.303867403314917,0.6718538565629228
BELLE,0.5883904147324146,0.005569631530896627,gemGrab,1039,0.18170731707317073,0.005629470967033269,4.470807453416149,0.6335365853658537
MORTIS,0.5880478635919507,0.05102721807562119,gemGrab,8623,0.2730732635585157,0.05050733890788263,2.8595234816141026,0.5860405056408863
SHADE,0.5871857773139016,0.0047662414843407976,gemGrab,939,0.19195483415666903,0.004864000219686672,5.572250179726815,0.662667607621736
SPIKE,0.5870971934678266,0.016682575132673436,gemGrab,2934,0.17176905691391,0.01670648487594568,3.723631788634934,0.602835422231354
KIT,0.5868680574031453,0.006314376314721679,gemGrab,1134,0.13683634373289547,0.0062713679614449895,4.18899388549194,0.6206896551724138
DOUG,0.5866470561805057,0.003416941623687948,gemGrab,664,0.2686868686868687,0.0033982782057091075,5.281443298969072,0.6707070707070707
CHUCK,0.5858370448975982,0.0050894995114841276,gemGrab,949.9999999999999,0.18070652173913043,0.0050527934533371776,4.693370165745856,0.6453804347826086
EL PRIMO,0.584098437006142,0.008871618429061088,gemGrab,1621,0.16302334197851057,0.009264598865867557,4.155402825505918,0.6005928121526491
COLT,0.5840947036708001,0.016427055303734076,gemGrab,2823.5,0.16707971912432878,0.016620669769740908,3.4295401568128843,0.5831268071045023
JUJU,0.5840418107540221,0.0033867847780589635,gemGrab,659,0.2099391480730223,0.0033845477887163434,5.392746113989637,0.6683569979716024
FRANK,0.5839650157845812,0.010520693185337049,gemGrab,1957,0.18605378361475922,0.010977468385714874,4.25,0.6119449656035022
EMZ,0.58220851216346,0.02077815005979648,gemGrab,3635.4999999999995,0.2079272254710851,0.021131111751863906,3.701517425379356,0.5905620532813515
BERRY,0.5819193382321578,0.005281368792111136,gemGrab,1003,0.12619502868068833,0.005385756065411707,4.86328125,0.6392606755895475
COLETTE,0.5812276218977815,0.007684448110538061,gemGrab,1409,0.1491760624457936,0.007915585396328487,4.089506172839506,0.6110147441457069
BYRON,0.5805356920766461,0.012282637131477507,gemGrab,2122,0.12063669366098854,0.012292155812772034,3.65,0.5925719072884669
