Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7256027093809649,0.006944536604061943,knockout,8389.5,0.2545828489671823,0.006757904113057566,6.270162387734737,0.7502011982473397
LUMI,0.7237281429382969,0.03524264910051764,knockout,42524.5,0.35536210981765737,0.03519573024704451,6.745491651858759,0.730134610761993
FINX,0.7174247183152006,0.011021724237926444,knockout,13453.5,0.36527111258205086,0.010955382604455033,6.987192507334687,0.7420982955485685
BUSTER,0.7130881939873235,0.008136119464750352,knockout,9467.5,0.28780261427797976,0.007813014600529489,5.017164703128657,0.7322685435841906
PEARL,0.7075377518930202,0.008269886037074963,knockout,9624,0.336600329193476,0.008077094373167077,5.429917192129453,0.7200359120155618
MR. P,0.7036988573219576,0.01564259956425257,knockout,17949,0.23965002982700337,0.015195162203597649,5.308854943371892,0.7138198448995824
EVE,0.7008454686681415,0.010510583617761294,knockout,11919,0.2634726957353909,0.010103317434159837,5.456380721430737,0.7129014893235242
MEEPLE,0.6841055979176567,0.01455458285770772,knockout,16520,0.300782564792999,0.014363038984096596,5.756949210706932,0.6950521709862
JUJU,0.6801001509233513,0.01304026217869213,knockout,14503,0.23075087116330134,0.012659512945045422,5.3147420028153975,0.6923003484653205
CARL,0.6734483036395711,0.016777476475648805,knockout,18475.5,0.2932198415027884,0.016470842752883574,4.70556198007983,0.6778507484590549
ANGELO,0.6732322761270634,0.02684951999590895,knockout,29093.499999999996,0.2840716786053736,0.026067755497180028,4.535530429468043,0.6744442126248927
R-T,0.6699863234873198,0.005968634577366828,knockout,6580.5,0.20016689266715343,0.005793438856468111,5.14932992980217,0.6863982476269949
JANET,0.6695865927456608,0.009553790060291738,knockout,10467,0.2734747145187602,0.009260921088492104,5.072234762979684,0.6830016313213703
GENE,0.6539060090066766,0.01713287068245796,knockout,17904,0.15968567251461988,0.016533690112962088,4.212865973276085,0.6543859649122807
BONNIE,0.648178483922009,0.006271578878372648,knockout,6808,0.2555512271133619,0.006204968204674514,4.822235434007134,0.6630307752239969
MEG,0.6443215707513772,0.002889037301400822,knockout,3175.5000000000005,0.2285595337218984,0.0029030645943958285,4.846873670778392,0.6610116569525396
SQUEAK,0.6443213823494314,0.022151401852907888,knockout,23471,0.24409927588303576,0.021864838291929613,4.453082732191163,0.6486927201370848
ASH,0.64319281431253,0.001762985850047359,knockout,2033.5,0.2439434724091521,0.001795984174551291,5.444943044528823,0.6842193808882907
LOLA,0.6426570980143262,0.00381724103248904,knockout,4289,0.23885750156936597,0.0038506094078872228,5.134606128669982,0.6731010671688638
GUS,0.6388373993400172,0.020866477545293104,knockout,21864,0.23903997186730747,0.020621185724222158,4.181005453407635,0.6407220724416832
GROM,0.637067760621524,0.015644589118828683,knockout,16528.5,0.2963265623783952,0.015529340954784346,4.226375455842715,0.64318234882092
OTIS,0.6345644961433707,0.003668622034427704,knockout,3907.0000000000005,0.23914128806789814,0.003631247949151651,4.778855975485189,0.6501913795972708
MICO,0.634263050356196,0.007415332264031558,knockout,7814,0.23770084479045883,0.007296336784499423,4.376106567743023,0.6471757495444758
ROSA,0.6315340772952215,0.0022835495254026877,knockout,2612,0.18221649484536082,0.002344689972159828,5.149379783584059,0.6731958762886598
KENJI,0.6310704977980818,0.006287590055675681,knockout,6632.999999999999,0.22322111706197398,0.006318576894047207,4.281789638932496,0.634372609028309
CHARLIE,0.62862038987179,0.002888162771916815,knockout,3084,0.16837169650468883,0.002835382822003586,5.088100935392648,0.6572890025575447
