Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
DOUG,0.7062441385980204,0.0017155327060383494,gemGrab,1969,0.2532552083333333,0.001743688070551254,5.071823204419889,0.6409505208333334
FINX,0.6992977601708366,0.0046060446000917125,gemGrab,5543,0.30476660903926894,0.0045964798161862155,6.8995475113122176,0.6844899975302544
ANGELO,0.6971998206675175,0.0006438289936658983,gemGrab,696,0.12867956265769553,0.000674884477827292,5.135526315789473,0.5853658536585366
BONNIE,0.688621657649588,0.0007360298911054176,gemGrab,859,0.18556701030927836,0.000770810025979363,5.093422306959009,0.6325478645066274
EVE,0.6794427514091612,0.0016973301265918925,gemGrab,1758.9999999999998,0.11641991924629878,0.0016869273911713303,4.375555555555556,0.59185733512786
R-T,0.676290379464725,0.001245809505455448,gemGrab,1288,0.13391224862888482,0.001241923664832729,4.8452860596293315,0.5886654478976234
DRACO,0.6622599065582281,0.003011956389814494,gemGrab,3201,0.20724499523355577,0.0029770976334769945,5.101270053475936,0.6102955195424213
CHUCK,0.6549779182798853,0.0019065792478392138,gemGrab,1987.0000000000002,0.14814814814814814,0.0019156729290724227,4.1811531841652325,0.5887407407407408
PAM,0.6532484562985461,0.002423782185518072,gemGrab,2565,0.16745061147695203,0.002413464087234353,4.485722964763062,0.6032455315145814
RUFFS,0.6525594990553021,0.0026466899532158134,gemGrab,2552,0.10575016523463318,0.002576367237054734,3.935857461024499,0.5622383784974664
CHARLIE,0.6518387205562141,0.003987747543083012,gemGrab,4126,0.11227610310179117,0.003897755853019356,4.983356940509915,0.6008446191932431
OLLIE,0.6508071236426848,0.015127726164314537,gemGrab,16341.999999999998,0.12975522294979733,0.014562519901713207,6.216431750741839,0.6369660118490801
LOLA,0.6507434922293488,0.002338427390967707,gemGrab,2371,0.14316913370541132,0.002339107597246653,5.056114346214929,0.5753457898568308
LUMI,0.6423958386226593,0.019141931881504457,gemGrab,20972.5,0.22986223906635384,0.01887065546664941,6.407385800128347,0.6308277687541358
CLANCY,0.6416283810252956,0.002983457808571996,gemGrab,3148,0.21869015702795863,0.002964042677219612,4.44208115183246,0.602834163155879
SHADE,0.6403984150731585,0.002945784107084916,gemGrab,3058,0.1796681289338165,0.0029759624198893962,5.197500867754252,0.5832538622925806
SPROUT,0.6389175694121833,0.0016800336489984121,gemGrab,1614,0.11081441922563418,0.0017005499542225122,3.9909200968523004,0.5387182910547397
WILLOW,0.6379292126458854,0.000914276905249795,gemGrab,906.0000000000001,0.08550636749545179,0.0009359836029749407,3.9187554019014694,0.5494238932686477
MR. P,0.6357705206563393,0.02026233689050799,gemGrab,21792,0.09981913702523469,0.0197714474484088,4.646174142480211,0.6256136422358108
SAM,0.6324534716110339,0.003367658417965092,gemGrab,3337,0.1790713554114032,0.0033250405980759265,4.04,0.5696483441447593
TARA,0.628999439711906,0.04391862257644853,gemGrab,47781,0.16296499405904397,0.043471301516702116,4.376427155260819,0.6238787261545693
BULL,0.6224005690171115,0.0039016745789158436,gemGrab,3995,0.18222478718799595,0.0039340826878225075,3.9065315315315314,0.5763959024671764
LARRY & LAWRIE,0.621438198261561,0.00180173990751707,gemGrab,1866,0.12182430364248546,0.001854371395342105,4.385060799073538,0.5711662075298439
MOE,0.6212822004446233,0.003053939109002395,gemGrab,2944,0.1434790838538709,0.002998666691641366,4.27134445534838,0.5572591330683324
JUJU,0.620175867233162,0.0037574768588466414,gemGrab,3657.9999999999995,0.10184761032218659,0.003717256892591199,5.050991501416431,0.5585585585585585
MICO,0.6195100809008706,0.003135904411436071,gemGrab,3184,0.11851056211958468,0.003170651550162534,3.9545951859956237,0.5699964196204798
JACKY,0.6164926268793056,0.0086821404297727,gemGrab,9160,0.17527723418134378,0.008701412148942293,4.135584278554471,0.5975212002609263
MEG,0.6155971110268289,0.003855503655607519,gemGrab,3848,0.1543327938796528,0.0038580233774534096,4.521957340025094,0.5661321171104899
BELLE,0.614049187755001,0.002482054602462813,gemGrab,2341,0.09423604757548033,0.0024815769024902614,4.003151260504202,0.5354528819762122
ROSA,0.6074637281978589,0.011750463066707897,gemGrab,11795,0.13937921459738198,0.011447493817342998,4.4520338747744,0.5848373661245537
BUSTER,0.6069781395571439,0.019020943792602604,gemGrab,19145,0.1475034781264492,0.018359241745436298,4.417747313819933,0.5918998299582625
8-BIT,0.6030529258583028,0.0046948090223555,gemGrab,4863.5,0.1343493552168816,0.004841685951107486,4.207736749560412,0.5701641266119578
ASH,0.602296315262403,0.01626940107533349,gemGrab,16287.499999999998,0.18432881441260024,0.015784577328762962,4.86160889470242,0.5856916825488151
HANK,0.6013818435637267,0.0063101335753202505,gemGrab,6197.5,0.12378970228938557,0.006272622678275361,4.558645276292335,0.5608089765632069
PEARL,0.601292103567844,0.005380258294468108,gemGrab,5224,0.15160944206008584,0.005290095318208883,4.717669172932331,0.5605150214592275
BERRY,0.5990050811192447,0.0032917002352233697,gemGrab,3218,0.0950602614157189,0.0033437716222713015,4.3223082336382825,0.5462570022067561
NANI,0.5988074591615662,0.0010973296151477357,gemGrab,1061,0.08931185944363104,0.0011630263204946353,3.990139687756779,0.5178135675939483
NITA,0.596392011847128,0.013223428950771709,gemGrab,13695,0.12661026316908294,0.013350679396951838,4.176311336717428,0.5822456528208835
BO,0.594830733892123,0.020953632197538687,gemGrab,21493,0.14318756972978858,0.020858982065328137,3.643973941368078,0.5848594519578764
JANET,0.5929606629103095,0.0320864224107366,gemGrab,31724,0.12470808892484783,0.03086816026718387,4.710162601626016,0.5833440597245463
GALE,0.5925900999747127,0.00979451804754542,gemGrab,10371,0.1338433190016193,0.010165270070150523,4.071557971014493,0.5790943101234016
JESSIE,0.5914504374325207,0.01676843499289378,gemGrab,17387,0.128208551687306,0.01700493193543132,3.948371401540749,0.5803598250942955
CARL,0.5909049120589032,0.034253596551491794,gemGrab,33933,0.13609914347997734,0.03306820419994971,4.372679412579662,0.5824507801369746
AMBER,0.5882963670066191,0.0067112078147754375,gemGrab,6393,0.11509433962264151,0.0066182952156990955,4.279306549257017,0.5482847341337908
GROM,0.5877205403195603,0.00446565250780501,gemGrab,4398,0.16163255117324013,0.004547665631919481,4.068810770381451,0.5489266100848726
BIBI,0.5869904783032992,0.01379119908371222,gemGrab,14174,0.16161616161616163,0.013992075073944975,3.5593194820837097,0.5749868159506714
GRAY,0.5867695653381748,0.004321072211397885,gemGrab,4032.0000000000005,0.10631229235880399,0.004271241123339253,4.145726495726496,0.5358139534883721
KENJI,0.5847048378121782,0.007760581150371207,gemGrab,7695,0.15919785709114603,0.00784035264274885,3.7425864909390443,0.5570839064649243
GRIFF,0.584339142984502,0.008435452522333515,gemGrab,8303,0.1508357387393435,0.008455638407227224,3.980233602875112,0.5573605423910855
DARRYL,0.5833418702247914,0.009884483893747598,gemGrab,10019,0.12687195019350497,0.010119861526646585,3.4802209944751383,0.5619496326210107
MAISIE,0.5820914570336527,0.008386576717197416,gemGrab,8120.5,0.1530424093423479,0.008311466281602217,4.435302645886191,0.5545653213139384
EL PRIMO,0.5814740036693814,0.005963432158909217,gemGrab,5991,0.12679798442510307,0.006195428154318665,3.421759861291721,0.5488776912505726
BYRON,0.5803260097372952,0.00449918498823071,gemGrab,4186,0.08090817862518816,0.004524961360167512,3.1359271115488796,0.5250878073256398
LILY,0.5802746938494329,0.006358855007548063,gemGrab,6180.5,0.1611278062577338,0.00642190326504456,3.406583217431618,0.5462701078310058
SHELLY,0.5800495303966048,0.007082474659200495,gemGrab,7169.000000000001,0.15051099411582533,0.007331209348710937,3.412280701754386,0.5550480024775473
KIT,0.5790828322618583,0.0036088157481683337,gemGrab,3376.0000000000005,0.09012345679012346,0.0036780920238190513,3.0051080550098233,0.5209876543209877
MELODIE,0.5748177009683788,0.008170045221798396,gemGrab,7693,0.11170662905500706,0.008048664336073172,3.9969068976183113,0.542524682651622
POCO,0.5748082620378183,0.013540692124759378,gemGrab,13277,0.12421087838120323,0.013576586900883933,3.7848453249913105,0.5550817341862118
SANDY,0.5740752706640324,0.017428493277526318,gemGrab,17040.5,0.09710111546181435,0.01725013807035259,4.302787162162162,0.5607087624625712
SPIKE,0.5737861158373605,0.02082812031123753,gemGrab,21542,0.1401457557804226,0.02165192875626567,3.471149183772426,0.5647250039322602
OTIS,0.5735565878315247,0.007899234869473309,gemGrab,7205.5,0.10819039132694735,0.007643960692094316,4.61032531824611,0.5350486374099651
CROW,0.5731690146506453,0.0106558786045814,gemGrab,10756,0.10141460370293322,0.010913943431171717,3.310303928836175,0.5593925525275639
MORTIS,0.5689617349533482,0.03510297642847175,gemGrab,34922,0.21090032154340835,0.0353051425743125,2.26187708284895,0.5614469453376206
MEEPLE,0.5683443835899411,0.010526353022664836,gemGrab,9715,0.11868082976475168,0.010206137759304068,5.525860203419174,0.5402925310049497
CHESTER,0.5679235167179126,0.04054931975141693,gemGrab,39268.5,0.1512629038936562,0.039753477017317115,3.7953172205438066,0.5606822108314177
MAX,0.5673020400387099,0.008006953600128245,gemGrab,7402.5,0.08564483843294252,0.007939683831663718,3.7493546721734643,0.5292036030883615
EDGAR,0.5671993723185156,0.016395845910949933,gemGrab,17258,0.19073613488807778,0.017572538729230557,2.8322016556599388,0.5574469459607868
BARLEY,0.5661766517459185,0.0030416563949953834,gemGrab,2876,0.09728183118741059,0.0031740571909253295,3.5251156642432253,0.5143061516452074
FRANK,0.5639220456774497,0.010565731538008627,gemGrab,10523.5,0.12258363833187277,0.011011004192911386,3.4469192339716903,0.5424764163101191
EMZ,0.5632990889577554,0.019331924660409637,gemGrab,20330.000000000004,0.17239684316884676,0.020785193182134235,3.252063492063492,0.5551762746115405
PENNY,0.563078542036516,0.01642706279775136,gemGrab,15775.000000000002,0.10193181424062706,0.016365806685613382,4.000682943486426,0.5471161516318108
SURGE,0.5590847847656985,0.03060150940594466,gemGrab,29733.000000000004,0.1570578751320398,0.030628630200200593,3.1962678791323293,0.5510090621004059
GUS,0.5572893599377486,0.009563032515639502,gemGrab,8686.5,0.10988018544162803,0.009427381238211517,4.095038852361028,0.5229995785417545
SQUEAK,0.5565054073190158,0.015883059380821136,gemGrab,14938.999999999998,0.10986789865011189,0.01572611382900164,3.9364757070340826,0.5391972857864722
COLETTE,0.5555561674644784,0.005928221712089116,gemGrab,5428,0.0945689327763008,0.0059780347522935574,3.47617438323758,0.515381693885302
FANG,0.5540163580377505,0.009470670533426121,gemGrab,9042,0.1431095406360424,0.009637963358711032,2.9768963402167246,0.5325088339222614
BUZZ,0.5540022066397327,0.015063466763274575,gemGrab,14232,0.10773230838797196,0.015063149093844133,3.2021994983600233,0.5362875876102193
LEON,0.5512392941946295,0.02774616768751793,gemGrab,27838.5,0.13476326164175026,0.029083036900685273,3.246749765446991,0.5433174596978805
LOU,0.5489064798793011,0.01134182455474675,gemGrab,10178,0.05251820699558929,0.01106719726549751,4.334224598930481,0.5220022566417069
STU,0.5481345346070129,0.030069681313172204,gemGrab,28082,0.08976003983377061,0.029638723951814723,3.1922771333227398,0.5377942049524101
MANDY,0.5475806321041844,0.00636090883841481,gemGrab,5886,0.13375851825965404,0.006496827361826059,3.1909522619345165,0.5142407828062205
CORDELIUS,0.5472059183217478,0.00883311713407528,gemGrab,8044.999999999999,0.13470732652797518,0.00878541795442458,3.79830548364321,0.5197699961235301
BEA,0.5464983206729563,0.014693824190319298,gemGrab,13284,0.11326119579812022,0.014372939232584262,3.588272650296359,0.5246031119184899
PIPER,0.546033173212209,0.0048776603762861115,gemGrab,4429,0.10934863314208572,0.005045456790081412,2.5441291330382714,0.49825627179660253
TICK,0.5436618435176601,0.006320718187336129,gemGrab,5966.999999999999,0.08841305474011397,0.0065740218857827555,2.6887295081967215,0.515195993783457
BROCK,0.5401982942930418,0.007170876640723091,gemGrab,6627.5,0.11571329586573255,0.007372644644658281,3.1592151018380528,0.5102394333666949
DYNAMIKE,0.53939873421606,0.01180827907679336,gemGrab,11456.500000000002,0.14101159499680452,0.012433994424966071,2.4345302375809936,0.5229845704373232
RICO,0.5372424088050082,0.05511206791887124,gemGrab,50999.5,0.11414901601067379,0.054453925369923536,2.900100122371788,0.5315991911274183
COLT,0.5251606209927073,0.009596189131592856,gemGrab,8917.5,0.11432281375261108,0.010054019138565873,2.6615090735434577,0.5034437983402021
GENE,0.508063080748219,0.026952355345654936,gemGrab,23321,0.05655324846449748,0.026707602468635468,3.639766552626283,0.4956325845323359
