Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
BUSTER,0.75697880897066,0.024669611059293436,knockout,20584.5,0.3150538427496681,0.02333299774293948,4.942677995028383,0.7591274524266116
DOUG,0.7376320437772654,0.008644312906096968,knockout,7138,0.2738319715063901,0.00821422025571988,4.894281493986073,0.7477477477477478
OLLIE,0.7361091439026943,0.006490262370008694,knockout,5548.5,0.2774669032346117,0.006304796963509277,6.530244173140955,0.7572676402347482
JACKY,0.7344837090221316,0.008671015541285711,knockout,7360,0.30654338549075394,0.00846892475977321,5.057275064267352,0.74781548465759
LUMI,0.7247979230345911,0.03057528347761868,knockout,25781.5,0.3433608784242699,0.030406210659555594,6.741676799258873,0.729610029431741
POCO,0.7169855791053016,0.020623048786988014,knockout,16612,0.20312297244690514,0.01989362645003016,4.586864499236308,0.7185431895843246
FINX,0.7157196312360172,0.011276660546700165,knockout,9714,0.3706363917207291,0.011141601075954431,7.038646580960644,0.7502316960148285
R-T,0.6797427775525297,0.005842803709187575,knockout,4454.5,0.18745252924198694,0.005664593750618476,4.695095619987662,0.6766671730214188
MEEPLE,0.6729889479425105,0.014077817711970779,knockout,11098,0.2946301674596799,0.0139252803685643,5.712795549374131,0.6857813755175184
MR. P,0.6684343137152902,0.010763263817024391,knockout,8251,0.2123226591001216,0.010614121815871016,4.794956321081259,0.6689096068098905
MEG,0.6611073820746574,0.0037286259331271586,knockout,2934,0.24053554939981533,0.003727634836348054,5.175277188016041,0.6772853185595568
PEARL,0.6602339069539693,0.007627697302654894,knockout,5904.5,0.2903077629765733,0.007493131153028359,4.9301565054893715,0.6780546623794212
ROSA,0.6576176419755725,0.003936925124568466,knockout,3200.5,0.1975929978118162,0.00393243102541796,5.124025829436651,0.700328227571116
JANET,0.6571394842847949,0.008061648774555086,knockout,6020.499999999999,0.24099297012302284,0.007833884476018625,4.727049088672705,0.6613027240773286
CARL,0.6534798925647254,0.013645295074369169,knockout,10223,0.26611570247933886,0.013535479218779983,4.345681406775278,0.6499046408137317
TARA,0.6524934981574365,0.005975726714442744,knockout,4558.5,0.19159210339440422,0.006058697341349641,4.577280650784427,0.6474222411589263
GENE,0.6513535613147496,0.021580657675447288,knockout,15621,0.1728461474799305,0.020794557584299878,4.032447634638794,0.646404038732103
MOE,0.6509069057070496,0.003053594911892072,knockout,2331,0.2298490458558815,0.0030211740328758116,5.0335374744823564,0.6639134149814867
DRACO,0.6477055222976292,0.0017764551880082948,knockout,1459,0.2566457225712905,0.0017803500638051992,5.761504205838694,0.7051715804736588
LOLA,0.6429141269946249,0.004458149381271263,knockout,3378.5,0.22885283893395134,0.00445560784455453,4.888426476416964,0.6524719969100039
ASH,0.6398755577784332,0.002047022564026997,knockout,1712.5,0.27478403948992186,0.0020918467883569063,5.689438390611903,0.7044426162073221
BONNIE,0.6352012836535206,0.005778123072497354,knockout,4386.5,0.24380412063302478,0.005763549892395952,4.89484096788921,0.6548969841743804
BIBI,0.6320947856050525,0.007100416030990712,knockout,5352.5,0.21793658305726454,0.007272846176549804,4.109093110546071,0.6332820634169427
OTIS,0.6291780066695584,0.0038416280891759923,knockout,2887,0.23938223938223938,0.003788729497793278,4.946241563881778,0.6556893027481263
