Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.6847885278368303,0.015219238460454752,gemGrab,26806,0.16211021471384132,0.014748826819059896,2.909633632878778,0.6779292380061203
ANGELO,0.6785516193651594,0.0007001756575804581,gemGrab,1085,0.14038763750654792,0.0007120586327504449,4.2100840336134455,0.5683603981141959
MR. P,0.6770245572539163,0.02886418120378866,gemGrab,51171.5,0.17336494763880655,0.028316359929413316,1.750233466338399,0.6740630968846737
BONNIE,0.6767228638186218,0.0005747369647253916,gemGrab,939.4999999999999,0.15143929912390489,0.000596055366754956,4.344086021505376,0.5879224030037546
FINX,0.6662250344305221,0.003047673074537441,gemGrab,5318,0.2752282410225198,0.003064202026215246,5.681661527299111,0.6473524041387705
EVE,0.663577123902193,0.0016118742677471909,gemGrab,2628.5,0.1473463687150838,0.0016024116743299692,3.1435570798628123,0.6118482309124768
DOUG,0.6619265914635669,0.0012512999624315346,gemGrab,2114,0.23686527737012034,0.0012708139139763048,4.080281690140845,0.6204872321690637
DRACO,0.6555964386896564,0.0021970779769702594,gemGrab,3640,0.19802485952664736,0.002190634023123815,4.126030311087477,0.6197854588796186
LOLA,0.6490069641649489,0.0015642060735979466,gemGrab,2454,0.17698487712665406,0.0015785396195913477,3.327625056331681,0.5798676748582231
R-T,0.6469986573248134,0.0007436518920565648,gemGrab,1144,0.13602391629297458,0.0007486127165689591,3.8726220016542596,0.5700049825610364
PAM,0.6414253917825994,0.001852407686021203,gemGrab,2991,0.15667927533346607,0.001873583296126498,3.8873348873348874,0.5954608799522197
ASH,0.6406996531540363,0.027814906511253006,gemGrab,46331.5,0.23650604227535219,0.027192881353276945,1.8069294973296477,0.6355225436538963
SAM,0.6374897907447209,0.004227714107420694,gemGrab,6817,0.2162933880610333,0.004180220585245802,2.594689699296225,0.6082805389488712
CHARLIE,0.6354918781458884,0.002717499246642143,gemGrab,4307,0.10476587467000138,0.0026844871555290477,3.9915651358950326,0.598443796026122
SHADE,0.6317859076372045,0.003828315941282905,gemGrab,6233,0.17930497420422467,0.003831837786404044,3.70188956154834,0.606736104351212
TARA,0.6300195887486715,0.033342404365734817,gemGrab,55849.00000000001,0.16284890180806053,0.03323474920727993,1.9847079876362452,0.6268055352914109
LUMI,0.6268599030529936,0.016182428893259198,gemGrab,26525,0.2007365623980234,0.016002482693692817,4.507135414307072,0.6182695445433779
8-BIT,0.6258318883204331,0.01885733765422646,gemGrab,30998.999999999996,0.2110892993069188,0.018620948697835364,1.8034321984092778,0.6209486799407075
RUFFS,0.6247021045696944,0.006032870164322934,gemGrab,9293.5,0.10313099041533547,0.005837463385303543,3.1176373262739907,0.5938338658146964
CHUCK,0.6229574547270387,0.001467852389646563,gemGrab,2255,0.14396789566089793,0.0014871544100450622,3.679144385026738,0.5655881615249561
MOE,0.6221877472931513,0.0028402105347726365,gemGrab,4254,0.14092793154164995,0.0027896733967210986,3.2242547425474255,0.5687926193341356
BUSTER,0.6205243674479636,0.012495766986746905,gemGrab,19959,0.17962696395209948,0.012178850926105173,2.2101826440806285,0.6112829622369912
JACKY,0.6197991494278922,0.00700313781774709,gemGrab,11459,0.1896770107663078,0.007067620206053132,2.720612134344529,0.6047603968756597
CARL,0.6191976666768295,0.03360789660666521,gemGrab,53981.5,0.19212889111708673,0.032736047063755914,1.8856978747846065,0.6150756574449661
WILLOW,0.6187517293412745,0.0009417439110875882,gemGrab,1316,0.0759050214091086,0.0009582391972424792,3.0569476082004554,0.5122615803814714
BULL,0.6170441555337581,0.0024280610938132116,gemGrab,3848,0.16510432416087087,0.0024670276568944174,3.05685618729097,0.5817961899002116
CLANCY,0.6167366587362961,0.0023219203240977663,gemGrab,3616,0.197459398617141,0.0023196923190544876,3.665415549597855,0.5814439620517768
RICO,0.6146774630243114,0.10956022050216528,gemGrab,178149.5,0.24246849962454445,0.10828737030294011,1.412014001489224,0.613644192150568
JANET,0.614533726934768,0.030875339630402194,gemGrab,48946.5,0.1637654090399701,0.029955698688417094,1.8790784947357448,0.6094695554725439
ROSA,0.6114648682498188,0.006077390003822269,gemGrab,9611,0.15379370195883957,0.006017249797553786,2.8055077452667816,0.5957723778824696
BO,0.6101588660532934,0.02084600595409991,gemGrab,33734,0.19818608736176085,0.020810090717538015,1.9823537585104904,0.6046494954383324
LARRY & LAWRIE,0.6063007358604595,0.002603285885129369,gemGrab,4029.5,0.11993769470404984,0.002634132040064768,3.8492217898832686,0.5705890682526197
SPROUT,0.6028659560345164,0.001647760248882083,gemGrab,2277,0.11234177215189874,0.0016501557838072122,2.9949367088607595,0.5146925858951176
MELODIE,0.6027940167589445,0.0061461451582938125,gemGrab,9422,0.14369897489411332,0.006076556933545049,2.656995609849208,0.5783561475661408
JUJU,0.6005850941610557,0.00897766921596134,gemGrab,13704,0.11765958352850998,0.008759179084797642,2.6590361445783133,0.5835710939828812
NITA,0.5978899995393406,0.011963309180147446,gemGrab,19043,0.13142362720558698,0.012070680678070794,2.5026912556251655,0.5884552393312938
BELLE,0.5968969579619288,0.003044200237653419,gemGrab,4488,0.12127921279212792,0.0030324969535155144,2.9187799862919808,0.5520295202952029
SANDY,0.5964710556707824,0.01751162213145811,gemGrab,27455.5,0.12388011601675798,0.017361324809517787,2.351637764932563,0.5898700182618971
MEG,0.5961191211573716,0.0033705679766404713,gemGrab,5092,0.1675897208684094,0.0033674517215667977,2.4643307285102094,0.5640230394328755
HANK,0.5951459620072789,0.0067972231459369065,gemGrab,10386.5,0.1629034034585307,0.006772949530373273,2.6176860722181283,0.5720068289459191
PEARL,0.5932778730505752,0.0030726012029284313,gemGrab,4598,0.15500303214069133,0.003075392051873975,3.5223054379680887,0.55767131594906
BIBI,0.5931477046351428,0.01460092002377192,gemGrab,23163.499999999996,0.1869355124345384,0.014743604807085822,2.2331178654930546,0.5860171528322412
OTIS,0.5929099227978497,0.0031430182326260404,gemGrab,4457,0.13340590227382682,0.003083971071545667,2.899287894201424,0.5390662796323173
PENNY,0.591788752941518,0.025548455109608365,gemGrab,39838.5,0.14542351435255343,0.02535174913156076,2.061578877064874,0.5861447467153177
GUS,0.5896918935876189,0.018337902985942085,gemGrab,28040.5,0.1710496321624702,0.01799915627206533,1.8342135043379857,0.5810900424826443
MICO,0.5889956243688903,0.002779861224122646,gemGrab,4191,0.11867318620325096,0.0028224974719867034,2.6256227758007116,0.5538522532047047
KENJI,0.5887463727115303,0.007600601693545569,gemGrab,11744.5,0.16513940339247415,0.007652485547149359,2.784471218206158,0.5724556443751219
MEEPLE,0.5852104424092341,0.006939977789366471,gemGrab,10299.5,0.14760026298487838,0.006808011610770623,3.7213541666666665,0.5642943239097086
CHESTER,0.5845476367181652,0.030912199058239425,gemGrab,47418.99999999999,0.17188396946564885,0.030539445026947446,2.03009872381411,0.5791633587786259
