Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
BUSTER,0.7321426991378217,0.02003478058755813,knockout,15410.5,0.3062360272082957,0.01913528499951304,4.849381413637672,0.7330304904152595
OLLIE,0.720210993138359,0.008526035231573694,knockout,6681.5,0.2471080753552936,0.00826195033727726,5.703334825425246,0.7360912195659359
DOUG,0.7178207523720352,0.005492274579702539,knockout,4208,0.27873318576536693,0.00534564661571327,4.891994478951001,0.7164992337817129
LUMI,0.7034020877742964,0.027769890930906368,knockout,21573.5,0.3300230187438343,0.02767939955454462,6.381285246344511,0.709421243012167
PEARL,0.69566700664384,0.010112977032137522,knockout,7700,0.3581596106162182,0.009911245700408956,5.212186246150975,0.7071356414730462
FINX,0.6911596338281978,0.009877354202076727,knockout,7816.499999999999,0.3326517334324751,0.009792918770382951,6.561142857142857,0.7265080397806487
ROSA,0.6857686054867538,0.005348547041948193,knockout,4093.5,0.20045084099185018,0.005249164657384374,5.125769569041337,0.7098144615918155
MR. P,0.677545737092815,0.015029559742835194,knockout,11054.5,0.2300452040374017,0.014698935330691913,4.799899320412786,0.6845315499411728
R-T,0.6768910594525186,0.007530669375232636,knockout,5417.5,0.20838009726898615,0.007298951168296392,4.759883426254435,0.6755829903978052
JACKY,0.6731169409379182,0.004613482418245028,knockout,3452.0000000000005,0.24171164225134928,0.004722154715191631,4.519192718638702,0.6653816499614496
HANK,0.6705613065425683,0.004917386143073695,knockout,3588,0.22399852995222344,0.0049533473323193624,4.607680722891566,0.659316427783903
MEEPLE,0.6692620500519936,0.012840651663131619,knockout,9533,0.2892467754578494,0.012772936992730176,5.443876059631687,0.6793272999358655
CARL,0.6592651439596856,0.014944569626084852,knockout,10695,0.2953098930976951,0.014729882373929483,4.3161834077614945,0.6608786998702342
DARRYL,0.6579767291507937,0.015596218426206914,knockout,11165.5,0.23845384479614049,0.01547079099732308,4.044741255390512,0.6569100429487557
