Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7553281738232751,0.05427410784731127,heist,49959,0.5193971028445072,0.05399331570889628,6.975442694359395,0.7515004738338422
LILY,0.6821071434182823,0.0017412336111088237,heist,1324.5,0.14345598509548207,0.0017437634264504628,3.8475577026301666,0.6169073125291104
CARL,0.6766635735025593,0.02953230359280347,heist,23534,0.2813631221719457,0.028718898350856246,4.044404853944671,0.6655542986425339
BIBI,0.6765108332596638,0.022535717208600065,heist,17973.5,0.18722604884157795,0.02205003878188338,3.768658910496031,0.6620317507090501
FINX,0.6713725518816333,0.0037794735614584797,heist,3445.5,0.1607600341588386,0.003804279408241252,7.22735385988398,0.7355892399658411
NITA,0.6710460742738651,0.0523898364625939,heist,43073,0.2589417906958622,0.05211391721387701,4.554687078863673,0.6712849684407387
SAM,0.6633470777004543,0.002975407979489775,heist,2372,0.1583171879324661,0.0029344281601143556,4.486518873576992,0.6565181289786881
MELODIE,0.6611303790723246,0.05836465957222505,heist,46115.5,0.3314769562993692,0.05716815093665355,3.8809367125178564,0.6551613911462181
DRACO,0.658456161668659,0.004159422479963404,heist,3372,0.15504641516887221,0.004112097917148902,4.9022732101125985,0.6660082954769899
AMBER,0.657582687444643,0.012529239143809908,heist,9894.5,0.2240005183697272,0.012534467145044245,4.461140630534892,0.6411261582323592
BULL,0.6507364294945889,0.011916341613326142,heist,9297.5,0.23106297299173784,0.01169791552453005,4.049525413349663,0.645525237797681
SHADE,0.6466913465987969,0.0031682093677138927,heist,2634.5,0.14397180971558016,0.003226815134274657,5.390196621434506,0.6631009312861817
CORDELIUS,0.6446229066499889,0.002429805855603058,heist,1838.5000000000002,0.052434456928838954,0.0023853903975244567,4.2800181241504305,0.6259788900238339
BERRY,0.644013887983217,0.03239159002838063,heist,25314.000000000004,0.3025073596589179,0.03200337869392363,4.292763891988395,0.6424220891280074
BARLEY,0.6342580567156642,0.027453259218117643,heist,21223.5,0.2569467243694971,0.027212293247891362,4.168497061293031,0.6334427697358603
