Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7597275601064879,0.04567026091911744,heist,34970.5,0.48704707992135343,0.04530792807979474,7.092183770883055,0.7555798025192836
EVE,0.6961487352565944,0.012007847720083974,heist,8166,0.08690133694364528,0.011569023054836857,5.244396240057846,0.6909798612286343
FINX,0.6929549114838602,0.004517899961190089,heist,3499.4999999999995,0.19388194743644982,0.004544204181803409,7.304239963915201,0.753877638948729
CHARLIE,0.6824897881602872,0.001471412644015014,heist,1009.5,0.07594086021505377,0.0014566514051106145,5.1206254653760235,0.6784274193548387
LOLA,0.6797949691083522,0.008444712476309891,heist,5673.5,0.12837918304156246,0.008220095328436714,5.040064102564102,0.6756579730856258
CARL,0.6783135574639816,0.02825520275748902,heist,18698.5,0.27717565118510357,0.02754813655323777,4.2531127634299795,0.6644575530364948
MELODIE,0.6748718883797421,0.05960094745095326,heist,39845.5,0.36434706750771706,0.058352202255264454,4.28309916632659,0.6684589316870219
AMBER,0.6597470210964677,0.012955649715425762,heist,8603.5,0.21347802990058434,0.012899392180875381,4.752798427753567,0.6529179631175533
MR. P,0.6597455438626127,0.005123807892476787,heist,3530.5000000000005,0.09656488549618321,0.005129605754556196,5.140607424071991,0.6737595419847329
BONNIE,0.6587450486841911,0.002306625447351987,heist,1563,0.1575809199318569,0.0022985332655912115,4.941944194419442,0.6656729131175468
ANGELO,0.6558390530322713,0.015066319288441887,heist,9428,0.07636926389449603,0.014548893267979807,3.7891655744866752,0.6343695330372763
MEEPLE,0.6542891193117394,0.0022887246259925597,heist,1608,0.04505632040050062,0.0023465009529906873,6.133847549909256,0.6708385481852316
CHUCK,0.6519209119147816,0.05812118883957716,heist,37790.5,0.4030987756225065,0.056926876686822885,4.389761918269322,0.6498572706011831
NITA,0.650096991521831,0.02476784378283319,heist,16848.5,0.22991270611057227,0.02523198250452022,4.619260969976906,0.6536760426770126
JUJU,0.6461082021552925,0.007433548547701714,heist,4847.5,0.1335816923895689,0.007357655887642056,4.99748279912737,0.6449574241617881
COLETTE,0.646081908162296,0.0662261111795372,heist,43085.5,0.28852115312617,0.06536821073673474,4.247299068399986,0.6452339947585174
CORDELIUS,0.6386553696403231,0.0014338441669801635,heist,931,0.06190476190476191,0.0014390306219842764,4.3637096774193544,0.6333333333333333
JESSIE,0.6383202514051185,0.0671034490326187,heist,43875.5,0.3275264873675632,0.0672644027876079,4.148204126687611,0.6385420305041332
GALE,0.6363830313424317,0.004373112538558253,heist,3082,0.05378819589786522,0.004677338987646852,4.669378268448576,0.645039765592298
BEA,0.6352825322611181,0.006064461183184777,heist,3781,0.05406285621234327,0.006011623843269007,3.9420318333660838,0.6156977690929816
MICO,0.633017909808086,0.007273696537744022,heist,4590,0.28392685274302215,0.007119775315436491,3.861719253058596,0.6311013336999862
BULL,0.6320514840743,0.004506531777235856,heist,2926,0.21791559000861327,0.0045461620465952245,4.3291984732824424,0.6300602928509905
BELLE,0.6320049167691643,0.01044915113607679,heist,6389,0.07210333526123,0.01015544467514618,3.894487255483106,0.6158665895508001
SAM,0.6314099296085529,0.0014061443895129456,heist,960,0.15807799442896936,0.0014057469205234156,4.907169811320755,0.6685236768802229
BIBI,0.6267595379192725,0.00588556920869024,heist,3829,0.1682637648205295,0.00602728676160353,3.852759588400374,0.621893779438038
CROW,0.6246801203781458,0.04417548421605538,heist,27877.5,0.14503339364292256,0.043825824432390525,3.8090218776550553,0.6226965087448905
