Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
CHUCK,0.7730549474554019,0.0006690359722814887,bounty,629,0.12940057088487156,0.0006640420892748041,4.286527514231499,0.5984776403425309
DOUG,0.735356146179487,0.0005081962212380779,bounty,476.00000000000006,0.16242424242424242,0.0005212509264050555,4.050445103857567,0.576969696969697
PAM,0.7328487053247279,0.0003962667601439829,bounty,354,0.04496124031007752,0.00040752345155304346,4.283870967741936,0.5488372093023256
RUFFS,0.7215721459770033,0.0010478385081914684,bounty,902,0.08674404398289554,0.0010342882018485769,4.260296540362439,0.5510079413561393
DRACO,0.7138156687088973,0.0005704755728710188,bounty,522,0.13304721030042918,0.0005888555920115294,3.964788732394366,0.5600858369098712
FINX,0.7054075725037248,0.0012162184399161413,bounty,1185,0.1642463695543315,0.0012617431515526013,5.6375,0.5933900851276915
ROSA,0.7051519682275544,0.0010622164146639641,bounty,988,0.08402366863905325,0.0010677746249994472,4.293522267206478,0.5846153846153846
CHARLIE,0.7045696308186861,0.0008963473855249246,bounty,699,0.0454222853087296,0.0008902334003693616,3.816993464052288,0.49609652235628104
SAM,0.7038177673283571,0.0016000577268461115,bounty,1423,0.14251401120896717,0.001578284623224035,4.385593220338983,0.5696557245796637
CLANCY,0.7029740655794517,0.00026434722638152736,bounty,252,0.14087759815242495,0.0002735777589495625,4.709090909090909,0.581986143187067
LOLA,0.7018320997580766,0.0007698083573031119,bounty,699,0.10270700636942676,0.0007935650467451512,4.216494845360825,0.5565286624203821
BONNIE,0.6963011959440282,0.0008929696237132989,bounty,856,0.16238723108952116,0.0009104516181208304,4.113018597997139,0.594031922276197
ASH,0.6935112887635185,0.0019792488548229154,bounty,1803,0.14760981912144702,0.0019561125674546083,4.714285714285714,0.5823643410852714
BULL,0.6712931691782823,0.0010439675333719504,bounty,905,0.10070671378091872,0.0010728291794373144,3.758220502901354,0.532979976442874
JACKY,0.6690199267961422,0.002010283909698318,bounty,1800,0.13748854262144822,0.0020679445843924203,2.782608695652174,0.5499541704857929
MOE,0.6689428324044158,0.0015872192427921889,bounty,1312,0.11285140562248996,0.0015732300687861676,3.9165120593692024,0.5269076305220883
MEG,0.6619768148732679,0.0011661349008419907,bounty,1050,0.08171817705605029,0.0012061430527360618,4.478439425051334,0.5500261917234154
OTIS,0.6597386008424878,0.0014973946919609015,bounty,1293.9999999999998,0.08741112505227938,0.001510679957617561,3.970212765957447,0.5411961522375575
EVE,0.6542075463772382,0.0032635306898281887,bounty,2955,0.08048249950563575,0.0031951102240368075,5.195524146054181,0.5843385406367412
OLLIE,0.6453657710535166,0.016457210311601366,bounty,15768,0.07036503362151778,0.015785373509459282,5.404869251577998,0.6311239193083573
MR. P,0.6386284038189334,0.027542000786719586,bounty,26698,0.08412428578174434,0.026760074832678452,5.169517293804637,0.6303536856023044
TARA,0.625988694331801,0.006944229909240885,bounty,6973.000000000001,0.12379393521709166,0.0073341584893453155,4.084905660377358,0.6007064093728464
R-T,0.6249930109029913,0.004041903018450157,bounty,3385,0.05718901453957997,0.0039109614962997506,4.717520858164481,0.5468497576736672
WILLOW,0.6247831265162739,0.0020945635506529983,bounty,1758.0000000000002,0.08555989192434704,0.0021045901040669577,3.213740458015267,0.527769438607025
8-BIT,0.6238264544413833,0.0020839445251345907,bounty,2039.9999999999998,0.10269220094365807,0.0022764449549544426,4.395515695067265,0.5661948376353039
BUSTER,0.6223459701544932,0.00663420816915879,bounty,5890,0.09809908401457697,0.006414861400958217,4.118251928020565,0.5801241012508618
SANDY,0.622198680555302,0.001782860402589452,bounty,1629,0.10213053770713561,0.0018682896840966658,4.270571827057183,0.5508961785593507
AMBER,0.6183329767989708,0.0013442146883885448,bounty,1168,0.12572706935123043,0.0014121161460791504,3.7184170471841704,0.5225950782997763
GROM,0.6176178688519203,0.03203505919475264,bounty,30422.999999999996,0.2372626169349982,0.03147344684598962,3.9927717063935977,0.6107319227526398
GALE,0.6098847562847898,0.005159374235846778,bounty,5078,0.09875840072901242,0.005546741676254525,2.1642728904847397,0.5784257888142157
EL PRIMO,0.6070257995240079,0.002342171426463637,bounty,2088,0.08339632149155958,0.002507690820486867,3.529806884970613,0.5260770975056689
NITA,0.6047942929199495,0.0024384675297924197,bounty,2204,0.10138584974471189,0.002598672800368477,3.6390658174097665,0.5358619012885971
CARL,0.6043181870598339,0.03821557118004545,bounty,34875,0.13549105231612296,0.03689508829990693,4.0833661805281825,0.5972257898792704
TICK,0.6007613660958148,0.030373364787768725,bounty,28301,0.13393137850810086,0.03014473084813528,3.827836105175137,0.5931755779589613
BIBI,0.598734346035192,0.005500303991090122,bounty,5013,0.14268238434163702,0.005681319188162739,3.312112676056338,0.5574955516014235
GRIFF,0.5986058344718928,0.0027722980068918598,bounty,2417,0.14518257809062912,0.0028722505593180396,3.448717948717949,0.5316761988561373
PEARL,0.5978615243175243,0.0049766612351957815,bounty,4258,0.13210227272727273,0.004892808695855455,4.696153846153846,0.549845041322314
MAISIE,0.5947801189091843,0.0044399483345922966,bounty,3899.9999999999995,0.13525963149078726,0.004526353499110083,3.9584199584199586,0.5443886097152428
POCO,0.592833918661496,0.003444913509942748,bounty,2879,0.0720688418788096,0.003524288081802909,3.3428047662694778,0.5161348153460021
MICO,0.5917174257918867,0.012344374295107069,bounty,10965.000000000002,0.1107764217086471,0.01216568071264163,3.9205448354143018,0.569462477278629
SHELLY,0.5908031740258853,0.002950915844992478,bounty,2636,0.11077963404932378,0.0031767874641995385,2.7554502369668246,0.5242641209228321
LUMI,0.5907767906683703,0.01018227792699464,bounty,9122,0.12810563865072908,0.01009584067033501,5.825369876303663,0.5708742724826334
COLETTE,0.5895723478206543,0.0023075643137431966,bounty,1908,0.0741031683686829,0.002412917924776857,3.425421530479896,0.4996072270227808
LILY,0.5871772320896527,0.012327306135864252,bounty,10971,0.17780734977991605,0.012344485575881182,3.324347272341329,0.5615211382946054
BO,0.5871535292837303,0.009371809388237866,bounty,8545,0.12207775151037563,0.009621344372480226,3.746380697050938,0.5611373785132651
SHADE,0.5827545765330822,0.008754418796222185,bounty,7455,0.1440665488810365,0.008582633435498515,4.393331175137585,0.5488074204946997
NANI,0.5807720212138958,0.0032276232882687598,bounty,2651,0.111534795042898,0.0033138922533266866,3.4829416224412433,0.5054337464251668
LOU,0.579268563944473,0.003355245890523063,bounty,2578,0.037072424995222626,0.003306310421669886,3.7458823529411767,0.49264284349321613
FRANK,0.5792260104425339,0.003938350705565868,bounty,3590,0.10658261252015834,0.004309639477586526,3.1586042823156224,0.5263157894736842
SQUEAK,0.5784896947587984,0.028786668649681876,bounty,25477.000000000004,0.1272893977681866,0.028253063849763477,4.177517106549365,0.5697385781693763
KENJI,0.577240353300338,0.010148268648223161,bounty,8743,0.11494686537131359,0.01004782240317527,3.42629179331307,0.5497704835565617
MORTIS,0.5768312755899216,0.031472265788125765,bounty,28111,0.20016937874296775,0.03133381477964354,2.3383542538354254,0.5668340289960276
JESSIE,0.5752628549236664,0.004310024071634496,bounty,3892.9999999999995,0.12107375121073752,0.004566158115308287,3.9079061685490877,0.5386744153867441
PENNY,0.5746914783629485,0.030121878464214207,bounty,26601,0.10974753812450816,0.0297062482506503,4.338903086298408,0.5657740817151243
MAX,0.5741347697666476,0.004450507576715808,bounty,3611,0.04620369066065643,0.004485285244302411,3.4503127171646977,0.5086631919988731
HANK,0.5726256536540217,0.009170369239135686,bounty,7691,0.09519815474942336,0.009039438792820764,4.066847826086956,0.5375690221569861
LARRY & LAWRIE,0.569342296171485,0.009794903946841443,bounty,8333,0.08929266709928618,0.009736335485941704,3.9478189971463515,0.5407527579493835
FANG,0.5689062133737981,0.005112496581323928,bounty,4357.000000000001,0.12426743212534386,0.005282641206875963,2.935247403787416,0.521109915081928
EMZ,0.5682356630996813,0.009338883683498877,bounty,9430,0.20647892292315834,0.010746614554210412,2.8954802259887007,0.5544123699218061
BYRON,0.5674531206085563,0.007345824864454977,bounty,6121,0.09192557186753159,0.007402394974256522,3.3904085257548844,0.5224479344486173
SPIKE,0.565939198016301,0.023476251666630272,bounty,21617,0.12809885442141847,0.02454302089236895,3.1884057971014492,0.556493757240314
MEEPLE,0.5657481696632191,0.011604054097336424,bounty,9578,0.10366539239937037,0.011238801792597732,5.480908152734778,0.5384528895884866
CORDELIUS,0.5651255587858225,0.00498802755315039,bounty,4022.9999999999995,0.12276700874192323,0.004986949772260732,3.1084710743801653,0.5096921322690992
BROCK,0.5648220900862256,0.03895459856190147,bounty,34116,0.13197554676517703,0.038653441424979985,3.2242573495459443,0.5576514433293014
BELLE,0.5646572594775728,0.008002650078328951,bounty,6549,0.07651841224294596,0.007926804997185245,3.7808090310442144,0.5219990435198469
MELODIE,0.564489175089644,0.007057317673611091,bounty,5557.000000000001,0.0921548790582176,0.006869771300366266,2.5316117542297416,0.511082497930654
EDGAR,0.564097301095828,0.025441757813551465,bounty,23424,0.18869221108504539,0.02666340647905424,2.7023096663815225,0.5550579370157105
ANGELO,0.5638642734953755,0.01076879039554652,bounty,8831,0.0884271563179512,0.010460400409166182,3.9172413793103447,0.5334017878714665
JANET,0.5600018458863528,0.02022254787233812,bounty,16728,0.09147885951808794,0.019456243669960342,4.47972972972973,0.5432227057218939
BUZZ,0.5597079564627554,0.00861481709621559,bounty,7261.999999999999,0.09970356445665533,0.008738692803767665,3.3532058492688415,0.5250524184802255
SPROUT,0.5595658452039958,0.021770026103373172,bounty,18170,0.11361797752808989,0.021086969295477247,4.281796429228787,0.5444194756554307
DARRYL,0.5592485127490158,0.010348176847831127,bounty,8770,0.08461957508625385,0.010438286733500514,3.4719101123595504,0.5308395375582592
LEON,0.5572596518980184,0.0317775795858598,bounty,28915.999999999996,0.11114699289540671,0.03326023183977568,3.2268615170494086,0.5492952395425705
CHESTER,0.5570416588760685,0.013620712411515532,bounty,11688.999999999998,0.12527522935779817,0.013773660843188136,3.5638004512409127,0.5361926605504587
DYNAMIKE,0.5570140910371959,0.029616237983107932,bounty,26411.000000000004,0.18681090508918005,0.03042904953526531,2.616209043584771,0.5483897759598015
JUJU,0.5553031352629622,0.027674906746497824,bounty,23129,0.08247979703063334,0.0268952841638914,4.308841538084741,0.54334241683894
CROW,0.554583922467293,0.006194852527143492,bounty,5399,0.08208305101151873,0.006527325237200762,3.0945225399903054,0.522601877843384
GRAY,0.5520102825959983,0.04070632676159881,bounty,33757,0.0891433541092912,0.039230292450201584,3.693605533996963,0.54366977500765
MANDY,0.5491338901114595,0.04575655893713852,bounty,38518,0.1693062900866434,0.04491982528932586,3.0960369559931924,0.5417745020816923
BERRY,0.5481446952941579,0.004536603138290456,bounty,3364,0.055370061213133,0.004541517162423684,3.4500381388253243,0.46800222593210905
STU,0.5454180032288922,0.012718020513207265,bounty,10686,0.08422081094284319,0.012933341167892713,2.819915254237288,0.5220322423058134
KIT,0.5444328921586641,0.010802859457712895,bounty,8662,0.08420431059935046,0.010699859925660141,2.7282010997643362,0.5114850900501919
GUS,0.5439909961949512,0.014738736625314941,bounty,11971,0.07862920761937897,0.014528053093039815,3.7057902973395933,0.5206140732364964
SURGE,0.5438449817871944,0.011723949695800415,bounty,10023,0.12944308158045828,0.012105026059387224,2.7962218649517685,0.5231483897906989
BARLEY,0.5391655582198821,0.010973533577216704,bounty,8849,0.09563205091119467,0.01092099668231683,3.9124792013311147,0.51194677466011
BEA,0.5383325252556674,0.009125471909568767,bounty,7289,0.10004823261903122,0.009169593569595845,3.2907193440178903,0.5022393715978778
PIPER,0.5242664887167122,0.023604726182261844,bounty,19353,0.11343307211272065,0.02394531983009115,2.3463775780010576,0.5106467189107892
COLT,0.5155629356442435,0.012102311329173037,bounty,10005,0.11095836606441477,0.012868895598809904,2.1831896551724137,0.49121170463472114
GENE,0.5149083019049235,0.040699152754211286,bounty,32223,0.03747680306985814,0.04017486231077801,3.987323433538573,0.506762494888812
RICO,0.5144791085960205,0.02050163917848588,bounty,16543,0.11795705724696601,0.020980823652282037,2.5418854142889753,0.4981780949799741
