Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7686578037326431,0.007859550576546288,knockout,9776.5,0.2571697964956392,0.007606305697348281,6.277395616701328,0.768170032214976
FINX,0.7395311327336092,0.012917292713298499,knockout,16221.499999999998,0.3522934067472353,0.012808260972724996,7.1549396555836475,0.7569175493444076
MR. P,0.7171776048828461,0.01702750579813252,knockout,19791.5,0.24896910945525574,0.01652266263132636,5.326365969930326,0.7158901830282862
LUMI,0.7170889431443089,0.0170996050765126,knockout,20344.5,0.32426636165421596,0.016720485149266353,6.569032918051953,0.7271866175787254
BUSTER,0.7078805779410919,0.006351518365444384,knockout,7249.5,0.2677750611246944,0.006110982616122117,4.321075523922499,0.708997555012225
PEARL,0.701749567413595,0.007115215040637245,knockout,8305,0.3204623287671233,0.0069805649835018415,5.3971946332113605,0.7110445205479452
HANK,0.6953929794815975,0.003927153695213809,knockout,4460.5,0.20734791015915513,0.004018008423294767,4.78896845954594,0.6634686895731072
MEEPLE,0.6951069721066256,0.016448086331866993,knockout,18955,0.29811139446353996,0.016170646126593264,5.863598610691634,0.7005580810880734
EVE,0.6916902504109855,0.007769067331260561,knockout,8715.5,0.248723268432812,0.007489763730586051,5.13807361764229,0.6954596233641877
R-T,0.6911089243669464,0.006720116537286127,knockout,7498.500000000001,0.18250809810273022,0.006457620260850804,5.067838015597106,0.6939842665432671
JUJU,0.6880600007243566,0.013949208621635647,knockout,15557.500000000002,0.2465656297084109,0.013486594984392341,5.202203060809896,0.6894221395019056
ASH,0.6871353632109597,0.0016302152200285919,knockout,1947.5,0.24867162592986186,0.0016871690880501454,5.336475707034083,0.6898689337584131
CARL,0.6834238311465236,0.015324950652794902,knockout,17074.5,0.27760791009808206,0.015050647943452643,4.680387800444355,0.6780169161736092
BONNIE,0.670779504316995,0.007277345439769866,knockout,8200.5,0.2624637080049772,0.007204684150352286,5.140910629654705,0.6802571547075902
DARRYL,0.6671937137559464,0.012026206304716184,knockout,13186.5,0.22143892805359733,0.011953619883135301,4.074760643715624,0.6592920353982301
LOLA,0.6635901718873486,0.004384412029546193,knockout,4967.5,0.2301113222916101,0.004402298088054329,5.138337727209657,0.6743822970404562
ANGELO,0.6626324423588497,0.01944369576510993,knockout,21086,0.25923952227202907,0.019065668111189402,4.432618463401421,0.6609824143443779
GROM,0.6603274778337922,0.027192410200046147,knockout,29357.5,0.34603059981044365,0.026484311359494913,4.417024304041494,0.6624881527282575
ROSA,0.659970469675288,0.0016184672744970552,knockout,1880,0.15946137491141035,0.0016865714369385441,4.774689100219459,0.666194188518781
JANET,0.6579843092123321,0.007627224197471662,knockout,8198,0.25724931151790054,0.00737860062382823,4.782913743293438,0.664020735460878
GUS,0.6557869639001119,0.020086806451904596,knockout,21800,0.23840841828345938,0.019992027334171242,4.3595570563718775,0.6516995007623091
KIT,0.6552908098450262,0.018296612070441587,knockout,19074.5,0.17509306260575297,0.017660590347815017,3.4925994768002204,0.6454991539763113
SPROUT,0.6538118645920524,0.01127107082632905,knockout,11875,0.24511146409596318,0.010911316344502835,4.425278396436526,0.6504354494166621
SQUEAK,0.6531357455368947,0.021204830206819264,knockout,22950,0.27098026898146826,0.0209303395793851,4.610430878665967,0.6553210930584507
PENNY,0.6508159063398014,0.009771096641181427,knockout,10770,0.22076978939724037,0.00987558696809798,4.748327966311617,0.6517792302106028
SAM,0.6504165611144559,0.002391060593729937,knockout,2778,0.23005384238864415,0.002442002442002442,5.191361125062783,0.6798825256975036
GRAY,0.6498053124975975,0.021437069077919726,knockout,22604.5,0.23666437728937728,0.02088432044379181,4.163797372483906,0.6468778617216118
LILY,0.6491379691290159,0.015689363026539126,knockout,16728,0.28107646304997863,0.015390113774842116,4.192630412411937,0.6496058405498816
CHARLIE,0.6478861389197261,0.003043870080994464,knockout,3296.5,0.16783077230093793,0.0029948297202335382,5.048775510204082,0.6578527240071842
MEG,0.6470069935827644,0.0029058991750623275,knockout,3276.5,0.20954692556634305,0.0029547870957562588,5.086260652670962,0.6627224919093851
MICO,0.645003168083332,0.006290430507146631,knockout,6756,0.21132583405441785,0.0062161692117639255,4.439206442742094,0.6495529276031151
