Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7361007561078846,0.0057832171229021895,knockout,14631.000000000002,0.32070073285814676,0.005879807780282545,7.085510952963416,0.7344142154402169
ASH,0.7305901094371998,0.0005603209456580995,knockout,1367.5,0.21428571428571427,0.0005991371244841666,5.853836784409257,0.6736453201970444
CHUCK,0.7053453739569312,0.0008526587717663293,knockout,1801,0.12400690846286701,0.0008544344706313607,4.736225596529284,0.6221070811744387
OLLIE,0.6959433347037894,0.01040271713357992,knockout,23207.5,0.1445900766294861,0.009975485551941056,5.976543635736461,0.6866327406136277
ROSA,0.6871454104816345,0.00046897488026704923,knockout,1136,0.12549240292628025,0.0005244663400041201,5.203877005347594,0.6392796848621272
DRACO,0.6828998743186224,0.0005503470460800315,knockout,1271,0.16125708397733127,0.0005728695362678657,5.2175,0.6548171045852653
JACKY,0.6753792664040679,0.0007169430006281647,knockout,1671,0.13558692421991084,0.000794520758182944,5.066062866275972,0.6207280832095097
DOUG,0.6729628665566074,0.0004141538010258955,knockout,881.5,0.15112321307011573,0.0004335627762892811,4.728,0.600068073519401
SAM,0.6724289778163086,0.0012781976730552747,knockout,2798,0.19109712230215828,0.0013127891279337796,4.6818960593946315,0.6290467625899281
BONNIE,0.6695720271082288,0.004513560927677069,knockout,10016.5,0.23200312989045382,0.004526289133541467,4.687448296608258,0.6531364110589463
LOLA,0.6646510556705779,0.002101337946283109,knockout,4554.5,0.1773439648061589,0.0021468588391614913,4.778100444140758,0.6261341765191092
CHARLIE,0.6605218355626642,0.0019740080318469302,knockout,4075.5000000000005,0.12483059780153591,0.0019600343072410592,4.946553228621291,0.6136876976358983
LUMI,0.6594236015454313,0.009564333063479223,knockout,20815,0.22551160469178938,0.009461054020918444,6.28307866975732,0.6493324182680309
GROM,0.6574780289587955,0.02860013581904698,knockout,62439.5,0.31648529072571346,0.028151180890418116,4.541243155579107,0.6546256107022289
MR. P,0.6568269222871667,0.020506988311771,knockout,43896,0.1514728382774551,0.01986862664194562,5.149794343653349,0.6520595968448729
RUFFS,0.6541405885336512,0.002399327648818911,knockout,4949.5,0.15609756097560976,0.002359655817857592,4.543983215944852,0.6190744215134459
MEEPLE,0.6533145774151019,0.012751570484214929,knockout,27453.5,0.23857045577288843,0.012569188532220296,5.8172916085865625,0.6446450794843497
CLANCY,0.6525021851060939,0.00040326385889792696,knockout,876.5,0.12797202797202797,0.0004220522601046099,4.97906976744186,0.612937062937063
SHADE,0.651848027302999,0.0026094762981912745,knockout,5828,0.22411732753938077,0.002716776961023031,5.427149199515673,0.6331341662140141
MOE,0.6512270103205693,0.0018923316974652552,knockout,3902,0.18336425479282623,0.0019089748380116203,4.51711467801199,0.6032776747062462
MEG,0.6510837891609318,0.0012965927977735482,knockout,2757,0.15016538037486218,0.0013384664332688153,4.764015645371577,0.6079382579933847
WILLOW,0.6488140495644216,0.002980158751800846,knockout,6383.500000000001,0.15567334118570866,0.0030069009971648714,4.680463952695019,0.6265704750687083
PEARL,0.6481703340479593,0.006860550361617876,knockout,14329,0.19685942393365974,0.0066911516005815465,5.293406276993953,0.632040933350977
BULL,0.6461146961854463,0.0007515227226759557,knockout,1663,0.11619592420450482,0.0008255106094493664,4.706352941176471,0.5945656060064355
HANK,0.6459310859467938,0.0037843981316438595,knockout,8012.499999999999,0.16022911990092112,0.0038129322715324864,4.5597967691506,0.6202105426116572
LARRY & LAWRIE,0.6449036213739837,0.0060873291020938905,knockout,13162.5,0.18888888888888888,0.006135990550751637,4.85916843619426,0.6331168831168831
MICO,0.6429251334210366,0.014001632564666114,knockout,29590.5,0.2100619728008263,0.013715813029077924,4.420922196237216,0.6367382509898434
R-T,0.6426331156494965,0.007577079551518866,knockout,15506.5,0.12186278854288361,0.00732629598082289,5.019276011231692,0.624682753897595
SPROUT,0.6422654442881893,0.01951526437776706,knockout,40749,0.23557752471530471,0.018867802016760492,4.739555797119352,0.6374202227505944
EVE,0.6379268865882786,0.004766869682209419,knockout,9665,0.14947797300738477,0.004636081749456792,4.728563685636856,0.6152915711739241
OTIS,0.6345391133160996,0.002127970380262844,knockout,4295.5,0.1747787610619469,0.0021344628986549223,4.677684294871795,0.5939574115044248
PAM,0.6345237044634393,0.004058415106754078,knockout,8990.5,0.12441540577716644,0.004291356546797922,4.7637406520002905,0.6183287482806052
JUJU,0.6304998566368757,0.015115607505377824,knockout,30944.499999999996,0.17455371502090705,0.014681515822827774,5.29187944746756,0.6220750241235123
DARRYL,0.6276826925385669,0.011720753815446315,knockout,24364,0.1563460024881306,0.011624735922195994,4.040093775417444,0.6185797344301419
BUSTER,0.6247068573884216,0.005016224245348762,knockout,9723.5,0.12490820073439413,0.004822611139936592,3.943886591848789,0.5950734394124847
TARA,0.6238723425348297,0.0024654418703837426,knockout,5449,0.11319490957803081,0.0026438770251867804,4.351074462768616,0.6082830989060058
SANDY,0.6229008525289714,0.0009985818741748145,knockout,2177,0.14905973451327434,0.0010672314493274612,4.691279887482419,0.6020464601769911
BIBI,0.6205401459346647,0.0024509761791517218,knockout,5197,0.1367151956323931,0.0025948835460417696,4.022330097087378,0.591105550500455
KIT,0.6161720273806752,0.0160611225748472,knockout,32290.999999999996,0.13555136663524978,0.01565725342555913,3.4806810135155937,0.6086899151743638
GRAY,0.6149547288625817,0.04275779624892106,knockout,85799,0.18394467614871848,0.04139801417033085,4.088128513155497,0.6116921541368124
GALE,0.6130739449029434,0.002970899294674824,knockout,6527.5,0.12490781710914454,0.0032016943479823835,4.259541984732825,0.601723820058997
KENJI,0.6121233156411151,0.0029509161270804677,knockout,5874.500000000001,0.1439565860878145,0.002991258500811344,3.8609811320754717,0.579625061667489
JANET,0.6109442806708608,0.006992018383325807,knockout,13747,0.17906563137118814,0.006803895630903198,4.536061648960048,0.5963215199757081
AMBER,0.6080812751737482,0.001853429952266968,knockout,3832,0.17728107777097366,0.0019278638902121064,4.521046178994688,0.5866503368034293
