Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7573409935427204,0.007092896582739347,knockout,9565.5,0.2697804391217565,0.006889018327263847,6.072241183162685,0.7637125748502994
FINX,0.7310267623326098,0.01300342413621422,knockout,17514,0.3576682918484304,0.01286060092040585,6.930383351588171,0.7490377213240954
BUSTER,0.7193865235069303,0.0057096046766653905,knockout,7187.5,0.27219230001994815,0.005514514790351084,4.673129354740988,0.71688609615001
PEARL,0.7014605620130492,0.008293250419957638,knockout,10485,0.3389266304347826,0.00809631535148294,5.289808037563873,0.712296195652174
MEEPLE,0.6935460612113672,0.01580007849375461,knockout,19813,0.31688998589562767,0.015598607565764687,5.737960391039285,0.6986248236953455
MR. P,0.6919206740133242,0.013759468275708377,knockout,16880.5,0.23123765635286372,0.013367720672720202,4.9517926457698564,0.6945564516129032
R-T,0.690075707196351,0.00705588359381542,knockout,8586,0.2056829189538263,0.006813665392267029,5.0492836676217765,0.6930900871811431
LUMI,0.6896555987820974,0.012878787878787878,knockout,16072.5,0.30508327173109534,0.01264884267242209,6.070527395122821,0.6988955081097534
DARRYL,0.6861699025384167,0.013826832718144551,knockout,16964.5,0.24913425142949183,0.013659232027087456,4.068525113594498,0.683115889506322
CARL,0.6701275776341843,0.013220913903801543,knockout,15806.500000000002,0.2544825549508501,0.013037157797296205,4.414476796696916,0.6668565160528204
CHARLIE,0.6640777551670312,0.003218183744408925,knockout,3886.5,0.16930022573363432,0.0031675733769830337,5.010672358591249,0.6748567459628407
BONNIE,0.663650681591452,0.007746951009891444,knockout,9339.5,0.25628897011395396,0.007674448919785425,4.827719734054212,0.669354260732459
JUJU,0.6626492383162164,0.00730481500595124,knockout,8661.5,0.24518603759110089,0.0071695292531644104,4.754649163931864,0.6644802454929037
EVE,0.6607718773686659,0.0046170058565329995,knockout,5505,0.22105004906771344,0.004483774643022346,4.9721458905820635,0.6752944062806673
HANK,0.6600630838685593,0.0033564106042012617,knockout,4101,0.22137038811691423,0.0034436841314969217,4.696051122398821,0.6550071873502635
KIT,0.6551917223102369,0.02212191572916926,knockout,25267,0.19818682875318722,0.02135568180380626,3.4920357217463964,0.6507584928014011
GROM,0.6527193180616219,0.01979341481809059,knockout,23121.500000000004,0.32691872311523656,0.01943555701494573,4.245558978493076,0.6543326918723116
ASH,0.6516314289055568,0.0013292170930183096,knockout,1771.5,0.2562992125984252,0.0013970544152694748,5.645850120870266,0.6974409448818898
JANET,0.651264365519126,0.00792235137753329,knockout,9109.5,0.2537345590347601,0.007658498298508727,4.54685898374579,0.6542301062912956
SPROUT,0.650869858046462,0.01017118139521445,knockout,11727,0.24661050047425095,0.009858033970423149,4.263681875071112,0.6542989454890364
LOLA,0.6481049864365638,0.004580260399151711,knockout,5503,0.22733847637415622,0.004562977727982505,4.917427795606023,0.6633317261330762
GENE,0.6452012938761876,0.01646479405288082,knockout,18678,0.18219518938346696,0.015915419905605323,3.992017161344774,0.6454935029029583
MICO,0.6442588286984484,0.007794999674949176,knockout,8953,0.22638261243813212,0.007667848662705413,4.188654353562005,0.6422064414317481
SAM,0.6442201374456354,0.002267109110331881,knockout,2835,0.20768136557610242,0.002319990363624663,4.991304347826087,0.6721194879089616
GUS,0.644157481143919,0.02217235211324503,knockout,25567,0.24315583634175691,0.021939254533964097,3.9622159816185856,0.6409697152025672
GRAY,0.6408288224392139,0.02406192739889515,knockout,27082.5,0.23591507811211385,0.023342359184890252,3.8546095041817443,0.6381512288225453
RUFFS,0.6407103640689107,0.0038979947708284676,knockout,4443,0.2034046268005238,0.0037802972425775984,4.468824228028503,0.6464426014840681
ROSA,0.6394801331648223,0.0014218097599252195,knockout,1804,0.17441002949852508,0.0014916581000829982,5.0429331306990886,0.6651917404129793
OTIS,0.6387798327704856,0.0037757462324201677,knockout,4448,0.23956335742734916,0.0037285952287841612,4.917795844625113,0.6561439740374686
MEG,0.6366444913831879,0.0026298083109743847,knockout,3175,0.22309440198306135,0.0026626537103620184,4.985115883478631,0.6558562280520553
MOE,0.6361881266742682,0.0035194710794389434,knockout,4176.5,0.2554492708169986,0.0035074866166037166,4.851299326275265,0.6549317861063196
SQUEAK,0.6351567778811112,0.01875641574080688,knockout,21480,0.24543784808626615,0.01856652316607732,4.241115214627354,0.6363313188766442
DRACO,0.6323066647549092,0.0012770016241839953,knockout,1608.5,0.21724285104566796,0.0012887001948725903,5.501969365426696,0.686513017498933
LILY,0.6301137251530194,0.012514256087078306,knockout,14070,0.25776189412553047,0.012312229561341414,3.8623706876908352,0.628545901273174
