Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
ROSA,0.7184468160879705,0.001306376464202586,hotZone,1456,0.09281437125748503,0.0013093945982152358,5.036797934151065,0.6227544910179641
FINX,0.718147090246799,0.005599310294010684,hotZone,6902,0.26744773255226745,0.005545045302364863,6.939470533457496,0.6971013028986971
DOUG,0.7167860135008953,0.0011264984132504216,hotZone,1310,0.145224171539961,0.0011492205797851427,5.149669845928099,0.6384015594541911
R-T,0.7063870120516087,0.000697166776586646,hotZone,754,0.07386814932486101,0.0007051017105017031,5.0333745364647715,0.5988880063542494
BONNIE,0.7046918308799462,0.0006002992176699724,hotZone,683,0.17297297297297298,0.0006216544071937176,4.793756967670011,0.6153153153153154
DRACO,0.7019355914260805,0.005722929049153002,hotZone,6730,0.1599880083941241,0.005604410498006786,5.53030303030303,0.6725292295393225
ANGELO,0.7003186326971973,0.0005294375677073699,hotZone,502.00000000000006,0.09024896265560166,0.0005398872509322016,3.7158054711246202,0.520746887966805
HANK,0.6987146624450943,0.014473149040807367,hotZone,17346.5,0.16500217108119844,0.014187721709404006,5.378415736310473,0.6847392728851696
CHARLIE,0.694403345303692,0.001492586159231826,hotZone,1521,0.07356844899507016,0.0014768492538466966,5.0458786936236395,0.5767918088737202
SAM,0.6926150936003385,0.0028291896284398667,hotZone,3208,0.18368167202572347,0.0027868039010774223,5.054301602878639,0.6446945337620579
EVE,0.6904505063903444,0.001176003955378055,hotZone,1239,0.12351543942992874,0.0011789031776061041,4.3399503722084365,0.5885985748218527
RUFFS,0.6814369705146752,0.0014854564641825357,hotZone,1546,0.12911877394636015,0.0014617279304284712,4.664113140836771,0.5923371647509579
LOLA,0.6759553363392314,0.0014882991085546395,hotZone,1576,0.16195085629188385,0.0015042916556056987,4.811661807580175,0.5867460908413998
JACKY,0.6697078502418601,0.006371731298638403,hotZone,7408.5,0.13919156414762743,0.00637335779627433,5.113626176602421,0.6510105448154657
