Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.8273660470988498,0.007413218636865844,gemGrab,1757,0.29963403476669714,0.0071748820050283255,6.963255813953489,0.803751143641354
ANGELO,0.7442636942804188,0.026486291500989044,gemGrab,5736,0.41903903130233155,0.02547969304896381,5.154366783808408,0.7388896045343295
MR. P,0.7381558134128146,0.02224269156123872,gemGrab,4749,0.19945105215004574,0.021524646015084976,5.1646134893748075,0.7241537053979872
LUMI,0.7365412992848817,0.018700286976831074,gemGrab,4191,0.3381824712643678,0.018275271273557967,6.6565748677731165,0.7526939655172413
EVE,0.7285834319633548,0.019137300840847266,gemGrab,4096,0.34699011680143754,0.01826542468343213,5.36611030478955,0.7360287511230907
FINX,0.7277500395501587,0.018376031557026357,gemGrab,4216,0.43765903307888043,0.0180586462907895,7.079718205413422,0.7662668120683388
JANET,0.725879714064169,0.015806912488063603,gemGrab,3233.5,0.2536764705882353,0.015176877580627163,5.16210295728368,0.6992863321799307
CARL,0.7219945652127818,0.0175760976703019,gemGrab,3752.9999999999995,0.2400994834513105,0.017156042195920887,4.946504441869448,0.7180026784006122
LOLA,0.7084176464828079,0.008629316260834127,gemGrab,1843,0.2756360832690825,0.008514018262142486,5.254894283476899,0.7104857363145721
RUFFS,0.7031825693880566,0.004805235251141574,gemGrab,964,0.16560958421423538,0.004657437129522046,4.756428571428572,0.6793516560958421
BELLE,0.6838511469955412,0.01632001733196745,gemGrab,3175,0.24371652245570663,0.015931782823608184,4.41204768876804,0.6540997115780799
AMBER,0.6808235321202688,0.007764954683527629,gemGrab,1564,0.22798809017439386,0.007716444461949494,4.688097306689835,0.6652488302849852
PENNY,0.6802997799750995,0.023746776568403852,gemGrab,4930,0.22356995175740868,0.023812337120988337,4.653663310961969,0.6795313576843556
OTIS,0.6778776465653259,0.005031391223910031,gemGrab,1021,0.21462105969148224,0.004893755292542192,4.95708446866485,0.6847753185781355
MEEPLE,0.6776774709215379,0.012858017546779676,gemGrab,2752,0.2928589842742975,0.012731641032710373,6.077771939043616,0.7094612013405517
TARA,0.6718018240037741,0.008018711111467933,gemGrab,1636.0000000000002,0.15356711003627568,0.008143130034069202,4.712818405916187,0.6594115276098348
JUJU,0.668547072758889,0.008011121984864965,gemGrab,1696,0.2525083612040134,0.007851014527002632,5.597286986011022,0.7090301003344481
PEARL,0.6678724648186104,0.005245764079058089,gemGrab,1092,0.2568069306930693,0.005304029881118835,5.147798742138365,0.6757425742574258
MELODIE,0.6667777306953064,0.008897771628721234,gemGrab,1709,0.19250936329588014,0.008763465211997085,3.918126428027418,0.6400749063670412
BEA,0.6625006139854247,0.024146523826522312,gemGrab,4612,0.2663474692202462,0.02399285793996206,4.013643324516218,0.6309165526675786
BO,0.6580408444574588,0.024624718688052504,gemGrab,4811,0.2736090529435538,0.02436374616803534,4.059871215234963,0.6481207059140509
GUS,0.6538229453644032,0.015707055559077178,gemGrab,3108.5,0.2593992858643142,0.015626538529707162,4.270610850064076,0.6529090527200168
LEON,0.6500809050172639,0.0176165596979272,gemGrab,3416.0000000000005,0.21302220549491907,0.01744159330957023,3.8379514618765525,0.6428302596913813
GENE,0.6490075382270033,0.01570218254094264,gemGrab,3020,0.18583690987124463,0.015295036662137235,4.228211258422082,0.648068669527897
SPIKE,0.6487056411088044,0.017919725334329985,gemGrab,3526.5,0.19554906968259758,0.017993002356617237,4.321727797430646,0.6432871214885079
SQUEAK,0.647097666317183,0.019674451233251046,gemGrab,3774,0.23755047106325708,0.01950937723599651,4.223842195540309,0.6349259757738897
CHESTER,0.6451532788438478,0.01589063253732582,gemGrab,3047,0.2396659707724426,0.015721722234256944,4.072596051793674,0.6361169102296451
GRAY,0.6445674198892306,0.009797202959487765,gemGrab,1932,0.2227163872733493,0.00959386097927621,4.6712995135510775,0.660964762230585
STU,0.6437482061087522,0.014114976626089204,gemGrab,2671,0.15971088831895547,0.01407734168324176,3.644418052256532,0.6227558871531825
PAM,0.6423287125997854,0.03450384427208073,gemGrab,6871,0.2433762301286904,0.03468625481662367,4.866141732283465,0.6501703255109765
CHUCK,0.6388948346267045,0.006540908448012027,gemGrab,1304,0.20426829268292682,0.006459363122550661,4.558656330749354,0.6626016260162602
8-BIT,0.6377198522016899,0.016756991253212047,gemGrab,3374,0.2534910783553142,0.016923006229609353,4.770878793890101,0.6543832428238945
SPROUT,0.6335216607161231,0.00505471780252126,gemGrab,1002,0.19775132275132276,0.004962681423423068,4.7124579124579125,0.6626984126984127
GRIFF,0.6321726888222801,0.007054572490718199,gemGrab,1473,0.2058303886925795,0.00743089334830015,4.669525959367946,0.6506183745583038
GROM,0.6291120384257469,0.009410716701538703,gemGrab,1902,0.28486750348675033,0.009413340160302488,4.845170454545454,0.6631799163179917
CHARLIE,0.627865021960704,0.004590502911049166,gemGrab,977,0.2111756168359942,0.0045228670644689075,5.666666666666667,0.7089985486211902
KENJI,0.6239815007567515,0.005053439633830234,gemGrab,1004,0.2199089134677944,0.005044736341138397,4.619174434087883,0.653220559531555
JESSIE,0.6227443277618304,0.015354400828668716,gemGrab,3021,0.21572750210260724,0.015610127546164096,4.2810077519379846,0.6351976450798991
CROW,0.6194666254477914,0.01915603400072512,gemGrab,3603.9999999999995,0.15950069348127602,0.018931710615280595,3.930335097001764,0.6248266296809986
MAISIE,0.6190195980118651,0.00518660883432653,gemGrab,1059,0.26600372902423863,0.005281054504158543,4.9020979020979025,0.6581727781230577
DARRYL,0.6184871052681349,0.0067740544058095325,gemGrab,1328.9999999999998,0.1624413145539906,0.006991078989345989,4.112825458052074,0.6239436619718309
MOE,0.6181277442531274,0.0045691335282460705,gemGrab,964.9999999999999,0.24982104509663564,0.004585228801932557,5.51970802919708,0.6907659269863994
FANG,0.6158007183910583,0.016704466508565188,gemGrab,3093,0.24696517412935323,0.016493038460781033,3.600121359223301,0.6155223880597015
BYRON,0.6152187703083424,0.02679680660736523,gemGrab,4873.5,0.16908272931767057,0.02626413806232235,3.557117527862209,0.6090352411897025
MAX,0.6136877296592622,0.010860519482106817,gemGrab,2039,0.17602657004830918,0.010870635498926721,3.9686250384497077,0.6156400966183575
MICO,0.60921689917788,0.0035128069906560674,gemGrab,721,0.13783533765032377,0.003548054642010805,4.964252116650988,0.6669750231267345
RICO,0.6078936436969585,0.02226977276037984,gemGrab,4191,0.20743695683145746,0.023037738697755633,3.7775997669676666,0.5970936030773615
BROCK,0.6070176743335217,0.020611109227143716,gemGrab,3746,0.225,0.020612195330090524,3.5302393272962482,0.5964968152866242
POCO,0.6070141728391073,0.014264282706309708,gemGrab,2754,0.20202474690663666,0.01458936436978541,4.149092579830002,0.6195725534308212
COLETTE,0.6022691213928026,0.008025221783237849,gemGrab,1516.9999999999998,0.1572807723250201,0.008159541017612267,4.235608552631579,0.6102172164119066
NANI,0.6012709203413985,0.010420909337936978,gemGrab,1998,0.2373943000313185,0.010480054090601758,4.244472925344441,0.6257438145944253
PIPER,0.6009225822138882,0.04348537589283578,gemGrab,7671.5,0.2653404743687835,0.04289831098157375,2.92622187742436,0.5869548584544759
BONNIE,0.6005172501015434,0.004980104705182602,gemGrab,1030,0.24410994764397906,0.005015196570760879,5.252988047808765,0.6740837696335078
SAM,0.600430461851894,0.0027459057760403204,gemGrab,530,0.1955503512880562,0.002802995989155622,4.221957040572792,0.6206088992974239
SANDY,0.5999831894419643,0.005291218953132709,gemGrab,1035.5,0.18742514970059881,0.005481268503383945,4.369578497251069,0.620059880239521
HANK,0.5986758795846601,0.00216889249758516,gemGrab,484,0.2250351617440225,0.002333641859823943,5.458755426917511,0.680731364275668
MANDY,0.5969760797794347,0.022159251111377662,gemGrab,3934.0000000000005,0.231803915707667,0.021961178177330523,3.4269336594313664,0.5879539680167389
CLANCY,0.5953082921808832,0.0037097248546172986,gemGrab,781,0.24305555555555555,0.003781090608322338,5.254658385093168,0.6779513888888888
MORTIS,0.5946506451233615,0.031879164807829936,gemGrab,5558,0.21380453933050056,0.031669916041408196,2.5652630473590254,0.5760182402321484
