Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7610274289058713,0.01662728116694145,hotZone,16873,0.4102176403207331,0.01660685914644168,6.938075190914431,0.7731042382588774
OLLIE,0.7230055315885866,0.007276954838877517,hotZone,7107,0.14475079533404028,0.0071753806071452484,4.823792931806869,0.7536585365853659
HANK,0.7071154176887112,0.004586892867331205,hotZone,4290,0.18602761982128352,0.004683400597770838,4.2566793893129775,0.6969943135662063
DRACO,0.703431787456521,0.0031065909238641464,hotZone,2970,0.23233064318904378,0.0031113606895670116,5.309594195108842,0.7263389581804842
LUMI,0.6891025690122968,0.020577561203687197,hotZone,18212.5,0.3275184367162056,0.020326186867303395,4.80129140683738,0.6817841500393067
BUSTER,0.6831539839017308,0.005081574600939285,hotZone,4572.5,0.21009036144578314,0.005052441912136209,4.0653284028878325,0.6886295180722891
POCO,0.6788802615919476,0.03567720028220766,hotZone,31692,0.20562247277550758,0.03556569087577689,3.6891006251260334,0.6780342739778781
MR. P,0.6786734124143656,0.02887786364101408,hotZone,25138.500000000004,0.14904479135878765,0.028318784735538147,2.784763443503916,0.675457452239568
LOLA,0.6784718722931834,0.014331163530531705,hotZone,12531,0.2577828397873956,0.014029657225296298,3.3794143268779737,0.6796290270094371
MEEPLE,0.6695870210257,0.00929777778444834,hotZone,8247.5,0.293086500655308,0.00928918838303597,4.898209326821794,0.6755815858453473
MEG,0.6694174798096304,0.02103170140534567,hotZone,18097.5,0.18904018352697402,0.020564351674306203,2.6682280247159658,0.66963294605195
AMBER,0.6680417940309022,0.013835025589407586,hotZone,11888.5,0.26669250359871555,0.01374355509292232,3.797020238644604,0.6582050714206622
PAM,0.6679206255748525,0.018092172325346132,hotZone,15808.5,0.14202678797068485,0.018065523475593055,4.419897959183674,0.6658453373768006
GRAY,0.6643011640065835,0.010487213443822141,hotZone,8772,0.09686924493554327,0.010329352252597747,3.0686706629055007,0.6461878453038674
CARL,0.662764558927058,0.0219021829497647,hotZone,18471.5,0.2711164448836963,0.021557339128423333,2.6762716575558234,0.6519889873283682
BO,0.6627556905447448,0.048552683390218336,hotZone,41434,0.3746795943385713,0.04779351339505835,2.7067986072933845,0.6596615242553056
CHARLIE,0.6550971815282806,0.0019351121792586807,hotZone,1792,0.13730874852883485,0.001939559402716144,5.307335581787521,0.7030207924676344
SANDY,0.6540510523394724,0.007504534165647947,hotZone,6742.500000000001,0.1617059528565721,0.007618230184383693,4.685503402145081,0.6734418697562925
MELODIE,0.651778243223685,0.014695974781559045,hotZone,12081.5,0.19756314385818124,0.014550880524966977,2.632814979371628,0.6317784866391256
EVE,0.6508430852158215,0.0038621482137658316,hotZone,3428,0.18676733558513808,0.003829659660208063,4.265734265734266,0.6811047089211206
JACKY,0.6505760543970807,0.001874067602834784,hotZone,1632.9999999999998,0.130451415455241,0.001989018547940369,4.1760624457935815,0.6247130833970925
STU,0.6502536623444035,0.03545834926674502,hotZone,29537.5,0.14091127727491365,0.03480249821947077,2.0843943893904195,0.645797804888714
CHUCK,0.6491012319647446,0.010975712995828385,hotZone,9481.5,0.13346627243347314,0.011065913061475434,4.583622903761897,0.651963143780513
