Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7738321039813607,0.02885128732304506,knockout,86728,0.4514453034333768,0.029134639968019467,8.094975371467616,0.7742327125997608
FINX,0.7432136172772168,0.007337222436945731,knockout,21297,0.3133872101194659,0.007402130492330108,7.39814424293547,0.7483134223471539
OLLIE,0.708327699615726,0.0076922225104022746,knockout,20135.5,0.16465288448107276,0.007447906141193428,6.573799644339063,0.7031533733761699
ROSA,0.700353373904544,0.000815157842695916,knockout,2197.5,0.14186955214908326,0.0008653158168651535,5.327616380819041,0.6605049594229035
DRACO,0.6932963700854502,0.0007678081309994062,knockout,2060.5,0.1852950873722387,0.0007888496761502887,5.941784756798161,0.6793603692713485
ASH,0.6901437167128898,0.0007017298756413823,knockout,1960.5,0.21333798882681565,0.0007448946496849413,6.149283439490445,0.684532122905028
CHUCK,0.6885233784976267,0.0008990322548753521,knockout,2169.5,0.12423625254582485,0.0008939255974047288,4.722126337590611,0.6312190864125691
DOUG,0.6879039723615805,0.0006119814263693041,knockout,1560.5,0.19014084507042253,0.0006278546383866789,5.033462657613967,0.6464374482187241
MEEPLE,0.6769152865023896,0.01191502426491686,knockout,30517,0.24734553321118738,0.011782287892939081,6.125575969670458,0.6736495883093089
SAM,0.6648886516906641,0.001273525429202293,knockout,3240,0.18849840255591055,0.0013025252812926627,5.099224077122032,0.646964856230032
BONNIE,0.6637285881333133,0.004820144707494289,knockout,12171.5,0.2318487212830516,0.004800200996712736,4.994039858446638,0.659487429562202
LOLA,0.6630076102019442,0.002855369430733359,knockout,7194,0.18547294245189266,0.0028789241890232594,5.282175430694742,0.6499232089619659
MOE,0.6616201105397033,0.0017886691583586104,knockout,4474,0.1961688031110471,0.0018057973298751912,5.195404255319149,0.6443900331268904
MEG,0.6613611927473093,0.002199143140845085,knockout,5515,0.18197715085101424,0.002231042704258878,5.221759333440154,0.6429237584518536
MR. P,0.6603355299437594,0.01745615574425677,knockout,42881.5,0.15856683509416628,0.01698640697308782,5.234825597363361,0.6565839840759455
CHARLIE,0.6600112963200201,0.002060447490423789,knockout,5022,0.13374092472296523,0.002041958063783685,5.289754445385267,0.6396637371035537
HANK,0.6585798167936527,0.0027736426162422913,knockout,6991.5,0.19759655077515825,0.0028352292514719083,4.990430027342779,0.6413631776901202
PAM,0.6583066501061697,0.0018008088350167375,knockout,4615.5,0.1268478107841757,0.0018474115561145734,5.225796521471448,0.6497958609038434
BUSTER,0.6492656474664684,0.006719652905448083,knockout,15879,0.17744198164255082,0.006488958315289665,4.904506604506604,0.6364583750851738
RUFFS,0.647181213356357,0.0022066581787763065,knockout,5282.5,0.16917562724014337,0.002176944210147681,4.7987172489082965,0.6311230585424134
GROM,0.6427893435259672,0.016323827870163378,knockout,40013.5,0.285942747481209,0.016263359792178553,4.426261440976297,0.6399088437549976
CLANCY,0.642739191250127,0.00047024619484927567,knockout,1190.5,0.13684771033013846,0.0004884469804847485,5.597488038277512,0.6339190628328009
SPROUT,0.6410708708898452,0.006007847036021333,knockout,14369.999999999998,0.21884057971014492,0.0059222245716920785,4.618354009747453,0.6310935441370223
OTIS,0.6391029585729843,0.0028602240582141568,knockout,6768,0.19034999543086906,0.002846152985859746,4.937048377219841,0.6184775655670292
TARA,0.6386390967083062,0.0030723948995916186,knockout,7951.999999999999,0.13418810225372302,0.003265936493049514,4.806340660983999,0.6332722784104483
SHADE,0.6373319914543865,0.0015252450123807452,knockout,3983,0.1935535858178888,0.0016138517113460408,5.732040229885057,0.6419016921837228
