Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
BONNIE,0.8680442374854482,0.0001196144709025406,hotZone,74,0.09333333333333334,0.0001325855508266709,NaN,0.49333333333333335
PAM,0.8293162436807435,0.00036281977719709635,hotZone,221.5,0.0671462829736211,0.00036858783129814515,NaN,0.5311750599520384
BELLE,0.8277046822564322,0.00027823071108898264,hotZone,143.5,0.09174311926605505,0.0002890365008021426,NaN,0.43883792048929665
LOLA,0.8221418381903404,0.00035574372700322823,hotZone,210,0.1018957345971564,0.00037300734965903416,NaN,0.4976303317535545
RUFFS,0.7922399428707452,0.0005115838177035804,hotZone,266,0.07652173913043478,0.0005082446115022385,NaN,0.46260869565217394
FINX,0.7629614093959732,0.0007546117009106793,hotZone,438,0.07078651685393259,0.0007866742682382474,NaN,0.49213483146067416
ANGELO,0.7597065862955412,0.0006558183511538126,hotZone,321.5,0.07754010695187166,0.0006611599467889989,NaN,0.4298128342245989
BYRON,0.7580302411115653,0.000841799493417426,hotZone,478,0.109375,0.0008485475252906938,NaN,0.4979166666666667
CLANCY,0.7490455220667415,0.0006689685329300277,hotZone,332,0.09090909090909091,0.0006708828871829548,NaN,0.43741765480895917
GUS,0.7455350148832838,0.0009257310504367291,hotZone,532,0.0575139146567718,0.0009528481586076749,NaN,0.4935064935064935
NANI,0.7386000553404504,0.000436857387927628,hotZone,239.5,0.07076350093109869,0.00047465627195948185,NaN,0.44599627560521415
ROSA,0.7154909569676392,0.0012820801032677512,hotZone,711.5,0.04765193370165746,0.0012798925173134633,NaN,0.49136740331491713
EVE,0.7100213219616205,0.0013149033744472723,hotZone,711,0.06046195652173913,0.0013011062054457305,NaN,0.4830163043478261
CHARLIE,0.7097233328002559,0.0015594550088760596,hotZone,882.5000000000001,0.04198250728862974,0.0015158947977849373,NaN,0.5145772594752187
DRACO,0.6977161141628777,0.0017739282116548058,hotZone,1040,0.07665330661322645,0.0017642717296669009,NaN,0.5210420841683366
OTIS,0.6964862809707877,0.0015737740956990494,hotZone,859.5,0.08409610983981694,0.001545063618966805,NaN,0.49170480549199086
PEARL,0.695559703776241,0.0016294745085083033,hotZone,942.5,0.09241452991452992,0.0016546676743168529,NaN,0.5034722222222222
SPROUT,0.6870889069544011,0.001086518114281467,hotZone,483,0.047275641025641024,0.001103111782877902,NaN,0.3870192307692308
DOUG,0.6753012370802763,0.007599323062039447,hotZone,5422.5,0.12211259431224608,0.007614830135811799,NaN,0.6294254207777132
CHUCK,0.6681393329587824,0.002346806487748633,hotZone,1324.0000000000002,0.050540123456790126,0.0022910783182848735,NaN,0.5108024691358025
