Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7754894421567755,0.010015422249101449,brawlBall,60860.5,0.30254047449343247,0.00988350949121588,7.722324698585826,0.7746219835047348
LUMI,0.7586182304954522,0.05070647935541173,brawlBall,302176,0.4011443564813421,0.05014867154174974,7.343781152637398,0.75799444126707
OLLIE,0.7490579778081973,0.020174726972595525,brawlBall,116667.5,0.2597450025627883,0.01963417881820811,6.680814599802371,0.7474852639671963
SHADE,0.6986049436229511,0.009899218479416156,brawlBall,54258.5,0.2974875918587203,0.009808661103230016,5.787280163008136,0.6958626704115527
DRACO,0.6899559894848485,0.004698276887580607,brawlBall,25451,0.2534804662205914,0.004662488491274125,5.489344333984432,0.6866770990718757
CHARLIE,0.6878257059382357,0.0028493133528296366,brawlBall,15140.5,0.1478202247191011,0.002798952323841174,5.42611330833633,0.6804719101123595
DOUG,0.6869857356761871,0.0019835709111771546,brawlBall,10910,0.27341550397297126,0.002010591235593415,5.53384912959381,0.6826002627792029
MEEPLE,0.6856506951067249,0.008890826985562303,brawlBall,47433,0.2029645375809718,0.008758267759226699,6.212754730713246,0.6812834839061804
R-T,0.6824544874902959,0.0015854953743647201,brawlBall,8574.5,0.181174974163288,0.0015823829789482304,5.6207927558517,0.6816519596152317
JACKY,0.6815752574558857,0.009477306651565433,brawlBall,51366.5,0.25085162005862316,0.009527507914745296,4.839117708551118,0.6782130502521851
ASH,0.6805544508362689,0.007028356515362752,brawlBall,37275.5,0.26800688218781127,0.006945804609478221,5.322946544980443,0.6750973467354885
BUSTER,0.6785408698052998,0.0072570711916541035,brawlBall,38160,0.2383016208597604,0.00714015882702135,5.063153511612843,0.6723044397463002
SAM,0.6782978712269284,0.006617732055295907,brawlBall,35078,0.26032092524509803,0.0065695499397879316,4.994156998899145,0.6716835171568627
LOLA,0.6779880917452004,0.0019040144394914672,brawlBall,10235,0.17993557294063506,0.0019134770246268808,5.354261057173678,0.6728683189796858
EVE,0.6732991634245972,0.0010734149057469698,brawlBall,5712,0.1458674783423086,0.0010745461011348902,5.592699201884077,0.668695855771482
HANK,0.6731622955912847,0.013392855001131935,brawlBall,70881.5,0.24730614133668274,0.013320371353672722,4.915763581092056,0.6693943657981472
CHUCK,0.6731039851840672,0.0007566993318914761,brawlBall,3917.5,0.14031620553359683,0.0007638309442860049,5.266440919622171,0.6451745718050066
ROSA,0.6726457029026399,0.002086617190356407,brawlBall,11255.5,0.20294433186315414,0.0021105987455913356,5.303862716951586,0.670848730480391
SANDY,0.670260350883639,0.007763809298607912,brawlBall,41252.5,0.1732743821462119,0.007767375738781893,5.165726629065163,0.6680999578920092
JUJU,0.667405910498002,0.010348157504454223,brawlBall,53053.5,0.20494505494505494,0.010073712453627022,5.584201854548241,0.6625062437562438
BONNIE,0.6654686236231934,0.0014239911022551892,brawlBall,7613.999999999999,0.22863862032923962,0.0014442593991020457,5.269816369844053,0.663182649594983
WILLOW,0.664522140771514,0.004919713928733855,brawlBall,25317,0.1534465379545631,0.004867157948842196,4.947928283434846,0.6543382181902768
MOE,0.6592864680051713,0.005734200496949799,brawlBall,29232,0.2016759901045265,0.00564432322779459,4.75242237966243,0.6514965789297733
MEG,0.658704251906023,0.00349726867613974,brawlBall,18325,0.21239728474455163,0.0035210191255871668,5.01543527474789,0.6546981064665952
OTIS,0.6586113591755947,0.003999885998029593,brawlBall,20401.5,0.19390201029115664,0.003936018843176022,4.997451987069785,0.6520342612419701
RUFFS,0.6558115350179509,0.003464909482180816,brawlBall,17427,0.1535691748023312,0.003388807939413815,4.642542352322808,0.6469059727532573
PEARL,0.6554744475223364,0.003137038322744352,brawlBall,16395.5,0.21057458431356912,0.003154828104701699,5.318289786223278,0.6537541369273097
PAM,0.6551182013398327,0.0020398611609045475,brawlBall,10668.5,0.1432151589242054,0.0020580161805861395,5.136786961583236,0.6521088019559902
TARA,0.6546653427387586,0.013329821648572614,brawlBall,68817,0.1561840798372984,0.013298482917522234,4.713821906083055,0.6509672231944379
AMBER,0.6539146529959715,0.0036097840248425265,brawlBall,18746.5,0.23108441265321714,0.003622787774125931,5.073333070773109,0.6509427410673981
BEA,0.6529036194711662,0.017112404716803097,brawlBall,86634,0.1973439515282402,0.016775599375198364,4.371703371768949,0.6496445604247278
CLANCY,0.650366575151868,0.005194857400018161,brawlBall,26495.5,0.22884256000776643,0.005183156521313613,4.564626391096979,0.6430478363225979
MR. P,0.6470571980998784,0.007091774849638431,brawlBall,35804,0.1297618193557644,0.007013860034520832,5.196474749576435,0.6421551043833847
LARRY & LAWRIE,0.6464293347149519,0.007656214312379981,brawlBall,38401,0.17615433270082226,0.0075575486612013505,4.762295270254749,0.6391857252238756
BULL,0.6459606489782432,0.0063047996671531,brawlBall,32134.000000000004,0.2043413322712337,0.0063168265591768335,4.230724088118454,0.63992830827442
NITA,0.6456602710224538,0.012776888697053486,brawlBall,65871,0.1820781882961589,0.012887131272625127,4.6623557393443065,0.642988920884377
CORDELIUS,0.6437430986639521,0.008116908606057195,brawlBall,40716,0.18797791990492424,0.008044503467744685,4.448458527275206,0.6366948662215203
MAISIE,0.6431731396999594,0.01584660556319784,brawlBall,79554.5,0.2398801565696429,0.015619034536304173,4.284537227250014,0.6407314637328652
BELLE,0.641681992535933,0.0023172789857131924,brawlBall,11467.5,0.13187289881791564,0.0023199226407316373,4.541585445094217,0.6218143368398221
FRANK,0.6384022978222489,0.023844232026537772,brawlBall,122288.5,0.1855643822931136,0.02418030637017648,4.014532686841665,0.6361936124940822
JANET,0.6374397670411975,0.00650539439046221,brawlBall,31847,0.19446038183796616,0.006358339110496726,5.115526330706876,0.6300722128796122
ANGELO,0.6363833970132873,0.0005860102844489532,brawlBall,2959.9999999999995,0.09610983981693363,0.0006046994975597538,5.001598173515982,0.6157686706885791
BIBI,0.6358581530155681,0.027324998313335874,brawlBall,138186,0.24888468670252803,0.027407844337493017,3.721861005976374,0.6342414951623859
LOU,0.635691117609242,0.008786616877040517,brawlBall,43467,0.09594851755545548,0.008659644000939442,4.8923335686697955,0.6314298580746379
CARL,0.6343930176163601,0.020872069527318914,brawlBall,102566.5,0.24103981824115064,0.020430842416719847,4.165750973964056,0.6315165657921472
KENJI,0.633400576870472,0.011984845082202392,brawlBall,60133,0.22924921902845044,0.01200014642609011,4.174748782442513,0.6303645931609955
GROM,0.6314401879144271,0.006609648919951267,brawlBall,32826,0.25200060681912995,0.006633705700918673,4.575410839572444,0.6224826487655023
BERRY,0.628869780291212,0.005709450614684611,brawlBall,28281.499999999996,0.13918361978253244,0.005738292548509618,4.612694666085127,0.6199907927043142
CHESTER,0.6279863014107696,0.02813603781449149,brawlBall,138615.5,0.22564697596301447,0.02786272126347098,4.16550514872318,0.6258262149423004
