Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7645736647628352,0.040427519361415365,heist,14763.5,0.4711788389990316,0.03978861600670004,6.592462389494908,0.7524336170429642
DRACO,0.7064258881525377,0.009553221372216548,heist,3143.5,0.15597731239092497,0.009295704386866777,4.2746743210421725,0.6857547993019197
BULL,0.7047467368084961,0.026846404309267515,heist,8717.5,0.29734774830831456,0.02607217960339139,4.358238301219033,0.6780353115034612
CARL,0.6997094107209442,0.03243668082987348,heist,10510,0.306364339087864,0.03148047881800171,4.016790316282702,0.6770162329296573
BIBI,0.6947305578238762,0.029779934466632223,heist,9666,0.2161712741633756,0.029268084951057628,3.8154007700385018,0.6697152359176887
NITA,0.681923844536848,0.07703725934944443,heist,25562.5,0.3223531916025863,0.07621301439171335,4.622533160789389,0.6801612431152383
AMBER,0.664873343615619,0.015357756322368566,heist,4884,0.26191113490364026,0.015152160379290696,4.4152819395260146,0.6536402569593148
MELODIE,0.6639326196751655,0.06114573513761178,heist,19354.5,0.34324880980517947,0.06005909180319226,3.9122321337024504,0.6534929263598609
R-T,0.6558028753062938,0.0024022099662813798,heist,809,0.11158432708688246,0.0023807061409645714,5.21795989537925,0.6890971039182283
SAM,0.6430191811579395,0.004542807021472422,heist,1464,0.1832579185520362,0.004481567778136033,4.295768169273229,0.6624434389140271
GRIFF,0.6404437284272574,0.011644694817330693,heist,3639.5,0.23583084751710826,0.011556766863166177,4.408667621776504,0.6386208106685384
FINX,0.6252798901649941,0.003995176919396614,heist,1427,0.2092092092092092,0.004051661728830676,6.70902489626556,0.7142142142142142
BERRY,0.6222822202772161,0.03010261866405398,heist,9174.5,0.31528791565287917,0.030004197667556895,4.084456671251719,0.620066234117329
SPIKE,0.6156804341539923,0.02214178261365427,heist,6524.5,0.22964394148495723,0.0220407964617921,3.5744540662650603,0.6002852148311713
FRANK,0.6149392489873629,0.011900612588624251,heist,3536.5,0.11913538873994638,0.012102260859690427,3.69189562813202,0.5925770777479893
JESSIE,0.6125578363419772,0.06780420177235659,heist,20520.5,0.303788398961101,0.06792718364896955,3.802475895002585,0.6126070991432069
SHADE,0.6123294299077945,0.0046129420622038194,heist,1559,0.19222462203023757,0.004694492944065573,5.471238938053097,0.6734341252699784
BARLEY,0.6075727365432323,0.018515020652515674,heist,5529,0.24989154013015186,0.018696857427336754,3.9108768035516093,0.5996746203904555
MR. P,0.606779641332983,0.004208223617071015,heist,1338,0.1134070158577607,0.004219974002851169,4.672396856581533,0.6429601153291686
MAISIE,0.6010297135681593,0.0025666904505398437,heist,798,0.14263685427910563,0.002630132763910604,4.250793650793651,0.6152659984579799
EDGAR,0.599834699575678,0.052062496089135386,heist,15170.5,0.22620441945810885,0.051941573334468936,3.3561205724794116,0.5922737565393925
TARA,0.5998219037602933,0.005765759530259053,heist,1752.0000000000002,0.109593837535014,0.0057915645132834885,3.917381974248927,0.6134453781512605
OTIS,0.5997590606197596,0.0014767618666235095,heist,494.5,0.11956521739130435,0.0014925040202299186,5.321279554937413,0.671875
BUZZ,0.5997506706335759,0.007492671324467043,heist,2267,0.14083377872795297,0.007588247341984179,3.7127572016460904,0.6058257616247996
LOLA,0.597168436158387,0.003495095175964552,heist,1021,0.11079053664166186,0.0035142791671989794,3.8482880755608027,0.5891517599538373
EL PRIMO,0.5962439105593798,0.018445564181632405,heist,5479.5,0.2000651324359531,0.018680634557551645,3.68721537265356,0.5948219713417282
CORDELIUS,0.5955208008605367,0.003053152327734502,heist,932.5,0.07167004732927654,0.0029992030515218066,4.034293552812072,0.6304935767410412
MOE,0.5942658632668719,0.0035353489087409343,heist,1068.5,0.13414634146341464,0.0034919727212444564,4.419605499103407,0.620499419279907
JACKY,0.5935389898556166,0.0025827337805205573,heist,839.5,0.07104660045836517,0.0026544670685882655,4.615023474178404,0.6413292589763178
HANK,0.5916861739767967,0.002984810650173154,heist,948.5,0.10358565737051793,0.0030539552370465453,4.51864406779661,0.6298140770252324
ASH,0.5892032343474899,0.0025737911993077424,heist,816,0.1349019607843137,0.0025855198720015574,4.5936,0.64
COLETTE,0.5887107808671024,0.03926139707740936,heist,11276,0.18496302807797715,0.039216759846774994,3.33199746888842,0.5830704793422617
MICO,0.5882787906014935,0.00841802248557518,heist,2373,0.2705649157581764,0.00818443780658689,3.2737585076884295,0.5879583746283449
EVE,0.5882494676618274,0.0011261836015162546,heist,357,0.055357142857142855,0.0011356008849575468,4.65880217785844,0.6375
CHARLIE,0.5881914088957518,0.0023413567916868603,heist,735.5,0.08726625111308994,0.002277285346084509,4.739800543970988,0.6549421193232413
DOUG,0.5876201577041444,0.0020693956904125886,heist,689,0.17416829745596868,0.0020724716150475227,5.012896825396825,0.6741682974559687
ROSA,0.5852865203250907,0.0025847937247023708,heist,840,0.08487654320987655,0.0026281049051874654,4.672156862745098,0.6481481481481481
LILY,0.5851474212210642,0.0021492003514797936,heist,630,0.195837275307474,0.0021434466703573697,3.5649663137632337,0.5960264900662252
CHESTER,0.5849372483328333,0.014266397894843678,heist,4034.5,0.11317543610835343,0.014298431856849397,3.1978037855801187,0.5721883420791377
JUJU,0.5840085628414653,0.0030485719812596455,heist,951.4999999999999,0.15952537903757416,0.0030762616830010687,4.648521505376344,0.6272247857613711
MEEPLE,0.5819688460290496,0.0018035901870463245,heist,624.5,0.06573275862068965,0.0018818528950725062,6.001129943502825,0.6729525862068966
LARRY & LAWRIE,0.5808575620301787,0.0048906952418246025,heist,1497,0.11949429037520391,0.0049723095891355444,4.333193804939305,0.6105220228384992
PENNY,0.5799282525760517,0.020444824831313595,heist,5930,0.16715342679127726,0.02083016480407843,3.52682489030714,0.577297507788162
KENJI,0.5788901879706776,0.00326055235488699,heist,989.5,0.12746305418719212,0.0032932425663768855,3.9911336288790373,0.6092980295566502
GROM,0.5787928709631108,0.009475331247506559,heist,2691,0.20628850647971106,0.009545131009812809,3.5847291711986076,0.5717017208413002
GRAY,0.5782065733253534,0.0009186139319017351,heist,262,0.02188183807439825,0.0009267314364742837,3.7194570135746607,0.5733041575492341
COLT,0.57801123605126,0.04639321465049751,heist,12992.000000000002,0.23955516790231138,0.04649880052156526,2.8469093009820914,0.5665939816833843
CLANCY,0.5776520496700791,0.0075979465894764385,heist,2184,0.13410064239828695,0.007576080189645348,3.6234652114597545,0.5845824411134903
EMZ,0.5775341440151649,0.011566659284796105,heist,3332.9999999999995,0.14822439526505404,0.01182038849717418,3.589143161255987,0.5717961914565105
OLLIE,0.5749555160142349,0.0011980150668679693,heist,414.5,0.1040268456375839,0.0012086037989905319,6.354275741710297,0.6954697986577181
PEARL,0.5736497508082656,0.0022553238287993478,heist,718,0.10383944153577661,0.002323926096716694,4.9106344950848975,0.6265270506108203
8-BIT,0.5735106004224814,0.01214778165580446,heist,3498,0.16969399443626249,0.01239224465709923,3.631825795644891,0.5724104074619538
BUSTER,0.5731273119856464,0.0007987494151576121,heist,261,0.06965174129353234,0.0008151992067016675,4.992405063291139,0.6492537313432836
CROW,0.5717619979779293,0.03140193451539231,heist,8778.5,0.12312973638189002,0.03130811082653494,3.1149539521632543,0.568592525422631
DARRYL,0.5697677469110879,0.010403566330469235,heist,2924.5,0.15917022101589764,0.010459695293948261,3.142035310454275,0.5669833268708802
MEG,0.5692737346652488,0.0026118395800777128,heist,770,0.0700152207001522,0.002664606362203958,3.836206896551724,0.5859969558599696
KIT,0.5681892964452208,0.0026920077607064147,heist,732.5,0.05606060606060606,0.002676773514542789,2.9735819735819735,0.5549242424242424
BO,0.5655853444241655,0.004896729666545445,heist,1396.5,0.11701705672352242,0.005112231841032099,3.273538961038961,0.5539468464894883
JANET,0.5649183066478737,0.0011371134229985838,heist,334,0.06434782608695652,0.001166018765804624,4.021390374331551,0.5808695652173913
RUFFS,0.5648377790150326,0.0014605004249058982,heist,446,0.0896358543417367,0.0014478911283208721,4.492220650636492,0.6246498599439776
PAM,0.5630658624028804,0.002073588282688515,heist,638.5,0.0552434456928839,0.0021657531163118927,4.479425837320574,0.5978464419475655
SHELLY,0.5621896357470876,0.004086032575133313,heist,1124,0.05081495685522531,0.004230113296466862,2.9911417322834644,0.538830297219559
WILLOW,0.5608624650991137,0.0019972976440491095,heist,583,0.062062062062062065,0.002025830864415338,4.042181069958848,0.5835835835835835
LOU,0.5599974345461803,0.0014729085592716463,heist,433.5,0.037940379403794036,0.0014965597376761955,4.2510518934081345,0.5873983739837398
BONNIE,0.5592420472794586,0.001253754732964104,heist,387,0.10030864197530864,0.0013140524525937327,4.423510466988728,0.5972222222222222
POCO,0.5586971103900639,0.0017328977496539658,heist,515.5,0.022850924918389554,0.0018636021665642598,3.907553551296505,0.5609357997823722
SPROUT,0.5581105839964855,0.0033938670954064844,heist,935.4999999999999,0.1837837837837838,0.0033763847740255633,3.395076923076923,0.5618618618618618
SURGE,0.5577511598832764,0.0034007982017123517,heist,904,0.025832376578645237,0.003532529895707226,2.7871082199881725,0.5189437428243399
SANDY,0.5577168862596975,0.0008674061430055904,heist,278,0.04357298474945534,0.0009307871539205606,4.464530892448512,0.6056644880174292
BELLE,0.5571255760925149,0.0014016587252183262,heist,407,0.04755244755244755,0.0014499189870440107,3.7847919655667144,0.5692307692307692
BROCK,0.5565603786073204,0.013117409499502875,heist,3538,0.1726913730255164,0.013351421833143728,2.88218793828892,0.537363304981774
BEA,0.5565113882452185,0.0012122650336786334,heist,343.50000000000006,0.024883359253499222,0.0013039131589780402,3.642622950819672,0.5342146189735615
GALE,0.5556128289444271,0.00127130061046567,heist,379,0.060790273556231005,0.0013343310398251174,3.9608150470219434,0.5759878419452887
BYRON,0.5547348511949434,0.0026198854797055025,heist,748.9999999999999,0.024926686217008796,0.002765999298360882,3.4804804804804803,0.5491202346041055
STU,0.5532197303496261,0.002084227288521647,heist,624,0.019538188277087035,0.0022833689222539243,3.7682363804247463,0.5541740674955595
GENE,0.5526653323227237,0.0003233142979950151,heist,98,0.011494252873563218,0.0003528474178260949,4.636363636363637,0.5632183908045977
LEON,0.5521004713274014,0.00424576307045489,heist,1134,0.0619757688723206,0.00435178481985517,2.9211417513304307,0.5284249767008388
CHUCK,0.5520439976883857,0.03176877422221718,heist,8456.5,0.2016725635252493,0.03152306385118762,3.0863498749506384,0.5440012865873272
GUS,0.5520133460681627,0.0008422505893500304,heist,253.50000000000003,0.011086474501108648,0.0009145642841354529,4.253488372093023,0.5620842572062085
SQUEAK,0.5520010277960359,0.007590991248533138,heist,2082,0.15723270440251572,0.0077383088874964255,3.2814596189965117,0.5455974842767296
DYNAMIKE,0.5510997652596655,0.029609540730840083,heist,7893.5,0.20247064413222018,0.02987644256799917,2.604342999861246,0.5357700400461549
FANG,0.5497261168371174,0.0021083892220424495,heist,570.5,0.045454545454545456,0.0021860317035432776,3.1059280855199223,0.5292207792207793
ANGELO,0.5481486581004457,0.0006533415905589996,heist,182.5,0.02,0.0007097505530984668,3.370919881305638,0.5214285714285715
MAX,0.5481294339546494,0.001938528648273837,heist,541.5,0.06515301085883514,0.0020542208865392767,3.5500515995872033,0.5345508390918066
NANI,0.5428081518433102,0.0023236170370858292,heist,637,0.0717230008244023,0.0024597926311669717,3.363019508057676,0.5251442704039572
RICO,0.5399548486063016,0.021902683680739284,heist,5770,0.10585135380701435,0.022318613106862072,2.450288050548225,0.5242594948210068
MANDY,0.5362782302703905,0.010178014559879354,heist,2624,0.0880466472303207,0.010433333130547461,2.6036072144288576,0.5100097181729835
TICK,0.5300471919867994,0.0036515055259577927,heist,897.5,0.03123345685547909,0.003830625128008582,2.5832426550598475,0.47511911064055057
PIPER,0.5249623075629416,0.003063864037479933,heist,738,0.03496503496503497,0.0031898217714968233,1.944078947368421,0.4691671964399237
MORTIS,0.5121821569873454,0.004704137002864582,heist,1035,0.0118946474086661,0.004773579434267973,1.0043821209465382,0.43967714528462193
