Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7526974147363622,0.010536704833119496,hotZone,15614,0.3589718906430497,0.010436194345487461,7.474208879100498,0.7515402387370043
SAM,0.7285360663383368,0.001993814886143024,hotZone,2714,0.16363636363636364,0.0019891860612307635,5.46331767256957,0.6853535353535354
DRACO,0.7197169709641686,0.004862073742276317,hotZone,6737.5,0.1700178966206969,0.0047715349483916725,5.66819113704463,0.7092851879145173
HANK,0.715874085453976,0.003912990756145088,hotZone,5345.5,0.11967338606787446,0.003937181906042102,5.7491289198606275,0.6819979586629242
DOUG,0.7071276366344463,0.0012082149807512662,hotZone,1667.9999999999998,0.16279069767441862,0.001231185615170859,4.992307692307692,0.6805385556915544
JACKY,0.7007959403694946,0.0041313412830642745,hotZone,5573.5,0.15854971879861193,0.004197885836794316,5.200335289186924,0.6669259303577839
ROSA,0.7001618935065802,0.002099852655664172,hotZone,2774,0.10290614578370652,0.0021087381527895824,5.279614325068871,0.6607908527870414
CHARLIE,0.6984947833086875,0.001536193237049062,hotZone,1877,0.08460013218770654,0.0015200194498192654,4.966420034149118,0.6202908129543953
LUMI,0.6962656204549251,0.02453164240627758,hotZone,33219.5,0.3832311688311688,0.02417413616079053,7.222486869427141,0.6902753246753247
OLLIE,0.6954791764876104,0.011482090696412444,hotZone,14973.5,0.0747947566562344,0.011074642699988547,7.283847650820128,0.6791626978727264
ASH,0.6769840456185954,0.0035168866115406006,hotZone,4359,0.17268901465679873,0.003461485138368988,5.891448406437362,0.6325642141924249
BUSTER,0.6722463509021914,0.0067889534398995355,hotZone,8558,0.12009395362933778,0.0066296155646776815,5.448269040553907,0.6484315805425065
SHADE,0.669411181361068,0.0015127900327378144,hotZone,2016,0.12163009404388715,0.0016023998826581152,5.871533442088091,0.631974921630094
BONNIE,0.6658304137272946,0.0011208295233916903,hotZone,1437,0.20311823300129928,0.0011598562160055135,4.941713127217436,0.6223473365093114
CHUCK,0.6646069090070066,0.012329868944675396,hotZone,15994.999999999998,0.14320338495666105,0.012227968759732444,4.859582438164491,0.6570677402127921
RUFFS,0.6594240472047059,0.0016098916003583815,hotZone,1787,0.11766571519188075,0.0015838140532981307,4.12726469288555,0.5667618141452585
PAM,0.6557398951720443,0.0059099371827276235,hotZone,7595.5,0.12889192186300436,0.005888693988840466,4.918523477096682,0.6479143563934147
OTIS,0.6554873418704392,0.0022263228335282865,hotZone,2627,0.16586921850079744,0.0022046812178640966,5.294363256784969,0.5985418090681248
CLANCY,0.6548760719867563,0.0027973050558327463,hotZone,3421,0.22310612909058036,0.0027783303294614528,4.655625913297613,0.6185138311336106
KENJI,0.6525414645861751,0.00869594249758282,hotZone,11099.5,0.12087339279508862,0.008673052154851103,4.784464189553042,0.642853005907564
MOE,0.6517415315519786,0.0024598428757324022,hotZone,2916.5,0.1696446909016225,0.002445794679831462,4.996125396266291,0.5989936331895667
R-T,0.6490869158531921,0.0007935716404649607,hotZone,976.9999999999999,0.08638906152889994,0.0008082324173031058,5.111566858080394,0.6072094468614045
MEG,0.6482761462157014,0.005450999810369152,hotZone,6817,0.14347866333425902,0.005426559853403015,5.28148282754861,0.6310284180320281
POCO,0.6473744886039035,0.030338381638475777,hotZone,38589.5,0.15112266840026004,0.030134661868508772,4.536959134615385,0.6432548215565668
EVE,0.645401617598028,0.006358426164456169,hotZone,7577.5,0.12427722127209057,0.006167983748952663,4.925709840528977,0.6171105138854955
SANDY,0.642180342077718,0.011020920761953561,hotZone,13993,0.10211203770848441,0.011083182135099892,5.401376401376401,0.6342005076142132
BO,0.6398411352009882,0.037803747813309606,hotZone,47222,0.2669764935677241,0.03728970385239034,4.26796971520892,0.6361150400754361
LOLA,0.6372135147345347,0.004366206816027572,hotZone,5120.5,0.1856859773866418,0.004309400812954223,4.557842157842158,0.5968644364145005
MR. P,0.6348341577891022,0.01857138029705721,hotZone,22536.5,0.1088480616288414,0.01812721146253398,4.8374978752337245,0.6245046692714828
FRANK,0.6330565718819343,0.01128023136154163,hotZone,14647.5,0.09622489277676334,0.011829126908061427,4.654841610872389,0.62200093422226
MICO,0.6308649736097203,0.001522017956086182,hotZone,1813,0.09375,0.001543126156591138,4.301706484641638,0.5901692708333334
NITA,0.6305386134423059,0.0045982206230012765,hotZone,5924.499999999999,0.10453977509371096,0.004824278518197034,4.595753806562299,0.6168783840066638
BULL,0.629582937625831,0.0010170838509602981,hotZone,1252,0.0758206195099399,0.00108651753799044,4.4505050505050505,0.5788257050392973
LILY,0.6288017581361968,0.0020101096127265613,hotZone,2369.5,0.14787339268051433,0.0020313809170750528,4.043698252069917,0.5859297725024728
CORDELIUS,0.6273239746879802,0.0013504440702948194,hotZone,1520.9999999999998,0.15025528811086797,0.0013773606514885742,4.4950354609929075,0.5547045951859956
GRAY,0.6263375786524396,0.012369423991595754,hotZone,14487.5,0.04736599857734633,0.012004938807412631,4.412439729990357,0.6061969120046864
TARA,0.6225985010565669,0.01214698936440755,hotZone,14868.5,0.11281480565516673,0.01218677854331302,4.619041170097508,0.6128560240715551
KIT,0.6217134700108701,0.0016102726242901851,hotZone,1736,0.06459550907413103,0.0016330413851164678,3.1989498249708284,0.5339895416794832
BIBI,0.6194043016364572,0.0071384119203527574,hotZone,8897.5,0.0921142544758781,0.00735094667173005,4.322244623655914,0.6080019133524669
EL PRIMO,0.6180671656574919,0.0032383164428996464,hotZone,4067.4999999999995,0.05908632367776337,0.0034855964845657244,4.005763688760807,0.5861795647787865
MEEPLE,0.6146817806706846,0.008098782740463668,hotZone,9317,0.1612944243117808,0.0079009867568431,5.987099711640613,0.5923453493546952
GRIFF,0.6098293398604878,0.00904694293426006,hotZone,10771,0.1865568514731082,0.009087465917607512,4.470760233918129,0.595378917693881
AMBER,0.6075349851611224,0.009816385043543771,hotZone,11543.5,0.20125301699789452,0.009781671760188551,4.4393572742232115,0.5927951522621066
GALE,0.606292773585979,0.0099564827804688,hotZone,12029,0.1042953882655331,0.010162430102212015,4.582868395142763,0.5945825713014681
JUJU,0.6044614641396826,0.014759444231825153,hotZone,17035,0.11198776545827395,0.01445224044638139,5.239798206278027,0.5920892565430468
JESSIE,0.6017098583250117,0.031229876429414258,hotZone,37343.5,0.166999952006911,0.031399502904412575,4.1565053939195815,0.5974099729638932
PEARL,0.6013425820138585,0.0035065275233946906,hotZone,3889,0.14709252363219708,0.003507196232200301,4.87700696758558,0.5570037238613578
CHESTER,0.5974892463616797,0.021457761603946912,hotZone,24815,0.1460251343099898,0.021224514809389763,4.106515454747609,0.5872955766454453
SHELLY,0.5948416246645553,0.0019119959502871407,hotZone,2292,0.07653307580878803,0.0020806082488933897,3.835055986218777,0.5533558667310478
WILLOW,0.591015109696234,0.0010351050922348204,hotZone,1183.5,0.06287563569116968,0.00108651753799044,4.402730375426621,0.5471567267683772
TICK,0.5883935532109739,0.036012834124350926,hotZone,42231.5,0.2125844688157749,0.03627552035299011,3.4763047039550665,0.5847942284258336
DARRYL,0.5849062476425979,0.00565735403693546,hotZone,6528.5,0.0728567750793787,0.005853531608970224,4.1818397908248155,0.5602419977688149
CROW,0.5848203393023657,0.012441092211768433,hotZone,14441,0.10696745857456579,0.012580597197859715,3.6743218505574973,0.5766021161908564
MAISIE,0.5841387591815892,0.005941782448527894,hotZone,6524.500000000001,0.15062797012898846,0.005919335491298818,4.56479635431501,0.553674473862865
LARRY & LAWRIE,0.582690671691943,0.002661398582157559,hotZone,3145.0000000000005,0.11700994318181818,0.0028290646204170863,4.454645108248835,0.5584161931818182
CARL,0.5817395300833722,0.02771917550326653,hotZone,30482.999999999996,0.14362280274352535,0.026804784494796972,4.286184796154531,0.5712492035530902
MORTIS,0.5800543555711001,0.01929704037517712,hotZone,21950.000000000004,0.1506208759806723,0.019336295010357833,2.705609027547295,0.5702187353873331
SPIKE,0.5797435696374182,0.025429662232048195,hotZone,29698.5,0.1426442698455703,0.025956868820211736,3.747161051508878,0.574728103107946
PENNY,0.579161437600759,0.0480767959926189,hotZone,54409.50000000001,0.20239716986113312,0.04756716516874929,4.053224002981737,0.5745762711864407
EMZ,0.5783635177618455,0.022358436690242286,hotZone,27405.000000000004,0.18607865309712276,0.023987775547478253,3.8509954637096775,0.5738786279683378
STU,0.5770479116485315,0.02362570442692417,hotZone,26117,0.06068905553744158,0.023109218370434666,3.491361437456807,0.5676991631344419
MAX,0.5765012676389433,0.005102434354756095,hotZone,5442,0.0638486550399054,0.00509804276147248,3.3460630765930057,0.5362104640851315
MELODIE,0.5751149385585842,0.015073777068565233,hotZone,16283.5,0.10989800807721267,0.014676777357838499,3.4540931169292737,0.5573105619823396
ANGELO,0.572180548454274,0.005297244746888541,hotZone,5452.5,0.1305148841268302,0.00518042319431133,3.9445114595898674,0.5287016387084262
BUZZ,0.56953281805134,0.004344065753490423,hotZone,4758,0.07166087249074801,0.0044791848757562425,3.752136752136752,0.5335875294381518
8-BIT,0.5683322591354891,0.008851817006684089,hotZone,9838,0.15021219566674113,0.008995541410232453,3.9538072136680027,0.5493634129997766
COLETTE,0.5650266467172902,0.008913161859704463,hotZone,9672.000000000002,0.08866580674106893,0.00895686279237519,3.6325709977381253,0.5424261118277158
