Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7739253506120097,0.01880705189199668,brawlBall,65888.5,0.3059984547306315,0.018354762478776057,6.830621186976922,0.7713293999203952
FINX,0.7632405217638873,0.013415736035689508,brawlBall,47366,0.3245668316831683,0.013194835689830256,7.538325798699225,0.771332725377801
LUMI,0.753743139886677,0.05729811918538464,brawlBall,197837,0.4001385009930978,0.05647126672399441,7.0417769874460525,0.7527643124034489
MEEPLE,0.7160045624067708,0.01174700221277139,brawlBall,38223.5,0.25259985489181996,0.011549993532364607,6.060414822796013,0.7110951946868082
JUJU,0.7098723149208523,0.0041366551831111004,brawlBall,13156,0.2493159334876868,0.0040834200340270676,5.664941432852084,0.6922753104609556
BUSTER,0.6929853646229662,0.005691224412173329,brawlBall,18083.5,0.26817435152996905,0.00562469407654844,5.005876821814763,0.6908163655117088
CHARLIE,0.6917010939294793,0.004449222299035345,brawlBall,14244.500000000002,0.18624061635717107,0.004350720314090721,5.451405092827432,0.7035015804030028
MR. P,0.6871467224501121,0.0062018402473294106,brawlBall,19494,0.18178646196789952,0.006158220278636906,5.176423993663138,0.6801814375436148
JANET,0.6818867386524796,0.006113766085503809,brawlBall,18611,0.25,0.005985463505991265,4.956044362292052,0.6681145893164848
TARA,0.6807026354034564,0.009955663071183249,brawlBall,31099.5,0.19412375145933325,0.009938671345710798,4.691711229946524,0.6723634712673499
LOLA,0.6799780916409777,0.003379279559623631,brawlBall,10706.5,0.23202467390605924,0.0033440468316966562,5.23696588274263,0.6879457688106406
ASH,0.6779757199033674,0.004575423770822292,brawlBall,14626.5,0.2714138286893705,0.0045806329344027065,5.281048270546296,0.6861103292991838
DRACO,0.6776494928073007,0.003939417683240144,brawlBall,12598,0.263627408056042,0.003926134017140738,5.566871442258919,0.689470227670753
SAM,0.6764009795284526,0.006051062114219863,brawlBall,18550,0.24212668713847033,0.006017694247156496,4.734515868943781,0.6623580661286868
MEG,0.6759549543047279,0.004665193659100075,brawlBall,14502,0.24257425742574257,0.004644234930302096,4.865425912670007,0.6709540112889794
LOU,0.6738789422468481,0.008711894471025779,brawlBall,26579,0.1313699040767386,0.008601740202176994,4.694260770740779,0.6639438449240608
EVE,0.6734637772391543,0.001705226058342113,brawlBall,5456,0.17883812175673966,0.0016977005729766294,5.551431185465952,0.6905455005695481
SANDY,0.6717785774333408,0.0064987313704326696,brawlBall,20536,0.19820651457206911,0.006517485606825354,5.10171689934123,0.677040749043914
OTIS,0.6711501260862249,0.004987136550192119,brawlBall,15383,0.2301492931695072,0.00487908959759275,4.9933254631311295,0.6774562910115823
BEA,0.6690594891420105,0.021917896185225792,brawlBall,66756,0.2688702270304733,0.02156945660259625,4.118839777873404,0.6650130002091987
BONNIE,0.6661826358529154,0.0024728897628829814,brawlBall,7795.5,0.26888426888426886,0.002480477840076219,5.349767774205073,0.6752858627858628
MAISIE,0.6653037583723677,0.014706967286366234,brawlBall,44944,0.2815963868758579,0.01455819604111955,4.298852321957893,0.6633507003379924
JACKY,0.6651031375974267,0.005740721429002581,brawlBall,18162,0.24258135686707116,0.005843433373256478,4.658340293068104,0.6678433535576392
AMBER,0.6650856141037172,0.005387522584467047,brawlBall,16690,0.26081200353045014,0.005355889695230409,4.970683767802115,0.6695819626093236
HANK,0.6638488849613892,0.010213178465744866,brawlBall,31304,0.24417655553462672,0.010266780290772855,4.688449486763911,0.655155815072937
PEARL,0.6637684349035984,0.004157860608834283,brawlBall,13032,0.24733574754267978,0.004153468178159504,5.295453334044027,0.6741852043455768
MOE,0.6628115824739624,0.007706576346867694,brawlBall,23403,0.2389244994043905,0.007575943146691557,4.660081009412244,0.6637642520846333
SHADE,0.6623029466957984,0.0060444687456449875,brawlBall,19002,0.25837354277462754,0.006100849559362794,5.525954448036616,0.6692494628957841
R-T,0.6614753123666566,0.0018995168860174757,brawlBall,5919,0.16497548740166457,0.0018846388717349723,5.356124012731345,0.6748375327784745
JESSIE,0.6578289274210058,0.008801937292920305,brawlBall,26622,0.21606634725296106,0.0088348758966055,4.439383977341695,0.6474694165430357
CHESTER,0.6573009793741861,0.02152196553952791,brawlBall,64815.5,0.2681093715368031,0.021327726043857013,4.160614771536203,0.6530002619436217
LARRY & LAWRIE,0.655281953741985,0.003801454794302,brawlBall,11222,0.1797657921405247,0.0038165494971789506,4.61370953579582,0.6317982209210674
CARL,0.6542652735345539,0.02008776508977627,brawlBall,59831.5,0.2829148074563832,0.019791608919922078,3.988473843204138,0.6495727887611417
PAM,0.6518161389354131,0.0029051635413809,brawlBall,8942.5,0.15739303923741965,0.0029078574679271894,5.146222086264912,0.6607921377373827
GUS,0.6504213784549577,0.006188701526278901,brawlBall,18286,0.17444162701031643,0.006185938716039005,4.260184721128374,0.635173156413908
WILLOW,0.6475152496157042,0.004016819635218409,brawlBall,11662.5,0.14039685511044553,0.004017454450442227,4.537410071942446,0.6237631705621223
8-BIT,0.6451924415894216,0.003487798471073895,brawlBall,10257.5,0.16567227143976376,0.003565364587697913,4.454775618710045,0.6181823660579763
GRIFF,0.6450746730999933,0.008291662624785154,brawlBall,24998,0.24976017008478313,0.008287383040012102,4.512604141552145,0.6481371049288288
DOUG,0.6424543424552285,0.0015365025399316098,brawlBall,4891,0.25242984257357975,0.001569637094746776,5.358825198637912,0.6695414099931554
RUFFS,0.6422487404116214,0.004248338102785107,brawlBall,12478.5,0.16682141751779636,0.004165500988194524,4.473939717257935,0.643686165273909
NITA,0.6422309899813015,0.007763222708157783,brawlBall,23783,0.20433864153396164,0.007933919245233395,4.482857625401115,0.6441068139963168
CLANCY,0.6409698031934095,0.006833446543923112,brawlBall,20228.5,0.24610276679841897,0.006795314595669649,4.407248979591837,0.6396363636363637
MELODIE,0.6365107634256538,0.014635355065091319,brawlBall,42575.5,0.2313471464276735,0.014528973502463073,3.8235721970512024,0.6296567431267285
GALE,0.6364504433987752,0.007609353854554914,brawlBall,22698.000000000004,0.15835974532297423,0.0076608174317600005,4.324668125455871,0.6366364681793959
