Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
LUMI,0.7019222434218363,0.015034154271208407,heist,12120.5,0.2752655018842069,0.014891413587458359,5.973898216159497,0.6920463629096723
CHUCK,0.6773151921128971,0.13485436693764716,heist,104757,0.6030475256594693,0.13179929836733514,4.462746800328276,0.6758036526440059
EVE,0.6761941273114047,0.011434135300743317,heist,8703,0.0684161920886563,0.011048248724188301,4.756286077683201,0.6697706633830999
JUJU,0.6657915434141318,0.007044054515549738,heist,5459,0.13392857142857142,0.006951707062410616,5.143563614566162,0.6676859099804305
FINX,0.6614062133008134,0.004183444721095375,heist,3571,0.17698937662858288,0.0042419357307199815,6.7131550802139035,0.715774704349569
MELODIE,0.6585651777822914,0.050420504390439845,heist,38029,0.26920039825591374,0.04953091281967564,3.6572562335893233,0.6528135407010678
GROM,0.6567166711761501,0.017949907473468127,heist,13487.5,0.3786253667452263,0.01767770811332915,4.246788121314237,0.6487181953729979
CARL,0.6499291945113945,0.023399910906782465,heist,17128.5,0.1860905747297247,0.022886386863858434,3.7033114486989027,0.6363450607422818
MICO,0.6456196536082349,0.00576669368309304,heist,4250.5,0.2833232810615199,0.005638909153364385,3.956725755995829,0.6409077201447527
JESSIE,0.6342198422116182,0.07645853984928959,heist,56944.50000000001,0.29893337489979516,0.07636674676094324,3.9991358934607466,0.6340128707579942
PENNY,0.6314751920881861,0.044826978404528664,heist,33020,0.248409099569409,0.044626626330440754,4.058425286851013,0.6291201463247342
CORDELIUS,0.6312680465208097,0.0014755615329984696,heist,1048,0.053927315357561546,0.0014505396585705126,3.848402447314752,0.6143024618991794
LOLA,0.6269812471412595,0.0045114124653170265,heist,3191,0.08020477815699659,0.004484259178957142,4.009856438825798,0.6050436101630641
SAM,0.6269303006296697,0.0013136713302595638,heist,1010.9999999999999,0.13202779532533165,0.0013459579598576329,4.382434301521439,0.638660770688566
BONNIE,0.6246711870211139,0.002238739419270127,heist,1737.9999999999998,0.12958065734794105,0.0022506321666096994,4.781825460368295,0.6565923687193048
ANGELO,0.6246253416532633,0.013348082880056443,heist,9277.5,0.058581235697940506,0.013004691722060957,3.3546635813456747,0.6065707747629945
SHADE,0.6244839243877046,0.002075524237363484,heist,1735,0.19092331768388107,0.0021732587147164305,5.627118644067797,0.6787949921752738
MR. P,0.6231512664284904,0.004725189256838301,heist,3545.9999999999995,0.09831056793673616,0.004730833915759867,4.448416095890411,0.6373112868439971
BIBI,0.6171024493233123,0.0037559012523976183,heist,2819.5,0.13082476482170202,0.003886528006638812,3.921998031496063,0.6168234521986437
COLETTE,0.6165706087778436,0.06306144285437167,heist,45085.5,0.21934745901192876,0.06243952542015485,3.617017877398431,0.6139427528732502
NITA,0.6157892847705585,0.016318827774949637,heist,12251.5,0.17575359093667814,0.01681129550366716,4.174238406693772,0.6196388832692696
MOE,0.6146391798167707,0.00247488914147105,heist,1853.5,0.13885135135135135,0.0025167628308140197,4.572014925373134,0.6261824324324324
OLLIE,0.6142942955777678,0.0009591837739935901,heist,793,0.06810344827586207,0.0009862989472108996,6.417485265225933,0.6836206896551724
MEEPLE,0.6120832454931253,0.002070608665794628,heist,1591.5000000000002,0.04974134500596896,0.002136697633052578,5.341838979322481,0.6333068046159969
BERRY,0.6107537037605505,0.011086970530106667,heist,7993.5,0.18707098136833372,0.011271866502736979,3.982169147717978,0.6029644715999095
BELLE,0.6106703873300163,0.011928827904514395,heist,8134.499999999999,0.06264568764568765,0.01167233788561313,3.4080061585835257,0.5925480769230769
AMBER,0.6079150584115293,0.009069310459297555,heist,6458.500000000001,0.13634676072025245,0.009160676601077786,4.015036803364879,0.5994523853721924
