Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7771219513297434,0.010879702629758504,brawlBall,36628,0.314652717723735,0.010703081207831122,6.941160012912945,0.7725633291852102
FINX,0.7758300999210246,0.013686320675109657,brawlBall,46116.5,0.3556251360447399,0.013482527661835822,7.525012519210513,0.7721731996048423
LUMI,0.7467988759946012,0.047063462857744424,brawlBall,153770.5,0.39718908017278576,0.04656498389605159,6.941476503335172,0.7454924927399923
MEEPLE,0.7123404324988097,0.013490644444366826,brawlBall,41871.5,0.2858889454915945,0.013294477069228127,6.034416222284592,0.7110120563762948
CHARLIE,0.7062363260306558,0.005027119152473036,brawlBall,15534.500000000002,0.20114573785517872,0.004925887071668496,5.575086927920308,0.7119385884509625
BUSTER,0.699320142956722,0.0033752415344000027,brawlBall,10547.5,0.2857718661829907,0.0033605295576928157,5.365767878077374,0.7085516592771732
R-T,0.6917541597660908,0.0028560388335539273,brawlBall,8663.5,0.18012917630173034,0.0028311434356459494,5.59235564304462,0.6908141296547324
MEG,0.6901408238951814,0.0046033103751549785,brawlBall,13777.5,0.2672815581612128,0.004601482868094362,5.075918615244458,0.6759309228278467
LOLA,0.6899580696768889,0.004970300663454411,brawlBall,14855,0.24698822986383567,0.00489089566488075,5.104630729042983,0.6856681283175629
HANK,0.6881681530319412,0.00567299717936274,brawlBall,17228,0.2530497341257429,0.005773807870989618,5.048587570621469,0.6736002502345949
BONNIE,0.6874125106192154,0.004227447098956404,brawlBall,12566.5,0.28795161203218667,0.0041802314805722066,5.180381683636566,0.6786466490252201
PEARL,0.686771586558911,0.004622207340695723,brawlBall,13666,0.24118366348740522,0.00461547943080946,5.100979501161264,0.6684274883834679
OTIS,0.6823171115258004,0.004462956080948082,brawlBall,12880.000000000002,0.22759543162876839,0.004388148162194878,4.780585106382978,0.6626196110710979
TARA,0.682311710230538,0.0064309757591831315,brawlBall,19259.5,0.19515075725996944,0.006498920120036328,4.869314910765688,0.6690113936362373
ASH,0.6754099794746489,0.0020532700062498477,brawlBall,6491,0.28334767641996556,0.0020985814032186225,5.841218836565097,0.6982573149741824
DRACO,0.6744911805217706,0.0019038407028495205,brawlBall,5951.5,0.26331187829139846,0.001929042393556705,5.704485170002411,0.6964891749561147
RUFFS,0.6732710058116202,0.0030235995481166424,brawlBall,8483,0.16873862947240753,0.0029781073441544825,4.5133047210300425,0.6430412371134021
SANDY,0.6702153248129832,0.0039252577989749154,brawlBall,12047,0.22152471439882365,0.003991729385941446,5.309233653620811,0.6813143309580364
SAM,0.6683416914934504,0.0041276990849014854,brawlBall,12336.5,0.24949566544899407,0.00414049930254225,5.064465584778959,0.6726187230794395
MR. P,0.6633630445181605,0.004724406192031352,brawlBall,14011,0.18056684031926587,0.004723388414322637,4.996347843253381,0.6696458442861922
AMBER,0.6623193116391399,0.006157691453334439,brawlBall,18116,0.2769247803941832,0.006116497906497994,4.991815817653358,0.6686351221672695
JUJU,0.6599374915944713,0.0015583444169924086,brawlBall,4837.5,0.27033251763351085,0.0015682922771256208,6.020600089565606,0.6963437455016553
PAM,0.6575538881006577,0.0034705052073567035,brawlBall,10178,0.16409956456749203,0.003473630814471272,5.140919771735482,0.661467472541756
CHESTER,0.6561664915941721,0.01568589288970265,brawlBall,44989,0.2717973908143953,0.015625807765338146,4.280707769363783,0.6499703829983964
JANET,0.6551134835597692,0.0061563198350732175,brawlBall,17557,0.2422360248447205,0.00603342153425354,4.745832690229974,0.6569258400059866
EVE,0.6549395322752357,0.002238257715619866,brawlBall,6614.5,0.18380252957976337,0.0022132629170778157,5.191788051509394,0.6746736026111791
SHADE,0.6533987455608431,0.002525622374045478,brawlBall,7686,0.2199844411790129,0.002611713452435052,5.6969342803200576,0.6643616561500562
GALE,0.6532903479352687,0.00705335020338733,brawlBall,20212,0.1692560832832326,0.007134409217504101,4.406314750863345,0.6395595354871373
JACKY,0.6526668256588519,0.0030924356459705047,brawlBall,9146.5,0.22043733635269974,0.003190087543984763,4.548027570024931,0.6472648786356238
GRIFF,0.6523394157187546,0.006567007860962226,brawlBall,18667.5,0.24576560579155854,0.006610892621757115,4.444884815457023,0.6374641442425898
MAISIE,0.650376345067714,0.012591936767675133,brawlBall,35820.5,0.2707002357514352,0.012544306457901161,4.122952646239554,0.644636204941782
MOE,0.647155445106675,0.0061826836139778595,brawlBall,17552,0.22888001183607043,0.006103404347829032,4.492732668746671,0.6492084627903536
BEA,0.6465818327999971,0.04105340643973604,brawlBall,115295,0.2868539250519542,0.04041033406860438,3.864065786297969,0.644091752139617
CARL,0.6395930902182374,0.018175898377930093,brawlBall,50598.5,0.2710292121273066,0.017959847473586567,3.918749192402119,0.6360111116697672
LOU,0.6370562725826985,0.008318099199930283,brawlBall,23254.5,0.14347159059777548,0.008240363423008408,4.393884330371085,0.6370746808394061
POCO,0.6350417991844634,0.012059105603989364,brawlBall,34078.5,0.18766656795972758,0.012197778655196709,4.184410283796155,0.6307095795084394
GUS,0.6322500517415183,0.01189063579360235,brawlBall,32567.5,0.1907793801779687,0.01177156074542081,3.9137372620270163,0.624568502608162
CLANCY,0.6319610957114604,0.005610811835170848,brawlBall,15786.499999999998,0.2476105980562165,0.005597947833004753,4.411384217335058,0.6366294309795539
MELODIE,0.628689743539061,0.04339499804738445,brawlBall,118574,0.25162121628186984,0.04274911454809501,3.6408758966498085,0.6261697049069517
BELLE,0.628644541996812,0.012739614333799986,brawlBall,34393,0.19106167408822947,0.012522182858770844,3.9350351060651327,0.6200400223548288
8-BIT,0.6270738145534036,0.005900287084486789,brawlBall,16248,0.18438557147744117,0.0059392833624439265,4.283833764167826,0.6175833365008172
KENJI,0.6266419768578826,0.006217141535528664,brawlBall,17220.5,0.22826786864133936,0.006310643776417101,4.051241318161667,0.616029906274594
DOUG,0.6245253810647166,0.000906445623897924,brawlBall,2745,0.25012071463061325,0.0009350606897731857,5.333333333333333,0.6627233220666344
BIBI,0.6227021688644998,0.01106426768931547,brawlBall,30887.5,0.22068400655239923,0.011300644135361209,3.73895681528138,0.6170342402812737
MAX,0.6224945421755362,0.025135970565029583,brawlBall,68371,0.16588620296877543,0.02497212539385086,3.598591287885818,0.6180820481295992
NITA,0.6223537602551472,0.0037365513028850346,brawlBall,10965.5,0.1904734510728873,0.003924229833492826,4.604965051819716,0.6308174653396997
JESSIE,0.6220978789465893,0.008139270481861138,brawlBall,22700,0.199021789904652,0.008215756562751218,4.103894992152946,0.6237463248426895
CORDELIUS,0.6159305312324753,0.0025151810629406753,brawlBall,7065,0.20056572085211705,0.002553921193482388,4.405460060667341,0.624502784407319
DARRYL,0.6140901771228173,0.008702867362127099,brawlBall,23990,0.17553839902478668,0.008889171830156677,3.787138990355557,0.6092543681430312
PENNY,0.613767453870882,0.005706965996727372,brawlBall,15701.499999999998,0.19262935751133345,0.0057765168831280245,4.165447749065496,0.613627481632015
COLETTE,0.6102190515848864,0.010566394184066375,brawlBall,28051,0.1378300999914537,0.010566050343830078,3.658668319461661,0.5993291171694727
LARRY & LAWRIE,0.6099328077837425,0.001362684135299126,brawlBall,3935.5000000000005,0.16722354813046938,0.0014188451074902155,4.856739238823334,0.6261734287987272
FRANK,0.6091151164318586,0.011530721566952864,brawlBall,31703.5,0.16671415816568835,0.01188375899815313,3.654910995589162,0.6022586956934709
CROW,0.6084694244323243,0.015623319451971731,brawlBall,41678.5,0.16804153446783962,0.015653575139756806,3.5451879339238688,0.601074415921546
ROSA,0.6081403691305483,0.0008760839499063108,brawlBall,2640,0.15627274933268623,0.000930319918530975,5.3496591769755115,0.6406212084445523
GROM,0.6079153426909141,0.0028217324279738395,brawlBall,7888,0.21863325031133252,0.0029004489961868395,4.4220369170984455,0.613947696139477
WILLOW,0.6063402351854541,0.0016148120269209537,brawlBall,4571,0.12074134641591715,0.001656560922635354,4.89237986920671,0.6229217770509675
BULL,0.6062068000621704,0.0022752807759731483,brawlBall,6323.5,0.15753162131084708,0.0023559375563672056,4.167014199185781,0.6059313913376773
LEON,0.6056542443717846,0.010765039596200262,brawlBall,28894.000000000004,0.2264750125355173,0.010805346416055954,3.571910258072883,0.6036687280628448
BO,0.6035847433482638,0.007160453387459304,brawlBall,19257.5,0.1892583918813427,0.007229676144371384,3.76936802491565,0.6013270882123342
SPIKE,0.6011707326441533,0.015699579832390693,brawlBall,41979.5,0.1769392213132308,0.015811826598842033,3.6474969093048544,0.5993560914321612
STU,0.6003403583956178,0.045107123200129155,brawlBall,118828.99999999999,0.19380928908426973,0.04488246160708985,2.9289269854383972,0.5976892975343788
