Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
ASH,0.7686171543288783,0.0002260845135603043,bounty,278,0.18803418803418803,0.00024075708844427707,5.198473282442748,0.594017094017094
ROSA,0.7484994183428437,0.00024002114659918677,bounty,297,0.08299595141700405,0.0002541324822467369,4.611801242236025,0.6012145748987854
CHUCK,0.7394743445960189,0.0004882761901797702,bounty,558,0.10114702815432743,0.0004933462560214994,4.3713163064833,0.5818561001042752
MOE,0.7383770449169526,0.0006227448766604011,bounty,738,0.1291866028708134,0.0006451055318571014,4.670921985815603,0.5885167464114832
BUSTER,0.7292974674360118,0.0005959206700498957,bounty,700,0.1251063829787234,0.0006044649122265504,4.401766004415011,0.5957446808510638
DOUG,0.7281275506404195,0.00024868808556997537,bounty,268,0.09126984126984126,0.0002592768644784522,3.614785992217899,0.5317460317460317
SAM,0.7241493737694482,0.0005535923403825677,bounty,632,0.1264786169244768,0.0005653676072655139,3.7925696594427243,0.5750682438580528
CHARLIE,0.7111350938446478,0.0007352565045239745,bounty,818,0.07320441988950276,0.0007449065471523787,5.063943161634103,0.5649171270718232
RUFFS,0.708036907764712,0.0006342540348855089,bounty,717,0.1232,0.0006430477789644153,4.333333333333333,0.5736
CLANCY,0.6960092072243405,0.00019020302027026247,bounty,222,0.12531328320802004,0.00020526085104544136,4.684210526315789,0.556390977443609
FINX,0.6872088032295528,0.0019117644986895205,bounty,2518,0.23858921161825727,0.001983673788549428,6.185130111524163,0.6530082987551867
OTIS,0.6865524592152615,0.0010891981902479957,bounty,1200,0.1114723641430562,0.001107585494488309,4.362530413625304,0.557361820715281
JACKY,0.684139138649178,0.00032619040330523997,bounty,379,0.0953058321479374,0.00036165007088958715,3.396039603960396,0.5391180654338549
DRACO,0.679826071488036,0.00019791238751802942,bounty,219,0.12106537530266344,0.0002124629861698428,3.797356828193833,0.5302663438256658
MEG,0.6775263999848724,0.0006522100294879028,bounty,716,0.08420268256333831,0.0006903760954961963,3.6787878787878787,0.533532041728763
PAM,0.6746464217559175,0.0009296435642973763,bounty,1102,0.09730301427815971,0.0009728026800173674,4.290793650793651,0.582760444209413
OLLIE,0.6735113942661113,0.0038793731164617575,bounty,4525,0.0640218878248974,0.0037605434113839003,5.739673390970221,0.6190150478796169
BONNIE,0.6720088194477776,0.002507185035737583,bounty,2995,0.17446808510638298,0.0025387526313515115,4.586239695624604,0.6068895643363729
LOLA,0.663059703843316,0.0018201486716098471,bounty,2048,0.13279056709713644,0.0018324289509369979,4.081867798665858,0.574957888826502
BULL,0.6608707468269905,0.00044333741021019207,bounty,480,0.06638115631691649,0.0004804853004422111,3.193018480492813,0.5139186295503212
GROM,0.6543661820067395,0.029846693316070694,bounty,37223,0.2965042280533519,0.02950560429000323,4.2286244468763385,0.648993113067736
CORDELIUS,0.6543302847473843,0.0006147366494481242,bounty,626,0.10970797158642462,0.0006517932287583313,3.2878411910669976,0.4940805051302289
MR. P,0.6509418432285713,0.021710212484738395,bounty,26348,0.07246023820542173,0.0211212901287536,5.0565861470705995,0.6417419684828409
HANK,0.6483061672883348,0.0014560762430072334,bounty,1589,0.12113932738503774,0.001499072982321845,3.458298926507019,0.5452985586822238
GRIFF,0.6478844604743206,0.001044338699656757,bounty,1271,0.16916780354706684,0.0011312496527541994,3.9865067466266866,0.5779899954524784
WILLOW,0.6478687514063632,0.0006649573218516946,bounty,723,0.10115606936416185,0.0007119825008694006,3.5006451612903224,0.5223988439306358
SHADE,0.6453691216852777,0.0005767082437599701,bounty,655,0.09098101265822785,0.0006502499140888168,4.33134328358209,0.5181962025316456
KENJI,0.6452037626314392,0.0015296140918255293,bounty,1685.0000000000002,0.1089076723016905,0.0015824119744756331,3.215464813205908,0.5477893368010404
BIBI,0.6397560477651235,0.0013401978661557112,bounty,1530,0.1090520313613685,0.0014435136542193193,3.2795242141036534,0.5452601568068425
POCO,0.639607859512713,0.001590465640109525,bounty,1886.0000000000002,0.08843125378558449,0.0016986750129123994,3.810379241516966,0.5711689884918232
MICO,0.636747186962901,0.002738466053170591,bounty,3061,0.1046273926779409,0.002768192078886015,4.124913254684247,0.5688533729790002
TARA,0.631285761582177,0.002281783630667587,bounty,2973,0.1001832620647526,0.002526406113995395,3.7962674961119753,0.6053756872327428
MEEPLE,0.6279784114387247,0.0047145586344251415,bounty,5408,0.18361581920903955,0.004734889406070783,5.309793933780968,0.5875706214689266
GALE,0.6241355646673524,0.0027892478504054864,bounty,3620,0.10053440213760854,0.003080456080351135,3.585687382297552,0.6045424181696727
BERRY,0.6237456628309991,0.0009268562376895998,bounty,944,0.06551362683438156,0.0009815481298112835,3.3191011235955057,0.4947589098532495
SANDY,0.6181602867407003,0.0004816524774969578,bounty,559,0.1287223823246878,0.000535530190321565,4.13189448441247,0.5369836695485111
NITA,0.6167600479553119,0.0006575285170195901,bounty,759.0000000000001,0.08991077556623199,0.0007495364911609225,3.651539708265802,0.5209334248455731
LOU,0.6155905055423361,0.0017537895611227394,bounty,1792,0.053130384836300976,0.0017912738930832752,4.026755852842809,0.514646754738656
LARRY & LAWRIE,0.6138874004085645,0.0019538854561365762,bounty,2169,0.09556057185854025,0.002051065195784899,4.379389312977099,0.5440180586907449
SPROUT,0.6095569432755076,0.01936728454500525,bounty,21720,0.15133873403817108,0.018733267896791347,4.553562629348576,0.5964575037759166
NANI,0.6095282479053279,0.05745130258329003,bounty,65925,0.207514764095923,0.05601151930069326,3.952711659270359,0.6054886617254016
LILY,0.6074532841074078,0.0036791003451423945,bounty,4039,0.16705591427393873,0.003744595826465583,3.481639928698752,0.5548839126253606
SHELLY,0.6070376466709796,0.0011098561228968773,bounty,1265.9999999999998,0.08432743726861373,0.001250599320529995,3.1058700209643604,0.520773344302756
TICK,0.6053852350615883,0.024443713802988352,bounty,28289,0.126778101388713,0.02437511189031354,3.8198210791165783,0.5970410704486936
JANET,0.6046224125644992,0.003847876935712178,bounty,4009,0.11506105834464044,0.0037914097047741925,4.463182897862233,0.5439620081411126
8-BIT,0.6027230791168953,0.005057192434961378,bounty,5848,0.11297112090063632,0.005254986449697202,4.148666967916855,0.572491434165443
AMBER,0.6018309365467971,0.0012140545644007148,bounty,1325,0.16022544283413848,0.001277864546358086,4.12426614481409,0.53341384863124
BARLEY,0.6010080035539147,0.0017067160671209473,bounty,1879,0.10540992749581707,0.0018447754682931145,3.557894736842105,0.5239821528165086
EVE,0.5997549431101524,0.008807433650023039,bounty,9502,0.08948317307692308,0.008560252033574297,4.725353925353925,0.5710336538461539
EL PRIMO,0.5992966386945167,0.0012361824001403496,bounty,1331,0.08141263940520446,0.0013838388203314216,2.718897108271688,0.49479553903345724
DARRYL,0.597814087023051,0.002856649921176904,bounty,3181,0.08326380777573836,0.003083028271466993,3.3013879709187046,0.5307859169030535
BO,0.5958083064914583,0.0074478891755525205,bounty,8621,0.12947052947052948,0.0077242899209205565,3.417831004657352,0.5741591741591742
PEARL,0.5947125224255302,0.0053834743260108555,bounty,5601,0.12249877989263055,0.005270419596392348,4.920219244823386,0.546705710102489
SQUEAK,0.5941911743294446,0.013925593517744448,bounty,15681.999999999998,0.1404864407403319,0.01398088759113273,4.1959469754685355,0.5770320491592155
CARL,0.5887542698853026,0.014496220876104082,bounty,15737,0.10914432877507345,0.014182547374615972,3.834862385321101,0.5708223004098807
ANGELO,0.5882601132768785,0.03929545605320029,bounty,43211,0.12678557017189895,0.03824642413991074,3.919298674323416,0.5812148602480295
R-T,0.5859932388608265,0.011138828034799278,bounty,11667.999999999998,0.05663182123333653,0.010728094706019133,4.1694162436548226,0.5595089671046322
BUZZ,0.5847283546748028,0.0018212343261748015,bounty,1928.9999999999998,0.07930317212688508,0.001978529406317713,2.2697525937749403,0.5015600624024961
PENNY,0.5825124924126746,0.009761754508532809,bounty,10860,0.12132769817544584,0.009981130405974068,4.312658227848101,0.5597361096794145
FRANK,0.581127526178566,0.0016779523203326017,bounty,1908,0.09807031456515992,0.0019461197982579065,2.4449371766444936,0.5043616177636796
SPIKE,0.5794017190052609,0.01824873098722284,bounty,21300.999999999996,0.12421877095571471,0.019178771398057893,3.1802788844621515,0.5713634290925672
