Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
RICO,0.9002269002899281,0.03663137398077157,brawlBall,4,0.25,0.04040404040404041,NaN,1
KENJI,0.9001702718042505,0.029694535718632103,brawlBall,3,0.3333333333333333,0.030303030303030304,NaN,1
CLANCY,0.9001135790005048,0.019471826700742365,brawlBall,2,0,0.020202020202020204,NaN,1
GENE,0.9001135790005048,0.019471826700742365,brawlBall,2,0,0.020202020202020204,NaN,1
JESSIE,0.9001135790005048,0.017768041864427406,brawlBall,2,0.5,0.020202020202020204,NaN,1
BIBI,0.9000568217690511,0.01083120360228794,brawlBall,1,0,0.010101010101010102,NaN,1
GALE,0.9000568217690511,0.01034440793476938,brawlBall,1,0,0.010101010101010102,NaN,1
NITA,0.9000568217690511,0.01083120360228794,brawlBall,1,0,0.010101010101010102,NaN,1
HANK,0.8997165354330708,0.044420104661068514,brawlBall,4,0,0.050505050505050504,NaN,0.8
CARL,0.8996596495651078,0.04368991115979068,brawlBall,3,0.25,0.04040404040404041,NaN,0.75
POCO,0.8996596495651078,0.04368991115979068,brawlBall,3,0,0.04040404040404041,NaN,0.75
COLETTE,0.8996596495651078,0.04332481440915176,brawlBall,3,0,0.04040404040404041,NaN,0.75
BEA,0.8996026991234155,0.03249361080686382,brawlBall,2,0,0.030303030303030304,NaN,0.6666666666666666
PIPER,0.8996026991234155,0.02665206279664111,brawlBall,2,0.3333333333333333,0.030303030303030304,NaN,0.6666666666666666
OLLIE,0.8996026991234155,0.03285870755750274,brawlBall,2,0,0.030303030303030304,NaN,0.6666666666666666
SPIKE,0.8996026991234155,0.02665206279664111,brawlBall,2,0,0.030303030303030304,NaN,0.6666666666666666
SAM,0.8996026991234155,0.03285870755750274,brawlBall,2,0,0.030303030303030304,NaN,0.6666666666666666
BUSTER,0.8996026991234155,0.03249361080686382,brawlBall,2,0,0.030303030303030304,NaN,0.6666666666666666
LUMI,0.8996026991234155,0.03285870755750274,brawlBall,2,0,0.030303030303030304,NaN,0.6666666666666666
COLT,0.8994886040785403,0.008518924181574784,brawlBall,0,1,0.010101010101010102,NaN,0
MELODIE,0.8992067489297406,0.06048436168918097,brawlBall,4,0.16666666666666666,0.06060606060606061,NaN,0.6666666666666666
GRAY,0.8992067489297406,0.06535231836436656,brawlBall,4,0.16666666666666666,0.06060606060606061,NaN,0.6666666666666666
MAX,0.8989777889954568,0.02166240720457588,brawlBall,0,0,0.020202020202020204,NaN,0
CROW,0.8989777889954568,0.02166240720457588,brawlBall,0,0.5,0.020202020202020204,NaN,0
GRIFF,0.8989777889954568,0.02166240720457588,brawlBall,0,0,0.020202020202020204,NaN,0
CHESTER,0.8980735331150843,0.060362662772301325,brawlBall,2,0.16666666666666666,0.06060606060606061,NaN,0.3333333333333333
DARRYL,0.7101300111762887,0.009127418765972983,brawlBall,1,0,0.010101010101010102,NaN,1
LEON,0.6832412883866615,0.06949008153827431,brawlBall,2,0.14285714285714285,0.0707070707070707,NaN,0.2857142857142857
BULL,0.6717832615454472,0.039187051235244005,brawlBall,1,0,0.04040404040404041,NaN,0.25
EMZ,0.6716440039305561,0.02677376171352075,brawlBall,0,0.3333333333333333,0.030303030303030304,NaN,0
FRANK,0.6127124791068782,0.0416210295728368,brawlBall,3,0.25,0.04040404040404041,NaN,0.75
EDGAR,0.5598019651923514,0.007058537179019107,brawlBall,0,0,0.010101010101010102,NaN,0
