Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7600368445461344,0.02028961869372733,brawlBall,97111.5,0.28322508118910816,0.01978071290927164,6.3379113883760905,0.7581150074943792
FINX,0.7573283047472907,0.012117517990589443,brawlBall,58841.5,0.3123100303951368,0.011989864422991249,7.247047270217905,0.7578370511565607
LUMI,0.7572499383464341,0.025059296585976863,brawlBall,119534.5,0.3407086639061858,0.024427086494138255,6.810980203678686,0.7556626734519708
JUJU,0.7166865339143689,0.008675619135631536,brawlBall,39167,0.27421052631578946,0.008508597312178892,5.47144001938165,0.7108348457350272
JACKY,0.7105237532357579,0.012419475805424815,brawlBall,56790,0.3131996616747102,0.012414831025588642,4.84950845108039,0.7063784267874024
MEEPLE,0.6970875617445766,0.008376779246174335,brawlBall,37615.5,0.217864640422093,0.008312019374276827,5.880620572836464,0.698822152451372
SHADE,0.6935392957862785,0.011744394671931845,brawlBall,52234.5,0.3120079522862823,0.011651064740542602,5.400586382886307,0.6923061630218688
CHARLIE,0.6934506225951562,0.0035484898429009068,brawlBall,15685,0.16922600345178562,0.00348945142401645,5.261240415589129,0.6941186883214586
DOUG,0.6925711475137465,0.003040714207896772,brawlBall,13909,0.31654097536450476,0.003071433766592344,5.613415073927155,0.6992961287078934
ASH,0.6919689362663787,0.008649986314502024,brawlBall,38317.5,0.2926072285678197,0.008557857612407295,5.066581825559306,0.6914144968332161
R-T,0.6912169158423338,0.0017779178558328908,brawlBall,7932,0.19374133148404993,0.0017814007004227893,5.517121455323703,0.6875866851595007
LOU,0.6877588418927898,0.008028610302713523,brawlBall,34988.5,0.1275478450287848,0.007939710333992557,4.8062797869358,0.680498288470515
BUSTER,0.6858593910691146,0.007962528571648668,brawlBall,34846.5,0.2713785368541183,0.007847984257705184,4.750065512306235,0.6856577859981897
BEA,0.6836547203346102,0.012461963710548815,brawlBall,54063,0.232595810939776,0.012297471062662036,3.9948670991372084,0.6788763875634135
DRACO,0.683561857795811,0.006259618308329812,brawlBall,27380,0.26546179733266856,0.006194598569474704,5.155620773255072,0.6825377041007105
ROSA,0.6818706762831036,0.0027260396463870307,brawlBall,11800,0.2196104768300873,0.0027591944968060333,4.9079560490134035,0.6603984777255428
HANK,0.6801322063893082,0.016914684829633493,brawlBall,73915,0.28533767826739653,0.016869876986684122,4.687167206648824,0.676592277978141
OTIS,0.6768119490888012,0.004059661364959155,brawlBall,17298,0.20620748299319727,0.003995180211627809,4.73500298151461,0.6685992578849722
MAISIE,0.6767904111180244,0.01483965520134186,brawlBall,63803.00000000001,0.282626801471751,0.014647295478259607,4.184921149276302,0.6726513657976027
SANDY,0.6761095694416958,0.009785768810222077,brawlBall,42699.5,0.19747805975350885,0.009747980289085384,4.837993728370189,0.6764170072553306
MR. P,0.6739209368280329,0.004890315088303807,brawlBall,21255,0.17504174411644247,0.004901477083228134,4.950115293429898,0.6696386377240793
SAM,0.6735654599372664,0.010049697078919948,brawlBall,43011,0.2724098871941285,0.009951970435172286,4.500237559785879,0.6673856036743371
EVE,0.6734086619870492,0.0010499051387204774,brawlBall,4612,0.14967177242888402,0.0010585559813972105,5.419519519519519,0.6727935813274982
NITA,0.6733670645565998,0.014901818038514973,brawlBall,65075.5,0.23308441759923879,0.014930349178318118,4.5326644915137155,0.6730602155430983
TARA,0.6693385851452404,0.012231222603002289,brawlBall,52792.49999999999,0.19577243199350386,0.012170845839504382,4.508893139206578,0.6698195797807551
RUFFS,0.667406990032452,0.003743536648126897,brawlBall,15531.5,0.16502317741255795,0.0036644104213794026,4.5250151738489555,0.6545090602612726
WILLOW,0.6672350650890109,0.007257305054573066,brawlBall,30899.5,0.17884266850781047,0.007157104686476719,4.739235350114011,0.666684646586692
LOLA,0.6663385265093875,0.002107827277357612,brawlBall,9189.5,0.19301684088269455,0.0021273037490485737,5.074024125271596,0.6670659117305459
LARRY & LAWRIE,0.6640291830546814,0.007797889310814598,brawlBall,33225,0.22147490270432094,0.007737264397944163,4.5142183495643255,0.6631074743039617
AMBER,0.6633852414979786,0.004166056682511854,brawlBall,17869.5,0.2622707358728744,0.004159175317717355,4.945355610055181,0.6634551124972154
JANET,0.6631550242324076,0.004675350134562253,brawlBall,19584,0.22967424956252525,0.004588774550430271,4.727247502774695,0.6590389016018307
CARL,0.66107301019852,0.016757810208773448,brawlBall,70376.5,0.28699908286072584,0.016500501945473017,3.9793615427462883,0.6586229808898123
MOE,0.6605490107373273,0.007171855612258823,brawlBall,30235,0.22635858872906922,0.00706414324215854,4.436285630854242,0.6609321033532987
GRIFF,0.6573995753085069,0.008508041161552468,brawlBall,35808.5,0.24142310274134146,0.008511531311252056,4.234746174853167,0.6496580126635099
PEARL,0.6551242466147432,0.002952441260137429,brawlBall,12720.5,0.22229095783070418,0.0029954586326977517,5.101703940362087,0.6557634807712135
MEG,0.6544978600326924,0.0045918573961510264,brawlBall,19548.5,0.23597426100945104,0.004607613912900068,4.616697177990398,0.655154500971915
BONNIE,0.6513110318128184,0.001442974036322185,brawlBall,6284.5,0.2291796469366563,0.001487074267083171,5.1313336904124265,0.6525960539979232
BARLEY,0.6483142809703639,0.012890723253080586,brawlBall,53349.5,0.2078077136448057,0.01280428079730035,4.264071737294451,0.6434007091343255
PAM,0.6449239125524673,0.0025684701213371294,brawlBall,10974.5,0.15386895938333828,0.002604310229943684,5.074813729082692,0.6507263563593241
JESSIE,0.6435621157625785,0.007445768556947787,brawlBall,31372,0.2025313859030114,0.007527715095718632,4.349723417332513,0.6435546073685074
BULL,0.6408219416919165,0.007799063333156407,brawlBall,32108.500000000004,0.21896452806299088,0.007805518481646214,3.888929388656015,0.6352206856984589
CORDELIUS,0.6398994336569047,0.009033862361150028,brawlBall,36750,0.19941896659057895,0.008929857810683865,3.9796425465452674,0.6355052915542644
GUS,0.6384933671270833,0.0033626304025429106,brawlBall,13728,0.14180279915395347,0.0034313891265685507,4.083263753594953,0.6177939786688268
CHESTER,0.6378474013512682,0.039710164605887145,brawlBall,162111,0.2862305618665317,0.03935372956836396,3.821410566138185,0.636111078411753
CLANCY,0.6366993692134888,0.00642004974142478,brawlBall,26318.499999999996,0.23324487334137514,0.006400750609615518,4.26649985135269,0.6349457177322074
GALE,0.6362936799165517,0.007027180217321228,brawlBall,28781.5,0.14588138027065836,0.007097498178990312,4.090465042992842,0.6262020799791131
GROM,0.6341667376853588,0.006127864473933069,brawlBall,24875,0.25684400180171163,0.006170972155885533,4.288511143210895,0.6224663430258746
BIBI,0.6313142749694588,0.02968114641270113,brawlBall,120777,0.27456146288380134,0.029657943578580138,3.502578223842989,0.6288536335188666
BELLE,0.6296234853101679,0.0017933794740571923,brawlBall,7362,0.13389015439129334,0.0018303521586434917,4.427609721979367,0.6211085801063022
SQUEAK,0.6274395085061645,0.008762313919401812,brawlBall,35393,0.20584811823216112,0.008755979760347867,4.277877009441184,0.6241931501534338
EL PRIMO,0.6269776785428676,0.028903844872880308,brawlBall,118196,0.2124596503647977,0.02922927087189033,3.8046779561631636,0.6244406523565244
KENJI,0.6259105703255771,0.014563827612740318,brawlBall,58888,0.25119932073869666,0.014549546982822053,3.8135880182331237,0.6250053067289323
MELODIE,0.6238991065541349,0.010504983674551863,brawlBall,42038.5,0.21854868295546262,0.010523019307412533,3.493845507220271,0.6168977914740627
BERRY,0.6236515913787885,0.007229252869645712,brawlBall,29225.5,0.15132572133273797,0.007262574232106814,4.188134184744577,0.6214092832387149
FRANK,0.6227514014844401,0.024107391224978476,brawlBall,97927,0.2009276602207148,0.024403460080549083,3.62564202841872,0.619665637339273
CHUCK,0.6223007132930046,0.0006931998458958524,brawlBall,2953.5,0.14170832427733102,0.000710491038717515,5.179314976494291,0.641925668332971
PENNY,0.6220170169532494,0.005484310046316736,brawlBall,22423,0.1917618744640239,0.005582164868202445,4.165910323372435,0.6202937840604166
EMZ,0.6203963512799721,0.007905553742861402,brawlBall,32178,0.19393008067614292,0.008039157460472469,4.14855180948959,0.6180945063388398
ANGELO,0.6163023598946844,0.0006357586998232886,brawlBall,2611.4999999999995,0.10918868365676876,0.0006604586334698569,4.630166787527194,0.610591536123451
POCO,0.6158839864092939,0.011962958497898761,brawlBall,48095.5,0.16742908254536162,0.01208498776136334,3.854950579750201,0.6145604395604396
