Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
JANET,0.9002269002899281,0.03372093023255814,brawlBall,4,0,0.032520325203252036,NaN,1
JESSIE,0.9001135790005048,0.014147286821705426,brawlBall,2,0,0.016260162601626018,NaN,1
GUS,0.9001135790005048,0.017248062015503877,brawlBall,2,0,0.016260162601626018,NaN,1
LARRY & LAWRIE,0.9001135790005048,0.016472868217054265,brawlBall,2,0,0.016260162601626018,NaN,1
SAM,0.9001135790005048,0.017248062015503877,brawlBall,2,0,0.016260162601626018,NaN,1
MEEPLE,0.9001135790005048,0.01744186046511628,brawlBall,2,0,0.016260162601626018,NaN,1
NITA,0.9001135790005048,0.016472868217054265,brawlBall,2,0,0.016260162601626018,NaN,1
OLLIE,0.9001135790005048,0.017248062015503877,brawlBall,2,0,0.016260162601626018,NaN,1
BO,0.9001135790005048,0.016472868217054265,brawlBall,2,0,0.016260162601626018,NaN,1
COLETTE,0.9000568217690511,0.008624031007751939,brawlBall,1,0,0.008130081300813009,NaN,1
CARL,0.9000568217690511,0.008624031007751939,brawlBall,1,0,0.008130081300813009,NaN,1
GALE,0.8998301138866167,0.056976744186046514,brawlBall,6,0,0.056910569105691054,NaN,0.8571428571428571
BELLE,0.8998296314992428,0.01744186046511628,brawlBall,1.5,0,0.016260162601626018,NaN,0.75
MAISIE,0.8997733568370687,0.04806201550387597,brawlBall,5,0.16666666666666666,0.04878048780487805,NaN,0.8333333333333334
CHESTER,0.8996026991234155,0.02422480620155039,brawlBall,2,0,0.024390243902439025,NaN,0.6666666666666666
SURGE,0.8996026991234155,0.025290697674418605,brawlBall,2,0,0.024390243902439025,NaN,0.6666666666666666
BUSTER,0.8996026991234155,0.02422480620155039,brawlBall,2,0.3333333333333333,0.024390243902439025,NaN,0.6666666666666666
BEA,0.8996026991234155,0.025290697674418605,brawlBall,2,0.3333333333333333,0.024390243902439025,NaN,0.6666666666666666
LOU,0.8996026991234155,0.022965116279069768,brawlBall,2,0.3333333333333333,0.024390243902439025,NaN,0.6666666666666666
CLANCY,0.8994886040785403,0.006782945736434108,brawlBall,0,0,0.008130081300813009,NaN,0
FANG,0.8994886040785403,0.006782945736434108,brawlBall,0,0,0.008130081300813009,NaN,0
JACKY,0.8994330708661418,0.041182170542635656,brawlBall,3.5,0,0.04065040650406504,NaN,0.7
RICO,0.8993208401458936,0.06201550387596899,brawlBall,6,0.25,0.06504065040650407,NaN,0.75
PEARL,0.899318912782998,0.024709302325581394,brawlBall,1.5,0,0.024390243902439025,NaN,0.5
SPIKE,0.8990923988402874,0.031395348837209305,brawlBall,2,0.25,0.032520325203252036,NaN,0.5
FINX,0.8990351264425805,0.025872093023255813,brawlBall,1,0,0.024390243902439025,NaN,0.3333333333333333
TARA,0.8990351264425805,0.025872093023255813,brawlBall,1,0,0.024390243902439025,NaN,0.3333333333333333
GRAY,0.8989234449760766,0.05193798449612403,brawlBall,3.5,0,0.04878048780487805,NaN,0.5833333333333334
MAX,0.8988087734778772,0.031492248062015504,brawlBall,1.5,0,0.032520325203252036,NaN,0.375
FRANK,0.8980157480314961,0.04302325581395349,brawlBall,1,0,0.04065040650406504,NaN,0.2
STU,0.8979636729306769,0.0748062015503876,brawlBall,4.5,0,0.07317073170731707,NaN,0.5
HANK,0.8977386934673367,0.07945736434108527,brawlBall,5,0.1,0.08130081300813008,NaN,0.5
EDGAR,0.7101300111762887,0.007945736434108527,brawlBall,1,0,0.008130081300813009,NaN,1
EL PRIMO,0.7096816967752936,0.008624031007751939,brawlBall,0,1,0.008130081300813009,NaN,0
CROW,0.7096816967752936,0.008624031007751939,brawlBall,0,0,0.008130081300813009,NaN,0
LEON,0.6719290937264297,0.014147286821705426,brawlBall,0,0,0.016260162601626018,NaN,0
EMZ,0.5899329621633906,0.013565891472868217,brawlBall,1,0.5,0.016260162601626018,NaN,0.5
MORTIS,0.5899329621633906,0.013565891472868217,brawlBall,1,0.5,0.016260162601626018,NaN,0.5
