Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7577522992088875,0.013041476518654954,brawlBall,56787.5,0.326872034102791,0.012820545870857207,7.215637916781483,0.7612469503203839
OLLIE,0.7570728470593152,0.018468667315688043,brawlBall,78919.5,0.29036576619650967,0.017972446773973732,6.221329963056582,0.754668897920153
LUMI,0.7526765713405951,0.025218452523294143,brawlBall,107057.5,0.3426286996773741,0.024504054133714318,6.6427831864133795,0.7508591667835601
BEA,0.7056475905228877,0.017921722407619054,brawlBall,71558,0.2678031641345739,0.01751134158923004,4.041776240138388,0.7022926235622031
MEEPLE,0.704259475119173,0.009218378542258801,brawlBall,37133,0.23116357376615024,0.00908512984759812,5.648586143231951,0.7024383784499555
LOLA,0.7035754714708928,0.002877577795040563,brawlBall,11400,0.22397268479693302,0.0028690607357850107,4.9013392308637425,0.6828800766742542
CHARLIE,0.6999139450982894,0.004054325392607108,brawlBall,16180.500000000002,0.19915144168326263,0.003969663644133352,5.220703988679579,0.7005151961208763
EVE,0.6946805364337166,0.0012115067017924972,brawlBall,4659,0.16889965792474346,0.0012057823243241663,5.05823676103858,0.6640535917901939
BUSTER,0.6917154103714475,0.008531952972417553,brawlBall,33672.5,0.2864146376484585,0.008378434163786693,4.746608415727754,0.6907037804352731
LOU,0.6888709722819815,0.00936300877642826,brawlBall,36486,0.12716806220095694,0.00919529325550744,4.591614817651,0.6819303229665071
OTIS,0.6858411104983371,0.0047926094184688765,brawlBall,18579.5,0.22297644382475967,0.0046839212467404264,4.732461578927592,0.6817164452924341
JACKY,0.6845059302407186,0.010487751194898465,brawlBall,41766,0.28252395647230794,0.010581530460182287,4.527718727164021,0.6783498457040766
DRACO,0.6822301275970776,0.005973342992928543,brawlBall,23641.500000000004,0.28241707260496407,0.00592716944146121,5.247476247030879,0.685499304105776
TARA,0.681675807510021,0.01436791833432726,brawlBall,56298,0.20572317112860258,0.014257826027402675,4.532945784171244,0.6786080206362025
ASH,0.680454460259538,0.007732051368172711,brawlBall,30482,0.29627061008076244,0.007682050187423876,4.984722190504464,0.681939193270543
AMBER,0.677555060904428,0.005356908405894619,brawlBall,20805,0.266380794594419,0.005290421506509523,4.841851913755641,0.6758600526264497
SANDY,0.6757349033993953,0.010198653752199348,brawlBall,40130.5,0.21273758482157928,0.010181436211176207,4.8628342292203195,0.6773994800985788
MEG,0.67558609283592,0.005612096515515244,brawlBall,21701,0.26102374344742524,0.005573477875973876,4.623899131977444,0.6691643539932162
JANET,0.6753030294279354,0.005315002665183916,brawlBall,20252,0.23648469590565788,0.005188163740977471,4.763187277956352,0.6708625944083741
