Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
OLLIE,0.7452249879670123,0.018910093489849303,brawlBall,134495,0.2506455947489784,0.018275135473646672,5.162179183314146,0.7437196211036214
FINX,0.7252198301737693,0.007618973563079293,brawlBall,54124.5,0.2784001071954978,0.0075418370856069755,6.682860075265139,0.7252378400107196
JUJU,0.7174609330353279,0.017347533230709176,brawlBall,119079.49999999999,0.23875592623527078,0.016817902581050495,3.4904424808103585,0.7155316937165381
LUMI,0.7110547248477027,0.023950883143547232,brawlBall,165419.5,0.3127748201469711,0.02355694784288604,5.7003303269866015,0.7096290544685487
JACKY,0.7055252156431263,0.019486798916648007,brawlBall,135976,0.28745960391117004,0.019512772868627626,3.648833654095519,0.704217765992708
CHARLIE,0.673356890406585,0.0023833890459184185,brawlBall,15361.5,0.1543987191137652,0.002335311713939322,4.8073362532351185,0.6647410099961054
BEA,0.6725676126723347,0.009605090100785271,brawlBall,62898,0.20522982765582165,0.009510819448945664,2.4828175058937316,0.6683171472894575
CARL,0.6725458964833076,0.021464494662998792,brawlBall,138977,0.2670938727453459,0.02094272054062734,2.9642107774682285,0.6706154276725311
SHADE,0.6716849886117042,0.014058986894579998,brawlBall,91862.5,0.2859452609499949,0.013875646293398786,4.729601789476422,0.6690348564520123
DOUG,0.6693511789586034,0.0035298490988039063,brawlBall,23552,0.28263707571801566,0.003560822344210738,4.6671338472319555,0.6684073107049608
R-T,0.6691805192479872,0.0013360008152551225,brawlBall,8671,0.1816872583946032,0.0013332367234411473,4.96304477104749,0.6572424770711741
HANK,0.6655125798627727,0.021869208772736782,brawlBall,142442.5,0.26426714619806757,0.021692154599676803,3.58760418461246,0.6635911746345281
ASH,0.6634013081069814,0.008021558055527683,brawlBall,51596,0.26298813500748763,0.007895433333262593,4.25832823361421,0.6603949877766259
MEEPLE,0.6629205965435804,0.0074668421934378434,brawlBall,47644.5,0.1841410665671683,0.007312742288969282,5.361421453914094,0.6584096845072758
NITA,0.6612033713959927,0.019482584300324592,brawlBall,127031.00000000001,0.2035194666278961,0.019462042569592723,3.5796291373599924,0.6596066173034385
BUSTER,0.6606046445419715,0.007093205301803074,brawlBall,45186.5,0.2213855859522633,0.0069520720952331,3.8840728144082863,0.6568378056225833
SAM,0.660214164206333,0.007499524462850496,brawlBall,48286.5,0.24876860696111247,0.007427037046356681,3.7578144614612103,0.6570128173728468
DRACO,0.6596101942839284,0.005045230978996681,brawlBall,32375,0.2404816537047942,0.004976723180421905,4.646965035593182,0.6574004507888805
EVE,0.6571286744005413,0.0006952030728703701,brawlBall,4420,0.12521588946459414,0.0007021396766822627,4.916019176723426,0.6361542890040299
SANDY,0.6561229457007022,0.008556060641848395,brawlBall,54913.5,0.1661104622059069,0.008478831772163962,4.296865909870668,0.6544957211985412
LARRY & LAWRIE,0.6555369886207166,0.013251378376400736,brawlBall,84112,0.19412093109811887,0.01303283614608588,3.575859405981925,0.6522029061923298
MAISIE,0.6531758816331045,0.013401460923972519,brawlBall,84636,0.24538726955559484,0.01315036470739582,3.5461515065705984,0.6504007561727209
WILLOW,0.6513418499349871,0.007189304583470982,brawlBall,45239,0.16489399773823668,0.0070594950192850925,4.265726186989489,0.6475943713586326
MOE,0.6509174635482341,0.005299186031933293,brawlBall,32888.5,0.20892982867871393,0.005167214442734234,4.0150651078794795,0.6432077759524368
OTIS,0.6462943023094951,0.002717464015458108,brawlBall,16773.5,0.18923129536041342,0.00265950055717431,4.428505257306962,0.6373636812706616
RUFFS,0.6456543149180132,0.0027261416632587666,brawlBall,16582.5,0.1535244468101285,0.002657984711585618,4.135056746532157,0.6304653638506578
LOU,0.6447774451426127,0.006779325519550436,brawlBall,41971,0.10282717738258094,0.006648498752004327,4.098311178180689,0.6379540963672291
TARA,0.6436937063318502,0.01272192006478127,brawlBall,80637,0.16447216447216448,0.012686718070001143,3.5894648034602405,0.6423160561091595
BIBI,0.6407253656438823,0.03844343407087564,brawlBall,244253.00000000003,0.2752346664921123,0.03859595509741986,2.7604738660082218,0.639531321594554
BARLEY,0.6401903546815104,0.021509935341768163,brawlBall,133451,0.19765835281518773,0.021137860396078324,3.5961884540193427,0.638005631809685
CHESTER,0.6344990612782171,0.031160977422416122,brawlBall,192405.5,0.240002500197384,0.030718711911221573,3.1275681518166434,0.6329627996947127
MR. P,0.6336970744175011,0.0057304516215594,brawlBall,35212,0.12799757519567814,0.005667948768865582,3.698335328658571,0.627810366038476
MEG,0.6330892078213561,0.0032275531804719366,brawlBall,20284.5,0.19596854099578895,0.003263716608827052,3.8882722192451964,0.6280808768887788
ROSA,0.6330462375402045,0.0024917752305103,brawlBall,15766,0.18624047248493555,0.002532371640469318,4.401498681715158,0.6291551937427671
AMBER,0.6326852368172153,0.0027008732596991505,brawlBall,16848,0.22539245591845844,0.0027165974076817194,4.437435552566689,0.6267390819135481
LOLA,0.6320836224316776,0.0012238534322904988,brawlBall,7721.999999999999,0.16050771208226222,0.001257949725869431,4.4071282337614,0.6203406169665809
CLANCY,0.6315912617575746,0.004611535503278532,brawlBall,28493.5,0.2244474833473025,0.004581693820008697,4.01983324288322,0.6284683929595483
CHUCK,0.6311100944669,0.0005418030976860793,brawlBall,3284.5,0.11896869244935543,0.0005487361031066043,4.667850428243159,0.6048802946593002
BONNIE,0.6285952161722358,0.0008915463103989144,brawlBall,5588.5,0.18754795571632138,0.0009219372870426429,4.567734751948534,0.6125726186561438
GROM,0.6256586533929642,0.007425283302921711,brawlBall,46014.99999999999,0.2672902762924558,0.007465135298819146,3.7792638141600476,0.6229102083361535
PEARL,0.6256198270516925,0.002171367918026289,brawlBall,13586,0.1881142857142857,0.002210608150176237,4.637834821428571,0.6210742857142857
FRANK,0.6255512514487418,0.027597744221095063,brawlBall,174670.99999999997,0.18878638852281615,0.02829568326588326,2.739589304380079,0.6238272279543855
BULL,0.6214982019537905,0.007422701473580242,brawlBall,45652,0.19485139942913574,0.00747039023019328,3.4506257569640693,0.6175615167133368
EL PRIMO,0.6204464596052199,0.02581131126060743,brawlBall,160065,0.1948201160541586,0.026123072311796905,3.2975132417631743,0.6192069632495164
PAM,0.6178685145064909,0.0022785831748785316,brawlBall,13949,0.1335233501425126,0.0023045905766751586,4.386881761978362,0.6116641087480815
CORDELIUS,0.6171123544126554,0.008579020955095272,brawlBall,51511.5,0.17542332458860005,0.008474587404515623,3.6324453531374967,0.6142559026949678
JANET,0.6164666798897295,0.004434358821356389,brawlBall,25830.5,0.17934181741196395,0.004296007454726493,4.174024923721649,0.6076192044412034
KENJI,0.615993753013788,0.015131275729667389,brawlBall,91445.5,0.23219183134291327,0.015070637899151198,3.290578850480671,0.6131890753766822
MELODIE,0.6140015906708733,0.008419223686750545,brawlBall,50227,0.201689622618673,0.008349479615262221,3.157373932556255,0.6079131466195444
GRIFF,0.6138338613494786,0.007683648327788146,brawlBall,46552.5,0.2101674468615187,0.007706862142029275,3.4329837459905574,0.6104205184689824
GALE,0.6115658808084127,0.006913145315838217,brawlBall,42502,0.12109755398980351,0.007056564384480287,3.3575214566099665,0.6086670103683336
JESSIE,0.6113553524514106,0.005564553711160265,brawlBall,34175,0.17195809544136742,0.005681692435536393,3.4637180210684724,0.6078473222702453
BELLE,0.6045694915917691,0.0008994642419524335,brawlBall,5290,0.11066067711186589,0.0009223415125329608,4.033359193173002,0.579598992001753
STU,0.6043082713289611,0.03088587934573174,brawlBall,181853.5,0.1606089022462714,0.03049770162439024,2.32598981459152,0.6025849186020696
BERRY,0.6030717667141057,0.008823937796488535,brawlBall,52157,0.135772245592258,0.008792510752650683,3.5183644377209187,0.5994644047536951
MAX,0.5968558954602605,0.010934008672358728,brawlBall,64295.50000000001,0.12916026036439968,0.010976440020465937,3.092658866712549,0.5919469328005745
ANGELO,0.5964692903868284,0.0004042426033052415,brawlBall,2355.5,0.08157894736842106,0.0004224156373822478,4.274344023323615,0.5635167464114833
RICO,0.5961133628462547,0.0649491923058027,brawlBall,381139,0.242688240898371,0.06470336367146695,2.0840502241153707,0.5952785543598794
PENNY,0.5939812632504768,0.004159759986777272,brawlBall,24576,0.16409312553781433,0.00422779440323534,3.6913588016867016,0.5874366574242279
GUS,0.5931587002765686,0.001894633436663546,brawlBall,11141.5,0.11762878591768056,0.0019519038363727554,3.783463574489539,0.5768314781258089
POCO,0.5925212036867812,0.008595756418710828,brawlBall,50430,0.13444379732090855,0.008675689585948798,3.3025025611005416,0.5874199184624345
BUZZ,0.5923190147391875,0.01773287939974033,brawlBall,103713.50000000001,0.1741803045639095,0.017771571569083097,2.663284286407029,0.5897570767323637
SURGE,0.5915888797542646,0.03210552419119285,brawlBall,187065.5,0.1958818500443236,0.03203355637485325,2.3408523061008,0.5901361885503191
DARRYL,0.5913892775723865,0.010024627118634114,brawlBall,60034.5,0.14375704139113396,0.010315329231050946,3.030714313229497,0.5881410727406319
LILY,0.5896394192656866,0.0031538064390531947,brawlBall,18356,0.21177105488714643,0.003183376792626361,3.362362140828446,0.5827116599473032
SQUEAK,0.5895042043527392,0.007740976756977043,brawlBall,44738,0.16515597410241317,0.0077262649655645355,3.580790698503843,0.5851546661434831
SPIKE,0.588060681345346,0.01430404603203225,brawlBall,84561.5,0.14954501666770623,0.01458152505586649,2.9017977573329574,0.5860483328828547
DYNAMIKE,0.5848819387791394,0.06046222253138252,brawlBall,351071.5,0.24039781034646227,0.06075418168743325,2.13403335137928,0.5839600060546482
COLETTE,0.5832328736063693,0.004781383938162792,brawlBall,27559,0.12212445003142677,0.0048234206632188255,3.3357806455256545,0.57739367274251
EMZ,0.5821500867647179,0.008268532160282248,brawlBall,49863.49999999999,0.1597890849119058,0.00870105473546625,3.09832981816109,0.5791280008362272
TICK,0.581441652653443,0.0076066963073457596,brawlBall,44267,0.1454806875367623,0.00773131778419351,2.7782722034967704,0.5786157767466179
GRAY,0.5812120784055458,0.004884741524737894,brawlBall,27179,0.15559433208594375,0.00480684741811579,3.175635435499309,0.5713955346255729
MICO,0.5748824026091012,0.002174944613881869,brawlBall,12150,0.1437067773167358,0.0021919127212490326,3.2350514231045207,0.5601659751037344
SPROUT,0.573577502222988,0.0033319032217635396,brawlBall,18662.5,0.1392156862745098,0.003350018751009932,3.6217376011255715,0.5629713423831071
FANG,0.5726733208902259,0.009884928565672042,brawlBall,56530.50000000001,0.20431322311548664,0.010018425608412417,2.621772993786646,0.5702260508185643
BO,0.5723063615348535,0.0039325023274841804,brawlBall,22723.5,0.13642133559001418,0.004060141881125974,3.027668996815869,0.5655847873161262
KIT,0.5702058529014128,0.00326228306605545,brawlBall,18278.5,0.11640471512770137,0.003292012393149308,2.8385564352789543,0.5611032662082515
SHELLY,0.5669562231669869,0.009441942845560302,brawlBall,54309.00000000001,0.1459947247087167,0.009731526566659258,2.819015915374775,0.5639680990259404
BYRON,0.5652245296012158,0.0020429095478254637,brawlBall,11309,0.09746768024015881,0.0020871172628841063,3.168186650254574,0.5475717813392728
CROW,0.564893261149389,0.004693984010474032,brawlBall,26575.5,0.1128848826923887,0.004798358682819113,2.958519744498177,0.5596963059685776
GENE,0.5578178650051345,0.0011498558639203205,brawlBall,6481,0.081588567630442,0.001216314500366683,3.439140811455847,0.5384679295446992
EDGAR,0.5562546782446351,0.02436990162490993,brawlBall,139707,0.2108355480341799,0.025438617500316053,2.1801496413291046,0.5549941007520052
LEON,0.5547469112531097,0.006617743520974335,brawlBall,37911.5,0.14330114007697334,0.006958236533960448,2.5975224783924413,0.5505990850337666
MANDY,0.5355985555860003,0.007390210942077582,brawlBall,39360.5,0.1928211213289825,0.007494542703239776,2.192497757481856,0.5307367654593997
8-BIT,0.534982270732105,0.001594215102770935,brawlBall,8828.5,0.08067276482738271,0.0017124002333593756,3.403575253315759,0.521009147241074
MORTIS,0.5254345726954194,0.06455949525388317,brawlBall,333857,0.22869224027167373,0.0643371353772389,1.2251791990401886,0.5243997449131856
COLT,0.5241815117780193,0.014696316472001618,brawlBall,77008,0.14518937451070377,0.014973724837847471,1.7149670754047497,0.5197203250276705
NANI,0.5215879835094993,0.0012198088476985853,brawlBall,6349.5,0.0746526414946228,0.0012873571302900611,3.13330640274692,0.49843001805479237
BROCK,0.5192991060323302,0.004071657020085205,brawlBall,21421.999999999996,0.11976433546417327,0.004236687364022334,2.502399059960179,0.5109722354737143
PIPER,0.4901171411603718,0.001479437654512643,brawlBall,7068.5,0.06908971840209562,0.001543130809288738,1.707356439007815,0.4629011132940406
