Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
FINX,0.7265880345867408,0.005735218647340738,gemGrab,7732,0.3191213272777829,0.00573124503316887,7.266180935033394,0.7166558531837983
ANGELO,0.7197453478784893,0.0009574446020197657,gemGrab,1124,0.15229257641921398,0.0009731801743224923,5.3674641148325355,0.6135371179039302
LUMI,0.7100952487305353,0.02344875171222248,gemGrab,30839.5,0.33963258200476454,0.023190586075449087,7.795194293223203,0.7064206523730988
R-T,0.7033534941015349,0.0009696013863632212,gemGrab,1131,0.14238773274917854,0.0009699929030092091,5.435919790758501,0.6193866374589266
DOUG,0.690582036211964,0.0014527609767778025,gemGrab,1780.0000000000002,0.25691699604743085,0.001478362677477891,5.058485139022052,0.6395975565936041
OLLIE,0.6752354119073877,0.014798719944891264,gemGrab,17754,0.13372136407730767,0.014237540956436376,6.5974352194606025,0.6624132527423326
BONNIE,0.6734276939567364,0.0008730729839933022,gemGrab,1063,0.16832261835184104,0.0009089035361712798,5.10841546626232,0.6212741087083576
RUFFS,0.6720878776482813,0.002713424562741107,gemGrab,3002,0.12868310282621767,0.0026502160969950404,4.91846921797005,0.601723792343155
EVE,0.6680267166421555,0.0020171488422266143,gemGrab,2343,0.13821571238348868,0.001994700630229781,4.8825665859564165,0.6239680426098535
DRACO,0.6672101097733224,0.003106045775885426,gemGrab,3661,0.22093625842114356,0.00307518560543281,5.0289266683582845,0.6324062877871826
SHADE,0.6536281471478476,0.002419465185563845,gemGrab,2999,0.2101233517652063,0.002497758285842991,5.432516201746971,0.6378136962994471
CHUCK,0.6502283528393749,0.0015847940063190282,gemGrab,1772,0.12607544672402382,0.0016053223181236747,4.32958984375,0.586366644606221
PAM,0.6499222108419725,0.0028695376194216283,gemGrab,3392.5,0.16436591201914227,0.002886074174178003,4.707375271149675,0.6244248113381189
SPROUT,0.6492565696467713,0.0016133807541339347,gemGrab,1726.9999999999998,0.13385569702905648,0.0016271020054311103,4.4222784810126585,0.563826314071172
CLANCY,0.6451533605214409,0.0031107292307051794,gemGrab,3619,0.20831912717354245,0.0031160889206199457,4.8952749378281295,0.616945107398568
CHARLIE,0.6448347867809882,0.004086491064378479,gemGrab,4530.5,0.10647654584221748,0.0039862139891462785,5.298831385642738,0.6037446695095949
MR. P,0.6429064063805243,0.019580053920829947,gemGrab,22742,0.11399916422900125,0.019067850631717176,5.089907396553746,0.6335701351163114
LARRY & LAWRIE,0.6417034960031637,0.0017097324223597121,gemGrab,2018,0.15816174276335423,0.0017800910284687073,4.731154684095861,0.6022082960310355
TARA,0.6389151280620496,0.04036255646292969,gemGrab,47633.5,0.1492022480888581,0.03988657563819796,4.663656613087713,0.6343859041632262
LOLA,0.6362761612562017,0.003085582486767315,gemGrab,3385.5,0.16421780466724287,0.003073060757890621,4.696744515215853,0.5852203975799481
SAM,0.6333948046492537,0.0032891423492161405,gemGrab,3593,0.1906392694063927,0.003257391282175504,3.9583007557988013,0.5859425962165689
WILLOW,0.6291726452016326,0.001096376575116234,gemGrab,1258,0.0942951438000943,0.0011267004092456365,4.594857142857143,0.5931164545025931
MICO,0.6276157866132799,0.0028987366248073108,gemGrab,3228,0.11827182718271827,0.0029508820242147627,4.339810426540284,0.5810981098109811
JACKY,0.6237749488439243,0.004877180689466912,gemGrab,5593,0.16381418092909536,0.004997110207342623,4.172859450726979,0.5945572446050813
JUJU,0.6210403090802038,0.0032796555128359675,gemGrab,3567,0.1456641766807405,0.0032712027911997316,5.526088831392841,0.5792465086066905
BELLE,0.6185222415011692,0.0036580306915757286,gemGrab,3887.0000000000005,0.12264564169951818,0.003638270204112855,4.674609375,0.5675281062928895
HANK,0.6182146200301559,0.0046839282147817735,gemGrab,5163,0.16111173878657778,0.004701756398978373,4.846514352665495,0.5833239182013332
ROSA,0.6177135645784684,0.004802491577765921,gemGrab,5266,0.14419538307126128,0.00476337697770185,4.292795504716034,0.5872644139623062
MOE,0.6166023304228491,0.004635042288125459,gemGrab,4899,0.1357444809769845,0.0045238004173200575,4.715566944266496,0.5752700798496947
BULL,0.616417175984287,0.002897871889887761,gemGrab,3241.0000000000005,0.15403726708074533,0.0029933789750585396,3.6903496503496505,0.5751552795031056
8-BIT,0.6099373855359648,0.0067030716280637006,gemGrab,7573.000000000001,0.15821058374249863,0.006815979703456277,4.5034568338947,0.5902112072324839
MEG,0.6078649253497468,0.004694204042876865,gemGrab,5021,0.15164634841061866,0.0046624467194478795,4.523779327837667,0.5720633473852114
BUSTER,0.6052302986854552,0.019854900762705036,gemGrab,21284,0.13960605386156244,0.01909388001410899,4.546444013717012,0.5921433340752281
BERRY,0.6040384158569201,0.0026339005098110994,gemGrab,2952,0.10635815671786895,0.0027320227273693112,4.6738405577447715,0.5739840559984445
NITA,0.6037116639929907,0.010730520864431442,gemGrab,12173,0.13638132295719843,0.010921716366850678,4.405152224824356,0.5920719844357977
BO,0.6018310988018002,0.02075843513882789,gemGrab,23051.5,0.15805041152263374,0.0206535181100756,3.6249130132219904,0.5928883744855967
MEEPLE,0.6005266855040893,0.010217991846420756,gemGrab,10796.5,0.14480509063686434,0.009934193471618412,5.958950774995742,0.5773220683385916
ASH,0.600081275852977,0.013779740301041619,gemGrab,14697,0.17518161248064784,0.013381758608819818,4.814766377362977,0.5834226509467667
JESSIE,0.599347115284765,0.014349726851699489,gemGrab,16319.999999999998,0.14158232669496137,0.014643918048879993,4.13503375843961,0.5920121884862335
KENJI,0.5974888233408653,0.008356507913580589,gemGrab,9146,0.17086217747010699,0.008440956861345198,3.9696882631805774,0.5755821271239774
BIBI,0.5964919117157754,0.012637046756292843,gemGrab,14192,0.16875825627476881,0.012868076715495664,3.762555591712767,0.5858652575957728
GALE,0.595566316350671,0.010564018364848882,gemGrab,11954.5,0.12912825015854432,0.010889312441832298,4.406391317455532,0.5831747890140982
GRAY,0.5937927349951586,0.004546637344452335,gemGrab,4647,0.11061267855034825,0.004499895882470433,4.486127393513091,0.5485774997048755
KIT,0.5936360780441536,0.0031322024292183854,gemGrab,3270,0.0930387107492939,0.003197364339108669,3.48610609888127,0.5432796145539126
AMBER,0.5919634884769271,0.008219513704135959,gemGrab,8562.5,0.12615222544113774,0.008068046117691055,4.4569577935645635,0.5637674479852515
GROM,0.5905771606629184,0.004447047654228534,gemGrab,4849,0.17767867621171224,0.004526456476747793,4.4209919261822375,0.5690646637718577
MELODIE,0.5903383490624475,0.007380613529299182,gemGrab,7700,0.11567599067599067,0.007292476764792126,4.367377590868129,0.5608974358974359
