Brawler,Adjusted Win Rate,Use Rate
JAE-YONG,0.7736791709772407,0.0004994674617749674
FINX,0.7284070979505718,0.010852110999254065
LUMI,0.7192582770501876,0.03631750511607504
OLLIE,0.7177986951594112,0.012738885830943136
BUSTER,0.6627338821335604,0.007666489812215147
JACKY,0.661855618078661,0.007988821552448622
DRACO,0.6603297442001494,0.003851311158497822
DOUG,0.6601938106982206,0.003900899069910516
JUJU,0.6581529135606735,0.008961054401882593
EVE,0.6571104127044546,0.00402009161979795
MEEPLE,0.6566668749150181,0.010391483722872574
CHARLIE,0.6561600786028522,0.00358207677611108
MR. P,0.6542673071723856,0.010224608630335209
ASH,0.6541243309525304,0.00529544744955561
MEG,0.650332926340046,0.0046199867542576455
BONNIE,0.6477898655425888,0.0028840212380579476
LOLA,0.6447167805414374,0.0034684451042214315
HANK,0.6444899597465337,0.009094588251716398
SAM,0.6443404385917978,0.004749360836924801
SHADE,0.6437664718077895,0.007426318924064119
R-T,0.6427921314335456,0.0037626018956750133
OTIS,0.6419928659899157,0.004232733004641318
PEARL,0.6405389861145646,0.005018225362558073
SANDY,0.6399309765979586,0.006312585542308306
MOE,0.6378918315402433,0.004571267926261336
ROSA,0.6377286927358191,0.0035896190379314727
TARA,0.6357436793823911,0.012619433800197236
NITA,0.6353594078495942,0.00989286428338915
CHUCK,0.6343992474535028,0.0044655809006828055
CARL,0.6326297753037804,0.019166216281597304
MAISIE,0.6318120107334594,0.009752375738115953
RUFFS,0.6263120573567972,0.0033376044262257163
CLANCY,0.6258839197349105,0.004064073098779868
ANGELO,0.6258058171756793,0.007649806359178047
AMBER,0.6241011725846105,0.005320013886610542
JANET,0.623378521507906,0.008756977094433188
GROM,0.6227190872448756,0.010694191292009802
WILLOW,0.6199334980310989,0.003832714926302182
GRIFF,0.6199205651046372,0.008521737746668008
GALE,0.619791976279252,0.009506863982717568
CHESTER,0.6194388160691112,0.024286444298957436
FRANK,0.6168623826025051,0.017260839445404304
LARRY & LAWRIE,0.616671278154157,0.004849337099500422
BIBI,0.6165754213231976,0.017702035767008927
BEA,0.6153219837494601,0.016702367136272843
MELODIE,0.6148480074789432,0.011838566465295717
LOU,0.6141407084093458,0.007239766266578824
BULL,0.609015692862729,0.00610192444922922
KENJI,0.6074319120299683,0.010409967590066977
JESSIE,0.6069680830315735,0.00988336333695848
MICO,0.6050899663147999,0.006312130856024224
CORDELIUS,0.6048207571410811,0.007249890232283978
c,0.6029674374404815,0.013259633219245654
DARRYL,0.6020741056701628,0.010431331020054316
GRAY,0.6010081388331101,0.012747517693957421
NANI,0.6004474716895385,0.008213912675212995
POCO,0.6002858408419258,0.00944826538105802
8-BIT,0.5997210604785098,0.005114013503452674
SPROUT,0.5996035154762999,0.005362009145511555
BO,0.59802207298146,0.009860817012794613
BERRY,0.5976548596505882,0.005972449234160741
GUS,0.59745614848243,0.009175890706953214
LILY,0.5962206904485035,0.007089971980300572
BELLE,0.5955656439546416,0.008225282289446287
SQUEAK,0.5953028288721609,0.012509316723016587
PENNY,0.5951799446023402,0.00988622803995778
COLETTE,0.5889319319135918,0.008396526785346645
BARLEY,0.5883416527542923,0.007441141158696459
MAX,0.588089991877487,0.012037014485093684
KIT,0.5875958209243786,0.010558177065702974
STU,0.5840608774882542,0.024599643233422057
SHELLY,0.5831571883460199,0.010414282078497046
SPIKE,0.5819395724949773,0.01895318378386521
FANG,0.5796996959462154,0.012679771738752045
CROW,0.5795482640143608,0.010882836528256452
PAM,0.5793959636464986,0.0046560311923346375
GENE,0.5773474715756206,0.00839464485683579
TICK,0.5771346405140607,0.010550259564841652
BROCK,0.5770804706073263,0.01674731539888916
BYRON,0.577045476942292,0.010994701366782298
EMZ,0.5761503455951323,0.009456366542728377
LEON,0.5749265415162161,0.014549042045551854
BUZZ,0.5747259682725044,0.01339066325235453
MANDY,0.5745884056477667,0.02500792039286578
SURGE,0.5650804635658866,0.01716838177038467
RICO,0.5604745474762454,0.03125503571251202
EDGAR,0.5575345241784114,0.026803403945830615
PIPER,0.5560660534369326,0.026337263842017646
COLT,0.5427223886649839,0.028156741125450052
DYNAMIKE,0.5344830742273098,0.02594732421395276
MORTIS,0.5311312853326259,0.04388859505313225
